Wavelength (nm)	S07 abs e
300.00	24332
301.00	24838
302.00	25462
303.00	26203
304.00	27019
305.00	27915
306.00	28899
307.00	29993
308.00	31138
309.00	32340
310.00	33610
311.00	34940
312.00	36296
313.00	37692
314.00	39147
315.00	40679
316.00	42209
317.00	43842
318.00	45559
319.00	47355
320.00	49184
321.00	51131
322.00	53180
323.00	55292
324.00	57443
325.00	59649
326.00	61924
327.00	64197
328.00	66477
329.00	68685
330.00	70893
331.00	72961
332.00	74998
333.00	76847
334.00	78545
335.00	80155
336.00	81601
337.00	82867
338.00	84070
339.00	85195
340.00	86205
341.00	87221
342.00	88184
343.00	89135
344.00	90038
345.00	90827
346.00	91532
347.00	92069
348.00	92356
349.00	92457
350.00	92262
351.00	91932
352.00	91383
353.00	90663
354.00	89749
355.00	88761
356.00	87592
357.00	86464
358.00	85212
359.00	83752
360.00	82077
361.00	80139
362.00	78074
363.00	75984
364.00	73948
365.00	71862
366.00	69783
367.00	67693
368.00	65694
369.00	63748
370.00	61910
371.00	60114
372.00	58439
373.00	56793
374.00	55248
375.00	53759
376.00	52320
377.00	50917
378.00	49558
379.00	48297
380.00	47079
381.00	45831
382.00	44558
383.00	43384
384.00	42264
385.00	41084
386.00	39919
387.00	38798
388.00	37665
389.00	36634
390.00	35534
391.00	34409
392.00	33388
393.00	32429
394.00	31480
395.00	30404
396.00	29440
397.00	28386
398.00	27456
399.00	26565
400.00	25654
401.00	24749
402.00	23846
403.00	22929
404.00	22048
405.00	21195
406.00	20355
407.00	19525
408.00	18628
409.00	17820
410.00	16927
411.00	16109
412.00	15289
413.00	14492
414.00	13791
415.00	13084
416.00	12403
417.00	11747
418.00	11120
419.00	10507
420.00	9887.8
421.00	9248.3
422.00	8719.2
423.00	8261.7
424.00	7792.8
425.00	7332.1
426.00	7006.0
427.00	6665.7
428.00	6427.5
429.00	6246.9
430.00	6055.2
431.00	5821.7
432.00	5580.0
433.00	5260.6
434.00	4929.8
435.00	4709.6
436.00	4461.0
437.00	4173.1
438.00	3943.8
439.00	3694.9
440.00	3473.3
441.00	3263.7
442.00	3082.9
443.00	2918.9
444.00	2799.2
445.00	2655.0
446.00	2465.2
447.00	2358.8
448.00	2233.5
449.00	2100.3
450.00	1984.7
451.00	1890.2
452.00	1793.1
453.00	1709.8
454.00	1636.3
455.00	1620.7
456.00	1569.8
457.00	1556.4
458.00	1535.5
459.00	1497.2
460.00	1415.5
461.00	1370.4
462.00	1267.0
463.00	1215.9
464.00	1152.5
465.00	1052.2
466.00	1018.3
467.00	975.76
468.00	926.57
469.00	834.51
470.00	762.48
471.00	789.88
472.00	734.89
473.00	755.27
474.00	657.59
475.00	687.98
476.00	589.60
477.00	625.26
478.00	634.75
479.00	604.18
480.00	593.11
481.00	629.31
482.00	615.60
483.00	565.00
484.00	549.37
485.00	630.18
486.00	498.24
487.00	476.46
488.00	644.77
489.00	540.76
490.00	487.35
491.00	502.99
492.00	487.17
493.00	501.40
494.00	488.23
495.00	518.62
496.00	534.79
497.00	507.55
498.00	553.06
499.00	540.41
500.00	516.51
501.00	532.50
502.00	584.15
503.00	550.42
504.00	545.68
505.00	578.53
506.00	593.64
507.00	622.28
508.00	668.31
509.00	669.71
510.00	719.78
511.00	734.54
512.00	737.00
513.00	783.03
514.00	839.25
515.00	820.45
516.00	870.52
517.00	887.21
518.00	923.58
519.00	950.46
520.00	966.10
521.00	1010.9
522.00	1050.6
523.00	1116.0
524.00	1141.8
525.00	1152.1
526.00	1185.5
527.00	1238.6
528.00	1284.1
529.00	1337.5
530.00	1388.8
531.00	1393.4
532.00	1477.5
533.00	1522.0
534.00	1591.7
535.00	1634.4
536.00	1710.0
537.00	1779.9
538.00	1875.5
539.00	1943.3
540.00	2052.0
541.00	2103.1
542.00	2199.4
543.00	2287.3
544.00	2377.2
545.00	2438.5
546.00	2546.2
547.00	2665.7
548.00	2802.0
549.00	2920.8
550.00	3053.4
551.00	3231.6
552.00	3454.7
553.00	3659.4
554.00	3909.7
555.00	4178.7
556.00	4495.5
557.00	4805.4
558.00	5152.9
559.00	5531.7
560.00	5910.3
561.00	6255.5
