Wavelength (nm)	UroP III (in DMF).ems
590.00	0.015408
591.00	0.016028
592.00	0.017657
593.00	0.018600
594.00	0.019834
595.00	0.021502
596.00	0.022921
597.00	0.023990
598.00	0.025797
599.00	0.027873
600.00	0.030793
601.00	0.037897
602.00	0.042343
603.00	0.051291
604.00	0.060302
605.00	0.073350
606.00	0.093127
607.00	0.11376
608.00	0.13795
609.00	0.17886
610.00	0.22290
611.00	0.27973
612.00	0.34387
613.00	0.41718
614.00	0.50483
615.00	0.60067
616.00	0.69245
617.00	0.78191
618.00	0.86192
619.00	0.92372
620.00	0.97757
621.00	1.0000
622.00	0.99422
623.00	0.95516
624.00	0.90204
625.00	0.82834
626.00	0.73438
627.00	0.65135
628.00	0.56324
629.00	0.49621
630.00	0.42957
631.00	0.38350
632.00	0.34640
633.00	0.31508
634.00	0.29048
635.00	0.27822
636.00	0.26404
637.00	0.24790
638.00	0.24782
639.00	0.24583
640.00	0.24432
641.00	0.24354
642.00	0.25124
643.00	0.25325
644.00	0.27086
645.00	0.27770
646.00	0.28492
647.00	0.29669
648.00	0.30544
649.00	0.31518
650.00	0.32448
651.00	0.33054
652.00	0.33568
653.00	0.33833
654.00	0.33676
655.00	0.32907
656.00	0.32819
657.00	0.33027
658.00	0.33451
659.00	0.32554
660.00	0.32885
661.00	0.32522
662.00	0.33177
663.00	0.33529
664.00	0.34222
665.00	0.34106
666.00	0.35289
667.00	0.35653
668.00	0.36239
669.00	0.37191
670.00	0.38056
671.00	0.38923
672.00	0.39103
673.00	0.40584
674.00	0.41996
675.00	0.42461
676.00	0.44237
677.00	0.45168
678.00	0.47368
679.00	0.47947
680.00	0.50325
681.00	0.52068
682.00	0.53583
683.00	0.56098
684.00	0.56772
685.00	0.56279
686.00	0.57246
687.00	0.56483
688.00	0.56060
689.00	0.54002
690.00	0.52117
691.00	0.49434
692.00	0.45896
693.00	0.42395
694.00	0.39513
695.00	0.34849
696.00	0.32070
697.00	0.28627
698.00	0.26235
699.00	0.23282
700.00	0.21534
701.00	0.18803
702.00	0.17919
703.00	0.16134
704.00	0.15215
705.00	0.13880
706.00	0.13258
707.00	0.12430
708.00	0.11251
709.00	0.10642
710.00	0.099799
