Wavelength (nm)	UroP III (in DMF).abs
573.00	0.028486
574.00	0.025558
575.00	0.023754
576.00	0.023334
577.00	0.021301
578.00	0.017119
579.00	0.018172
580.00	0.015577
581.00	0.013997
582.00	0.0093022
583.00	0.010703
584.00	0.010925
585.00	0.0069216
586.00	0.0069541
587.00	0.0073000
588.00	0.0055909
589.00	0.0061060
590.00	0.0055563
591.00	0.0056585
592.00	0.0058850
593.00	0.0042107
594.00	0.0044323
595.00	0.0050818
596.00	0.0041190
597.00	0.0045297
598.00	0.0046617
599.00	0.0026838
600.00	0.0033781
601.00	0.0031419
602.00	0.0032092
603.00	0.0034954
604.00	0.0027118
605.00	0.0044163
606.00	0.0041751
607.00	0.0046255
608.00	0.0055636
609.00	0.0066162
610.00	0.0072906
611.00	0.0078853
612.00	0.0090026
613.00	0.010846
614.00	0.011869
615.00	0.012752
616.00	0.013686
617.00	0.014773
618.00	0.014243
619.00	0.015326
620.00	0.015104
621.00	0.014609
622.00	0.013885
623.00	0.012893
624.00	0.011826
625.00	0.010509
626.00	0.0090691
627.00	0.0071708
628.00	0.0053221
629.00	0.0045186
630.00	0.0034228
631.00	0.0030159
632.00	0.0021601
633.00	0.0012627
634.00	0.0013566
635.00	0.0016801
636.00	0.0012940
637.00	0.0011855
638.00	0.0013462
639.00	0.0011688
640.00	0.0014610
641.00	0.00092875
642.00	0.0010018
643.00	0.00088700
644.00	0.00096946
645.00	0.0010895
646.00	0.0012366
647.00	0.0012690
648.00	0.0012648
649.00	0.0011928
650.00	0.0010160
651.00	0.0010279
652.00	0.0011896
653.00	0.00094963
654.00	0.0012836
655.00	0.0013535
656.00	0.0014046
657.00	0.0012877
658.00	0.0013513
659.00	0.0010331
660.00	0.00090789
661.00	0.00089745
662.00	0.00086614
663.00	0.00083483
664.00	0.0012648
665.00	0.0013566
666.00	0.0014871
667.00	0.0012523
668.00	0.0014297
669.00	0.0013984
670.00	0.0013462
671.00	0.0012105
672.00	0.0011479
673.00	0.0012836
674.00	0.0012940
675.00	0.0016279
676.00	0.0014714
677.00	0.0016905
678.00	0.0015758
679.00	0.0018575
680.00	0.0015528
681.00	0.0016572
682.00	0.0018679
683.00	0.0015653
684.00	0.0018471
685.00	0.0017427
686.00	0.0017636
687.00	0.0020558
688.00	0.0015653
689.00	0.0019619
690.00	0.0014526
691.00	0.0014766
692.00	0.0017131
693.00	0.0014818
694.00	0.0013529
695.00	0.0013726
696.00	0.0011513
697.00	0.0016565
698.00	0.0012561
699.00	0.0016568
700.00	0.0012657
