Wavelength (nm)	O05 abs e
200.00	33606
201.00	34501
202.00	34786
203.00	34782
204.00	34994
205.00	35489
206.00	36246
207.00	37309
208.00	38537
209.00	39840
210.00	41068
211.00	42202
212.00	43048
213.00	43526
214.00	43492
215.00	42992
216.00	41898
217.00	40104
218.00	37299
219.00	33641
220.00	29516
221.00	25621
222.00	22261
223.00	19684
224.00	17776
225.00	16433
226.00	15493
227.00	14872
228.00	14449
229.00	14156
230.00	13941
231.00	13762
232.00	13605
233.00	13450
234.00	13325
235.00	13186
236.00	13046
237.00	12900
238.00	12726
239.00	12575
240.00	12446
241.00	12336
242.00	12261
243.00	12211
244.00	12196
245.00	12231
246.00	12328
247.00	12465
248.00	12637
249.00	12840
250.00	13086
251.00	13351
252.00	13673
253.00	14056
254.00	14480
255.00	14929
256.00	15354
257.00	15737
258.00	16110
259.00	16535
260.00	17098
261.00	17834
262.00	18711
263.00	19763
264.00	20953
265.00	22259
266.00	23743
267.00	25353
268.00	27043
269.00	28802
270.00	30687
271.00	32595
272.00	34687
273.00	36863
274.00	39188
275.00	41488
276.00	43778
277.00	45990
278.00	48001
279.00	49983
280.00	51869
281.00	53475
282.00	54913
283.00	56034
284.00	56629
285.00	56800
286.00	56679
287.00	56023
288.00	54945
289.00	53253
290.00	51144
291.00	48795
292.00	46095
293.00	43376
294.00	40664
295.00	37984
296.00	35441
297.00	33037
298.00	30843
299.00	28915
300.00	27269
301.00	25816
302.00	24510
303.00	23333
304.00	22270
305.00	21378
306.00	20601
307.00	19881
308.00	19261
309.00	18688
310.00	18148
311.00	17697
312.00	17307
313.00	16976
314.00	16676
315.00	16377
316.00	16073
317.00	15744
318.00	15363
319.00	14995
320.00	14609
321.00	14178
322.00	13691
323.00	13167
324.00	12631
325.00	12055
326.00	11524
327.00	10978
328.00	10402
329.00	9826.3
330.00	9258.4
331.00	8713.3
332.00	8152.8
333.00	7648.0
334.00	7174.6
335.00	6705.2
336.00	6270.5
337.00	5857.8
338.00	5482.4
339.00	5128.2
340.00	4800.4
341.00	4491.7
342.00	4173.1
343.00	3864.0
344.00	3547.5
345.00	3253.8
346.00	2977.3
347.00	2693.0
348.00	2445.8
349.00	2184.2
350.00	1943.6
351.00	1726.3
352.00	1536.0
353.00	1369.8
354.00	1225.0
355.00	1088.4
356.00	963.67
357.00	874.31
358.00	791.11
359.00	725.41
360.00	694.12
361.00	634.19
362.00	584.17
363.00	516.91
364.00	486.82
365.00	469.82
366.00	456.12
367.00	454.55
368.00	426.45
369.00	405.30
370.00	400.22
371.00	389.45
372.00	423.91
373.00	417.46
374.00	393.92
375.00	389.75
376.00	388.92
377.00	392.53
378.00	404.62
379.00	422.73
380.00	448.52
381.00	447.42
382.00	428.20
383.00	447.16
384.00	466.56
385.00	468.93
386.00	535.04
387.00	530.54
388.00	525.45
389.00	538.53
390.00	572.16
391.00	582.93
392.00	622.47
393.00	653.53
394.00	663.59
395.00	693.64
396.00	709.20
397.00	751.50
398.00	770.58
399.00	801.52
400.00	849.79
401.00	858.75
402.00	877.98
403.00	912.88
404.00	978.08
405.00	1039.7
406.00	1072.8
407.00	1106.3
408.00	1133.0
409.00	1199.9
410.00	1256.0
411.00	1321.7
412.00	1393.8
413.00	1435.8
414.00	1453.1
415.00	1501.6
416.00	1577.8
417.00	1655.7
418.00	1721.0
419.00	1765.4
420.00	1840.6
421.00	1907.5
422.00	1971.0
423.00	2047.4
424.00	2125.8
425.00	2203.7
426.00	2258.3
427.00	2331.6
428.00	2410.1
429.00	2503.5
430.00	2591.8
431.00	2664.3
432.00	2753.9
433.00	2835.3
434.00	2903.1
435.00	3007.6
436.00	3088.0
437.00	3182.0
438.00	3272.2
439.00	3360.0
440.00	3441.1
441.00	3540.8
442.00	3608.0
443.00	3711.9
444.00	3797.1
445.00	3885.5
446.00	3948.5
447.00	4030.5
448.00	4121.6
449.00	4226.8
450.00	4336.4
451.00	4411.2
452.00	4475.2
453.00	4550.3
454.00	4662.2
455.00	4734.7
456.00	4841.9
457.00	4909.9
458.00	4974.3
459.00	4999.7
460.00	5093.6
461.00	5179.5
462.00	5236.7
463.00	5341.1
464.00	5374.8
465.00	5414.8
466.00	5448.7
467.00	5499.3
468.00	5568.4
469.00	5604.6
470.00	5670.1
471.00	5712.4
472.00	5700.1
473.00	5730.8
474.00	5799.9
475.00	5828.4
476.00	5873.7
477.00	5855.1
478.00	5843.2
479.00	5832.1
480.00	5838.8
481.00	5854.1
482.00	5848.0
483.00	5845.1
484.00	5801.5
485.00	5750.0
486.00	5763.3
487.00	5713.5
488.00	5703.1
489.00	5704.8
490.00	5563.5
491.00	5552.8
492.00	5496.2
493.00	5448.4
494.00	5389.5
495.00	5360.6
496.00	5252.2
497.00	5175.4
498.00	5121.3
499.00	5029.8
500.00	4991.1
501.00	4884.6
502.00	4804.0
503.00	4713.6
504.00	4588.4
505.00	4528.5
506.00	4408.2
507.00	4337.8
508.00	4239.9
509.00	4142.3
510.00	4006.1
511.00	3927.3
512.00	3865.1
513.00	3759.2
514.00	3701.0
515.00	3531.3
516.00	3408.8
517.00	3309.3
518.00	3230.3
519.00	3147.9
520.00	3047.3
521.00	2890.6
522.00	2803.0
523.00	2710.0
524.00	2607.1
525.00	2536.5
526.00	2448.4
527.00	2416.7
528.00	2293.6
529.00	2141.0
530.00	2057.4
531.00	1995.9
532.00	1918.5
533.00	1846.0
534.00	1745.9
535.00	1632.3
536.00	1544.8
537.00	1481.7
538.00	1443.8
539.00	1369.7
540.00	1299.1
541.00	1214.0
542.00	1148.4
543.00	1074.5
544.00	1027.4
545.00	977.57
546.00	933.47
547.00	871.53
548.00	778.92
549.00	748.45
550.00	749.87
551.00	706.15
552.00	652.14
553.00	602.01
554.00	538.62
555.00	531.96
556.00	502.09
557.00	505.28
558.00	466.36
559.00	421.63
560.00	338.66
561.00	334.02
562.00	302.28
563.00	315.12
564.00	298.20
565.00	270.84
566.00	223.84
567.00	227.33
568.00	208.51
569.00	208.69
570.00	189.76
571.00	174.08
572.00	146.93
573.00	132.41
574.00	129.42
575.00	132.11
576.00	115.93
577.00	110.58
578.00	96.616
579.00	95.581
580.00	79.549
581.00	81.442
582.00	82.803
583.00	85.968
584.00	63.133
585.00	63.990
586.00	58.814
587.00	55.058
588.00	57.098
589.00	64.316
590.00	49.260
591.00	33.376
592.00	31.660
593.00	43.906
594.00	50.857
595.00	46.125
596.00	48.018
597.00	27.105
598.00	31.424
599.00	19.474
600.00	36.363
