Wavelength (nm)	E22 abs e
312.25	4876.5
312.50	4923.0
312.75	4953.3
313.00	5049.2
313.25	5140.3
313.50	5306.7
313.75	5298.4
314.00	5262.8
314.25	5308.5
314.50	5523.7
314.75	5540.7
315.00	5639.5
315.25	5689.3
315.50	5675.0
315.75	5854.4
316.00	5884.9
316.25	5910.9
316.50	5919.5
316.75	6029.5
317.00	6066.5
317.25	6129.6
317.50	6185.8
317.75	6307.7
318.00	6123.9
318.25	6313.6
318.50	6420.9
318.75	6436.3
319.00	6481.8
319.25	6524.0
319.50	6632.4
319.75	6665.3
320.00	6751.1
320.25	6787.0
320.50	6757.4
320.75	6794.5
321.00	6778.2
321.25	6961.6
321.50	6858.9
321.75	6927.7
322.00	7012.0
322.25	7109.4
322.50	7021.8
322.75	7113.1
323.00	7132.7
323.25	7154.5
323.50	7134.2
323.75	7364.4
324.00	7137.6
324.25	7334.6
324.50	7380.6
324.75	7316.4
325.00	7349.4
325.25	7407.9
325.50	7313.7
325.75	7466.2
326.00	7488.4
326.25	7534.1
326.50	7458.5
326.75	7472.2
327.00	7536.9
327.25	7490.5
327.50	7498.4
327.75	7586.7
328.00	7653.5
328.25	7641.5
328.50	7674.1
328.75	7503.5
329.00	7529.0
329.25	7644.1
329.50	7539.5
329.75	7499.9
330.00	7574.5
330.25	7503.5
330.50	7438.4
330.75	7531.1
331.00	7462.2
331.25	7546.7
331.50	7411.8
331.75	7399.2
332.00	7425.0
332.25	7480.4
332.50	7382.7
332.75	7373.9
333.00	7261.2
333.25	7255.3
333.50	7272.8
333.75	7184.9
334.00	7142.7
334.25	7131.8
334.50	7033.3
334.75	7094.2
335.00	7159.4
335.25	6937.9
335.50	6889.5
335.75	6887.5
336.00	6685.6
336.25	6814.0
336.50	6697.8
336.75	6642.2
337.00	6624.4
337.25	6608.3
337.50	6542.0
337.75	6444.8
338.00	6381.4
338.25	6315.0
338.50	6188.3
338.75	6234.8
339.00	6112.8
339.25	6077.7
339.50	6002.6
339.75	5933.6
340.00	5839.8
340.25	5765.3
340.50	5627.6
340.75	5583.3
341.00	5591.0
341.25	5460.1
341.50	5372.9
341.75	5369.5
342.00	5288.0
342.25	5160.8
342.50	5074.8
342.75	5008.7
343.00	5008.4
343.25	4955.1
343.50	4903.3
343.75	4765.2
344.00	4657.7
344.25	4623.1
344.50	4581.5
344.75	4429.2
345.00	4354.2
345.25	4380.3
345.50	4261.8
345.75	4228.6
346.00	4088.7
346.25	4056.8
346.50	4029.8
346.75	3930.1
347.00	3913.4
347.25	3788.4
347.50	3803.5
347.75	3620.2
348.00	3599.5
348.25	3541.3
348.50	3438.9
348.75	3422.8
349.00	3386.1
349.25	3271.1
349.50	3182.1
349.75	3130.8
350.00	3069.7
350.25	3018.3
350.50	2959.4
350.75	2901.7
351.00	2859.0
351.25	2750.1
351.50	2754.0
351.75	2630.4
352.00	2622.1
352.25	2636.5
352.50	2545.0
352.75	2469.5
353.00	2431.1
353.25	2376.1
353.50	2319.8
353.75	2287.3
354.00	2238.8
354.25	2145.1
354.50	2085.7
354.75	2054.9
355.00	2058.0
355.25	1965.0
355.50	1899.7
355.75	1926.4
356.00	1835.5
356.25	1835.8
356.50	1744.4
356.75	1736.7
357.00	1727.2
357.25	1710.6
357.50	1661.8
357.75	1571.2
358.00	1566.3
358.25	1555.9
358.50	1502.4
358.75	1452.6
359.00	1448.1
359.25	1382.7
359.50	1380.5
359.75	1349.3
360.00	1325.6
360.25	1304.8
360.50	1323.5
360.75	1277.9
361.00	1168.9
361.25	1170.3
361.50	1238.1
361.75	1177.6
362.00	1141.1
362.25	1120.2
362.50	1062.0
362.75	1084.0
363.00	1110.1
363.25	1059.0
363.50	1021.5
363.75	1052.0
364.00	988.89
364.25	1009.1
364.50	982.73
364.75	1009.3
365.00	973.77
365.25	958.23
365.50	949.97
365.75	913.56
366.00	941.29
366.25	907.40
366.50	909.92
366.75	894.10
367.00	880.66
367.25	887.80
367.50	859.94
367.75	863.02
368.00	856.44
368.25	823.12
368.50	852.10
368.75	845.66
369.00	823.26
369.25	807.44
369.50	793.72
369.75	821.16
370.00	787.28
370.25	847.20
370.50	777.33
370.75	849.44
371.00	858.54
371.25	857.70
371.50	806.04
371.75	808.70
372.00	804.50
372.25	829.14
372.50	789.24
372.75	779.29
373.00	819.76
373.25	824.66
373.50	831.66
373.75	823.26
374.00	823.96
374.25	829.00
374.50	827.18
374.75	885.42
375.00	825.08
375.25	858.82
375.50	884.72
375.75	874.36
376.00	906.70
376.25	910.90
376.50	913.28
376.75	939.33
377.00	913.70
377.25	918.32
377.50	939.75
377.75	1009.9
378.00	965.93
378.25	993.09
378.50	917.90
378.75	974.33
379.00	994.63
379.25	1029.1
379.50	1022.1
379.75	1061.6
380.00	1115.7
380.25	1057.2
380.50	1129.9
380.75	1083.1
381.00	1141.1
381.25	1169.9
381.50	1152.7
381.75	1193.9
382.00	1156.5
382.25	1192.6
382.50	1224.0
382.75	1232.9
383.00	1238.8
383.25	1270.3
383.50	1297.9
383.75	1336.3
384.00	1311.2
384.25	1344.0
384.50	1354.2
384.75	1405.7
385.00	1412.4
385.25	1402.6
385.50	1460.3
385.75	1453.2
386.00	1503.6
386.25	1504.3
386.50	1551.0
386.75	1550.2
387.00	1582.7
387.25	1605.8
387.50	1625.9
387.75	1632.4
388.00	1745.5
388.25	1689.9
388.50	1696.1
388.75	1779.8
389.00	1782.0
389.25	1792.0
389.50	1832.9
389.75	1882.2
390.00	1894.8
390.25	1944.7
390.50	1866.8
390.75	1970.2
391.00	2031.8
391.25	2018.5
391.50	2073.3
391.75	2117.1
392.00	2085.7
392.25	2140.2
392.50	2151.4
392.75	2172.0
393.00	2233.7
393.25	2272.5
393.50	2289.4
393.75	2331.3
394.00	2370.6
394.25	2421.1
394.50	2463.6
394.75	2455.4
395.00	2502.7
395.25	2557.7
395.50	2608.5
395.75	2631.9
396.00	2713.4
396.25	2743.2
396.50	2754.0
396.75	2784.0
397.00	2827.9
397.25	2889.4
397.50	2954.3
397.75	2931.1
398.00	2980.0
398.25	3058.9
398.50	3064.4
398.75	3039.1
399.00	3145.5
399.25	3185.8
399.50	3255.8
399.75	3304.1
400.00	3300.6
400.25	3375.1
400.50	3400.4
400.75	3420.3
401.00	3502.6
401.25	3530.8
401.50	3591.1
401.75	3621.5
402.00	3639.4
402.25	3683.9
402.50	3771.3
402.75	3820.6
403.00	3862.2
403.25	3891.6
403.50	3968.6
403.75	4037.9
404.00	4049.2
404.25	4128.8
404.50	4143.6
404.75	4200.2
405.00	4218.5
405.25	4305.4
405.50	4376.1
405.75	4398.4
406.00	4523.6
406.25	4552.3
406.50	4533.0
406.75	4661.6
407.00	4694.0
407.25	4758.7
407.50	4841.1
407.75	4889.7
408.00	4926.2
408.25	4971.2
408.50	5026.8
408.75	5103.6
409.00	5158.1
409.25	5177.7
409.50	5265.8
409.75	5390.7
410.00	5418.8
410.25	5480.8
410.50	5556.9
410.75	5590.0
411.00	5642.1
411.25	5719.8
411.50	5861.2
411.75	5872.4
412.00	5937.1
412.25	6038.3
412.50	6107.2
412.75	6172.6
413.00	6217.4
413.25	6292.5
413.50	6336.1
413.75	6464.4
414.00	6539.3
414.25	6640.2
414.50	6596.0
414.75	6642.2
415.00	6704.9
415.25	6801.1
415.50	6845.5
415.75	6941.5
416.00	7064.3
416.25	7106.1
416.50	7204.1
416.75	7261.8
417.00	7372.8
417.25	7431.6
417.50	7476.4
417.75	7611.4
418.00	7691.7
418.25	7760.5
418.50	7843.4
418.75	7903.0
419.00	8008.3
419.25	8047.2
419.50	8195.8
419.75	8252.3
420.00	8360.7
420.25	8475.6
420.50	8537.2
420.75	8676.4
421.00	8700.9
421.25	8802.8
421.50	8923.9
421.75	8960.1
422.00	9028.0
422.25	9173.7
422.50	9276.8
422.75	9358.4
423.00	9437.2
423.25	9526.3
423.50	9633.7
423.75	9665.6
424.00	9789.2
424.25	9942.1
424.50	9973.9
424.75	10038
425.00	10159
425.25	10178
425.50	10298
425.75	10426
426.00	10545
426.25	10594
426.50	10685
426.75	10786
427.00	10846
427.25	10969
427.50	11026
427.75	11109
428.00	11207
428.25	11327
428.50	11397
428.75	11539
429.00	11587
429.25	11676
429.50	11806
429.75	11883
430.00	11939
430.25	12043
430.50	12156
430.75	12253
431.00	12333
431.25	12453
431.50	12509
431.75	12639
432.00	12689
432.25	12796
432.50	12900
432.75	12978
433.00	13111
433.25	13153
433.50	13233
433.75	13344
