Wavelength (nm)	"50, JACS 1994_9114, D 8"
407.00	0.63767
408.00	0.62649
409.00	0.61530
410.00	0.60407
411.00	0.59079
412.00	0.57750
413.00	0.56421
414.00	0.55092
415.00	0.53775
416.00	0.52495
417.00	0.51215
418.00	0.49935
419.00	0.48655
420.00	0.47569
421.00	0.46739
422.00	0.45908
423.00	0.45078
424.00	0.44248
425.00	0.43496
426.00	0.42890
427.00	0.42283
428.00	0.41677
429.00	0.41071
430.00	0.40465
431.00	0.39858
432.00	0.39252
433.00	0.38667
434.00	0.38183
435.00	0.37700
436.00	0.37216
437.00	0.36733
438.00	0.36249
439.00	0.35766
440.00	0.35282
441.00	0.34799
442.00	0.34328
443.00	0.33935
444.00	0.33541
445.00	0.33148
446.00	0.32754
447.00	0.32361
448.00	0.31967
449.00	0.31574
450.00	0.31181
451.00	0.30787
452.00	0.30394
453.00	0.30091
454.00	0.29791
455.00	0.29490
456.00	0.29190
457.00	0.28889
458.00	0.28588
459.00	0.28288
460.00	0.27987
461.00	0.27687
462.00	0.27386
463.00	0.27085
464.00	0.26803
465.00	0.26547
466.00	0.26292
467.00	0.26036
468.00	0.25780
469.00	0.25525
470.00	0.25269
471.00	0.25013
472.00	0.24757
473.00	0.24502
474.00	0.24246
475.00	0.23990
476.00	0.23736
477.00	0.23481
478.00	0.23227
479.00	0.22972
480.00	0.22717
481.00	0.22463
482.00	0.22208
483.00	0.21953
484.00	0.21699
485.00	0.21427
486.00	0.21139
487.00	0.20852
488.00	0.20564
489.00	0.20276
490.00	0.19989
491.00	0.19701
492.00	0.19414
493.00	0.19126
494.00	0.18773
495.00	0.18401
496.00	0.18029
497.00	0.17658
498.00	0.17286
499.00	0.16914
500.00	0.16541
501.00	0.16028
502.00	0.15516
503.00	0.15004
504.00	0.14491
505.00	0.13979
506.00	0.13466
507.00	0.12993
508.00	0.12529
509.00	0.12065
510.00	0.11601
511.00	0.11138
512.00	0.10674
513.00	0.10210
514.00	0.097706
515.00	0.093600
516.00	0.089495
517.00	0.085389
518.00	0.081284
519.00	0.077179
520.00	0.073073
521.00	0.070405
522.00	0.067781
523.00	0.065158
524.00	0.062534
525.00	0.059911
526.00	0.057287
527.00	0.054880
528.00	0.053342
529.00	0.051804
530.00	0.050266
531.00	0.048728
532.00	0.047190
533.00	0.045652
534.00	0.044113
535.00	0.042590
536.00	0.041795
537.00	0.041000
538.00	0.040205
539.00	0.039410
540.00	0.038615
541.00	0.037820
542.00	0.037025
543.00	0.036230
544.00	0.035436
545.00	0.034919
546.00	0.034515
547.00	0.034112
548.00	0.033709
549.00	0.033306
550.00	0.032902
551.00	0.032499
552.00	0.032096
553.00	0.031693
554.00	0.031289
555.00	0.030886
556.00	0.030581
557.00	0.030319
558.00	0.030057
559.00	0.029795
560.00	0.029532
561.00	0.029270
562.00	0.029008
563.00	0.028746
564.00	0.028483
565.00	0.028221
566.00	0.027959
567.00	0.027771
568.00	0.027692
569.00	0.027612
570.00	0.027533
571.00	0.027453
572.00	0.027374
573.00	0.027295
574.00	0.027215
575.00	0.027136
576.00	0.027047
577.00	0.026878
578.00	0.026709
579.00	0.026540
580.00	0.026371
581.00	0.026201
582.00	0.026032
583.00	0.025863
584.00	0.025694
585.00	0.025383
586.00	0.024809
587.00	0.024236
588.00	0.023662
589.00	0.023088
590.00	0.022514
591.00	0.021941
592.00	0.021367
593.00	0.020793
594.00	0.020159
595.00	0.019397
596.00	0.018635
597.00	0.017873
598.00	0.017111
599.00	0.016348
600.00	0.015586
601.00	0.014824
602.00	0.014062
603.00	0.013409
604.00	0.012836
605.00	0.012262
606.00	0.011688
607.00	0.011115
608.00	0.010541
609.00	0.0099671
610.00	0.0093934
611.00	0.0088198
612.00	0.0083719
613.00	0.0080270
614.00	0.0076822
615.00	0.0073373
616.00	0.0069924
617.00	0.0066475
618.00	0.0063027
619.00	0.0059578
620.00	0.0056129
621.00	0.0052681
622.00	0.0049232
623.00	0.0046404
624.00	0.0043713
625.00	0.0041022
626.00	0.0038330
627.00	0.0035639
628.00	0.0032948
629.00	0.0030257
630.00	0.0027565
631.00	0.0024874
632.00	0.0022183
633.00	0.0019491
634.00	0.0018439
635.00	0.0017746
636.00	0.0017054
637.00	0.0016361
638.00	0.0015668
639.00	0.0014976
640.00	0.0014283
641.00	0.0013590
642.00	0.0012898
643.00	0.0012205
644.00	0.0011512
645.00	0.0010820
646.00	0.0010677
647.00	0.0010781
648.00	0.0010885
649.00	0.0010990
650.00	0.0011094
651.00	0.0011198
652.00	0.0011303
653.00	0.0011407
654.00	0.0011511
655.00	0.0011734
656.00	0.0013151
657.00	0.0014569
658.00	0.0015987
659.00	0.0017405
660.00	0.0018823
661.00	0.0020241
662.00	0.0021658
663.00	0.0023076
664.00	0.0024494
665.00	0.0025912
666.00	0.0028540
667.00	0.0031819
668.00	0.0035099
669.00	0.0038379
670.00	0.0041658
671.00	0.0044938
672.00	0.0048217
673.00	0.0051497
674.00	0.0054777
675.00	0.0058056
676.00	0.0061336
677.00	0.0064616
678.00	0.0067895
679.00	0.0071303
680.00	0.0075748
681.00	0.0080193
682.00	0.0084637
683.00	0.0089082
684.00	0.0093527
685.00	0.0097972
686.00	0.010242
687.00	0.010686
688.00	0.011131
689.00	0.011575
690.00	0.012020
691.00	0.012464
692.00	0.012909
693.00	0.013353
694.00	0.013798
695.00	0.014242
696.00	0.014753
697.00	0.015342
698.00	0.015930
699.00	0.016519
700.00	0.017108
701.00	0.017696
702.00	0.018285
703.00	0.018874
704.00	0.019463
705.00	0.020051
706.00	0.020640
707.00	0.021229
708.00	0.021817
709.00	0.022406
710.00	0.023255
711.00	0.024256
712.00	0.025258
713.00	0.026259
714.00	0.027261
715.00	0.028262
716.00	0.029263
717.00	0.030265
718.00	0.031266
719.00	0.032268
720.00	0.033269
721.00	0.034270
722.00	0.035272
723.00	0.036273
724.00	0.037275
725.00	0.038302
726.00	0.039542
727.00	0.040782
728.00	0.042022
729.00	0.043262
730.00	0.044501
731.00	0.045741
732.00	0.046981
733.00	0.048221
734.00	0.049461
735.00	0.050701
736.00	0.051940
737.00	0.053180
738.00	0.054420
739.00	0.055660
740.00	0.056900
741.00	0.058212
742.00	0.059574
743.00	0.060936
744.00	0.062298
745.00	0.063660
746.00	0.065023
747.00	0.066385
748.00	0.067747
749.00	0.069109
750.00	0.070471
751.00	0.071833
752.00	0.073196
753.00	0.074558
754.00	0.075920
755.00	0.077282
756.00	0.078946
757.00	0.080636
758.00	0.082326
759.00	0.084016
760.00	0.085706
761.00	0.087396
762.00	0.089086
763.00	0.090776
764.00	0.092466
765.00	0.094156
766.00	0.095846
767.00	0.097536
768.00	0.099311
769.00	0.10139
770.00	0.10347
771.00	0.10554
772.00	0.10762
773.00	0.10970
774.00	0.11177
775.00	0.11385
776.00	0.11593
777.00	0.11801
778.00	0.12008
779.00	0.12216
780.00	0.12424
781.00	0.12632
782.00	0.12858
783.00	0.13093
784.00	0.13328
785.00	0.13564
786.00	0.13799
787.00	0.14034
788.00	0.14269
789.00	0.14505
790.00	0.14740
791.00	0.14975
792.00	0.15210
793.00	0.15447
794.00	0.15683
795.00	0.15920
796.00	0.16157
797.00	0.16394
798.00	0.16631
799.00	0.16867
800.00	0.17104
801.00	0.17341
802.00	0.17530
803.00	0.17714
804.00	0.17898
805.00	0.18083
806.00	0.18267
807.00	0.18452
808.00	0.18636
809.00	0.18820
810.00	0.19005
811.00	0.19189
812.00	0.19363
813.00	0.19525
814.00	0.19686
815.00	0.19848
816.00	0.20010
817.00	0.20172
818.00	0.20334
819.00	0.20496
820.00	0.20657
821.00	0.20819
822.00	0.20981
823.00	0.21143
824.00	0.21305
825.00	0.21460
826.00	0.21594
827.00	0.21728
828.00	0.21861
829.00	0.21995
830.00	0.22129
831.00	0.22262
832.00	0.22396
833.00	0.22530
834.00	0.22663
835.00	0.22797
836.00	0.22931
837.00	0.23064
838.00	0.23198
839.00	0.23331
840.00	0.23468
841.00	0.23615
842.00	0.23761
843.00	0.23907
844.00	0.24053
845.00	0.24199
846.00	0.24346
847.00	0.24492
848.00	0.24638
849.00	0.24784
850.00	0.24930
851.00	0.25077
852.00	0.25223
853.00	0.25369
854.00	0.25515
855.00	0.25666
856.00	0.25821
857.00	0.25976
858.00	0.26131
859.00	0.26286
860.00	0.26440
861.00	0.26595
862.00	0.26750
863.00	0.26905
864.00	0.27060
865.00	0.27215
866.00	0.27378
867.00	0.27548
868.00	0.27717
869.00	0.27887
870.00	0.28056
871.00	0.28226
872.00	0.28396
873.00	0.28565
874.00	0.28735
875.00	0.28904
876.00	0.29081
877.00	0.29258
878.00	0.29436
879.00	0.29613
880.00	0.29790
881.00	0.29967
882.00	0.30144
883.00	0.30321
884.00	0.30498
885.00	0.30676
886.00	0.30853
887.00	0.31000
888.00	0.31136
889.00	0.31271
890.00	0.31407
891.00	0.31542
892.00	0.31678
893.00	0.31813
894.00	0.31949
895.00	0.32056
896.00	0.32135
897.00	0.32215
898.00	0.32295
899.00	0.32375
900.00	0.32455
901.00	0.32532
902.00	0.32546
903.00	0.32560
904.00	0.32574
905.00	0.32588
906.00	0.32602
907.00	0.32578
908.00	0.32554
909.00	0.32530
910.00	0.32506
911.00	0.32481
912.00	0.32455
913.00	0.32357
914.00	0.32258
915.00	0.32160
916.00	0.32062
917.00	0.31963
918.00	0.31865
919.00	0.31747
920.00	0.31572
921.00	0.31397
922.00	0.31223
923.00	0.31048
924.00	0.30873
925.00	0.30699
926.00	0.30515
927.00	0.30320
928.00	0.30126
929.00	0.29931
930.00	0.29737
931.00	0.29542
932.00	0.29348
933.00	0.29153
934.00	0.28886
935.00	0.28607
936.00	0.28328
937.00	0.28050
938.00	0.27771
939.00	0.27492
940.00	0.27214
941.00	0.26935
942.00	0.26657
943.00	0.26331
944.00	0.25997
945.00	0.25662
946.00	0.25328
947.00	0.24994
948.00	0.24659
949.00	0.24325
950.00	0.23991
951.00	0.23656
952.00	0.23322
953.00	0.22987
954.00	0.22646
955.00	0.22299
956.00	0.21951
957.00	0.21604
958.00	0.21256
959.00	0.20909
960.00	0.20562
961.00	0.20214
962.00	0.19867
963.00	0.19519
964.00	0.19172
965.00	0.18826
966.00	0.18482
967.00	0.18138
968.00	0.17794
969.00	0.17450
970.00	0.17106
971.00	0.16762
972.00	0.16419
973.00	0.16075
974.00	0.15731
975.00	0.15387
976.00	0.15043
977.00	0.14699
978.00	0.14388
979.00	0.14102
980.00	0.13817
981.00	0.13531
982.00	0.13245
983.00	0.12959
984.00	0.12674
985.00	0.12388
986.00	0.12102
987.00	0.11816
988.00	0.11531
989.00	0.11245
990.00	0.10959
991.00	0.10721
992.00	0.10489
993.00	0.10258
994.00	0.10026
995.00	0.097946
996.00	0.095631
997.00	0.093315
998.00	0.091000
999.00	0.088685
1000.0	0.086370
1001.0	0.084055
1002.0	0.081740
1003.0	0.079571
1004.0	0.077620
1005.0	0.075670
1006.0	0.073719
1007.0	0.071768
1008.0	0.069818
1009.0	0.067867
1010.0	0.065916
1011.0	0.063966
1012.0	0.062015
1013.0	0.060065
1014.0	0.058114
1015.0	0.056163
1016.0	0.054543
1017.0	0.053254
1018.0	0.051965
1019.0	0.050676
1020.0	0.049386
1021.0	0.048097
1022.0	0.046808
1023.0	0.045519
1024.0	0.044230
1025.0	0.042940
1026.0	0.041651
1027.0	0.040362
1028.0	0.039073
1029.0	0.037783
1030.0	0.036494
1031.0	0.035205
1032.0	0.034267
1033.0	0.033329
1034.0	0.032390
1035.0	0.031452
1036.0	0.030514
1037.0	0.029576
1038.0	0.028638
1039.0	0.027700
1040.0	0.026761
1041.0	0.025823
1042.0	0.024885
1043.0	0.023947
1044.0	0.023009
1045.0	0.022071
1046.0	0.021401
1047.0	0.020798
1048.0	0.020194
1049.0	0.019591
1050.0	0.018988
1051.0	0.018385
1052.0	0.017782
1053.0	0.017179
1054.0	0.016576
1055.0	0.015973
1056.0	0.015370
1057.0	0.014767
1058.0	0.014164
1059.0	0.013577
1060.0	0.013026
1061.0	0.012476
1062.0	0.011925
1063.0	0.011375
1064.0	0.010825
1065.0	0.010274
1066.0	0.0097236
1067.0	0.0091732
1068.0	0.0086227
1069.0	0.0080722
1070.0	0.0075218
1071.0	0.0070316
1072.0	0.0067829
1073.0	0.0065341
1074.0	0.0062853
1075.0	0.0060366
1076.0	0.0057878
1077.0	0.0055390
1078.0	0.0052902
1079.0	0.0050415
1080.0	0.0047927
1081.0	0.0045439
1082.0	0.0042951
1083.0	0.0040688
1084.0	0.0038946
1085.0	0.0037205
1086.0	0.0035463
1087.0	0.0033722
1088.0	0.0031981
1089.0	0.0030239
1090.0	0.0028498
1091.0	0.0026756
1092.0	0.0026408
1093.0	0.0026408
1094.0	0.0026408
1095.0	0.0026408
1096.0	0.0026408
1097.0	0.0026408
1098.0	0.0026408
1099.0	0.0026408
1100.0	0.0026408
1101.0	
1102.0	
1103.0	
1104.0	
1105.0	
1106.0	
1107.0	
1108.0	
1109.0	
1110.0	
1111.0	
1112.0	
1113.0	
1114.0	
1115.0	
1116.0	
1117.0	
1118.0	
1119.0	
1120.0	
1121.0	
1122.0	
1123.0	
1124.0	
1125.0	
1126.0	
1127.0	
1128.0	
1129.0	
1130.0	
1131.0	
1132.0	
1133.0	
1134.0	
1135.0	
1136.0	
1137.0	
1138.0	
1139.0	
1140.0	
1141.0	
1142.0	
1143.0	
1144.0	
1145.0	
1146.0	
1147.0	
1148.0	
1149.0	
1150.0	
1151.0	
1152.0	
1153.0	
1154.0	
1155.0	
1156.0	
1157.0	
1158.0	
1159.0	
1160.0	
1161.0	
1162.0	
1163.0	
1164.0	
1165.0	
1166.0	
1167.0	
1168.0	
1169.0	
1170.0	
1171.0	
1172.0	
1173.0	
1174.0	
1175.0	
1176.0	
1177.0	
1178.0	
1179.0	
1180.0	
1181.0	
1182.0	
1183.0	
1184.0	
1185.0	
1186.0	
1187.0	
1188.0	
1189.0	
1190.0	
1191.0	
1192.0	
1193.0	
1194.0	
1195.0	
1196.0	
1197.0	
1198.0	
1199.0	
1200.0	
