Wavelength (nm)	A15 abs e
215.00	2223.6
216.00	2122.7
217.00	2145.5
218.00	2252.2
219.00	2434.1
220.00	2685.4
221.00	2991.2
222.00	3360.5
223.00	3781.8
224.00	4252.0
225.00	4763.4
226.00	5317.7
227.00	5904.7
228.00	6527.1
229.00	7160.9
230.00	7819.4
231.00	8475.8
232.00	9122.1
233.00	9740.6
234.00	10323
235.00	10893
236.00	11412
237.00	11874
238.00	12257
239.00	12548
240.00	12735
241.00	12800
242.00	12776
243.00	12654
244.00	12422
245.00	12123
246.00	11735
247.00	11220
248.00	10597
249.00	9852.0
250.00	8980.6
251.00	8075.2
252.00	7200.9
253.00	6348.2
254.00	5567.5
255.00	4799.6
256.00	4053.8
257.00	3388.2
258.00	2795.7
259.00	2295.7
260.00	1908.3
261.00	1598.3
262.00	1347.9
263.00	1168.0
264.00	1049.4
265.00	974.37
266.00	930.04
267.00	912.82
268.00	914.11
269.00	922.32
270.00	935.57
271.00	952.74
272.00	968.38
273.00	982.37
274.00	1000.8
275.00	1021.2
276.00	1042.9
277.00	1062.6
278.00	1073.9
279.00	1076.7
280.00	1064.9
281.00	1038.5
282.00	1008.0
283.00	974.07
284.00	947.65
285.00	925.21
286.00	902.22
287.00	871.36
288.00	819.53
289.00	752.29
290.00	674.30
291.00	596.36
292.00	521.59
293.00	451.23
294.00	381.65
295.00	318.50
296.00	265.27
297.00	215.76
298.00	177.99
299.00	149.63
300.00	123.79
301.00	107.77
302.00	96.064
303.00	87.551
304.00	81.332
305.00	77.578
306.00	74.790
307.00	72.117
308.00	70.496
309.00	68.266
310.00	70.525
311.00	69.519
312.00	67.777
313.00	67.277
314.00	68.352
315.00	68.938
316.00	70.134
317.00	66.449
318.00	64.231
319.00	62.311
320.00	62.937
321.00	61.673
322.00	62.880
323.00	59.713
324.00	59.971
325.00	54.936
326.00	55.959
327.00	56.522
328.00	57.465
329.00	57.126
330.00	52.769
331.00	47.331
332.00	46.469
333.00	45.423
334.00	47.411
335.00	46.003
336.00	42.272
337.00	37.973
338.00	33.495
339.00	32.501
340.00	38.191
341.00	36.484
342.00	33.231
343.00	29.759
344.00	30.310
345.00	24.401
346.00	26.160
347.00	25.557
348.00	27.574
349.00	24.723
350.00	21.636
