Wavelength (nm)	MesoP IX (0.1 M PPB).abs
651.00	0.0059158
652.00	0.0055257
653.00	0.0043787
654.00	0.0047062
655.00	0.0040415
656.00	0.0034438
657.00	0.0034626
658.00	0.0031692
659.00	0.0057784
660.00	0.0042784
661.00	0.0045821
662.00	0.0044051
663.00	0.0043180
664.00	0.0036868
665.00	0.0030186
666.00	0.0034200
667.00	0.0041410
668.00	0.0029447
669.00	0.0033461
670.00	0.0030081
671.00	0.0030186
672.00	0.0024297
673.00	0.0035732
674.00	0.0030450
675.00	0.0025881
676.00	0.0024561
677.00	0.0017959
678.00	0.0034359
679.00	0.0023505
680.00	0.0024033
681.00	0.0027175
682.00	0.0021392
683.00	0.0022976
684.00	0.0023769
685.00	0.0024033
686.00	0.0028945
687.00	0.0016902
688.00	0.0015582
689.00	0.0015318
690.00	0.0012413
691.00	0.0022712
692.00	0.00095075
693.00	0.0016638
694.00	0.00073947
695.00	0.0020071
696.00	0.0019807
697.00	0.0018751
698.00	0.0020335
699.00	0.0015846
700.00	0.0018487
