Wavelength (nm)	FL154 [13] 574-12-9, Isoflavone [D]
222.00	8438.3
223.00	8950.0
224.00	9514.1
225.00	10220
226.00	10878
227.00	11521
228.00	12148
229.00	12777
230.00	13406
231.00	14032
232.00	14659
233.00	15243
234.00	15807
235.00	16371
236.00	16884
237.00	17374
238.00	17860
239.00	18329
240.00	18646
241.00	18923
242.00	19076
243.00	19200
244.00	19055
245.00	18899
246.00	18601
247.00	18303
248.00	17847
249.00	17322
250.00	16557
251.00	15789
252.00	14993
253.00	14197
254.00	13392
255.00	12575
256.00	11758
257.00	10941
258.00	10211
259.00	9558.8
260.00	8906.6
261.00	8254.5
262.00	7602.4
263.00	6974.3
264.00	6449.1
265.00	5924.0
266.00	5398.8
267.00	4916.4
268.00	4562.6
269.00	4208.8
270.00	3855.0
271.00	3602.3
272.00	3379.7
273.00	3172.3
274.00	3013.0
275.00	2853.7
276.00	2742.9
277.00	2665.7
278.00	2588.9
279.00	2557.2
280.00	2530.0
281.00	2549.0
282.00	2568.1
283.00	2632.3
284.00	2698.4
285.00	2764.6
286.00	2862.5
287.00	2963.1
288.00	3063.8
289.00	3165.5
290.00	3292.1
291.00	3418.7
292.00	3545.4
293.00	3684.9
294.00	3832.7
295.00	3980.5
296.00	4128.4
297.00	4275.8
298.00	4418.5
299.00	4543.5
300.00	4668.5
301.00	4763.3
302.00	4850.0
303.00	4921.3
304.00	4948.5
305.00	4966.7
306.00	4923.9
307.00	4881.1
308.00	4788.0
309.00	4688.0
310.00	4557.5
311.00	4391.1
312.00	4224.8
313.00	4001.6
314.00	3728.0
315.00	3454.5
316.00	3123.8
317.00	2786.0
318.00	2499.6
319.00	2258.7
320.00	2017.8
321.00	1769.0
322.00	1518.5
323.00	1268.1
324.00	1082.1
325.00	907.53
326.00	761.93
327.00	677.98
328.00	594.03
329.00	510.07
330.00	432.69
331.00	389.82
332.00	346.95
333.00	304.23
334.00	277.35
335.00	250.47
336.00	223.59
337.00	196.71
338.00	173.70
339.00	158.19
340.00	142.69
341.00	127.19
342.00	113.80
343.00	102.90
344.00	91.986
345.00	81.078
346.00	70.169
347.00	61.371
348.00	53.866
349.00	46.361
350.00	38.856
351.00	33.227
352.00	27.902
353.00	24.776
354.00	22.209
355.00	19.681
356.00	19.604
357.00	19.527
358.00	19.450
359.00	19.373
360.00	19.296
361.00	19.218
362.00	19.141
363.00	19.064
364.00	18.987
365.00	18.910
366.00	18.910
367.00	18.910
368.00	18.910
369.00	18.910
370.00	18.910
371.00	18.910
372.00	18.910
373.00	18.910
374.00	18.910
375.00	18.910
376.00	18.910
377.00	18.910
378.00	18.910
379.00	18.910
380.00	18.910
381.00	18.910
382.00	18.910
383.00	18.910
384.00	18.910
385.00	18.910
386.00	18.910
387.00	18.910
388.00	18.910
389.00	18.910
390.00	18.910
391.00	18.910
392.00	18.910
393.00	18.910
394.00	18.910
395.00	18.910
396.00	18.910
397.00	18.910
398.00	18.910
399.00	18.910
400.00	18.910
