Wavelength (nm)	"70, Inorg Chem 1999_5379, 9"
618.00	0.044492
619.00	0.044962
620.00	0.045512
621.00	0.046062
622.00	0.046612
623.00	0.047162
624.00	0.047712
625.00	0.048263
626.00	0.048813
627.00	0.049363
628.00	0.049913
629.00	0.050463
630.00	0.051013
631.00	0.051563
632.00	0.052730
633.00	0.054070
634.00	0.055411
635.00	0.056752
636.00	0.058092
637.00	0.059433
638.00	0.060773
639.00	0.062114
640.00	0.063455
641.00	0.064795
642.00	0.066902
643.00	0.069025
644.00	0.071148
645.00	0.073271
646.00	0.075394
647.00	0.077517
648.00	0.079639
649.00	0.081629
650.00	0.082797
651.00	0.083965
652.00	0.085133
653.00	0.086301
654.00	0.087469
655.00	0.088223
656.00	0.088744
657.00	0.089265
658.00	0.089787
659.00	0.090308
660.00	0.090829
661.00	0.091351
662.00	0.091872
663.00	0.092393
664.00	0.092915
665.00	0.092998
666.00	0.092998
667.00	0.092998
668.00	0.092998
669.00	0.092998
670.00	0.092998
671.00	0.092998
672.00	0.092998
673.00	0.092998
674.00	0.092998
675.00	0.092998
676.00	0.093136
677.00	0.093281
678.00	0.093427
679.00	0.093572
680.00	0.093717
681.00	0.093863
682.00	0.094008
683.00	0.094153
684.00	0.094299
685.00	0.094444
686.00	0.094589
687.00	0.095383
688.00	0.096248
689.00	0.097113
690.00	0.097979
691.00	0.098844
692.00	0.099709
693.00	0.10057
694.00	0.10144
695.00	0.10263
696.00	0.10401
697.00	0.10539
698.00	0.10678
699.00	0.10816
700.00	0.10954
701.00	0.11092
702.00	0.11230
703.00	0.11369
704.00	0.11522
705.00	0.11682
706.00	0.11843
707.00	0.12004
708.00	0.12165
709.00	0.12326
710.00	0.12487
711.00	0.12647
712.00	0.12807
713.00	0.12967
714.00	0.13126
715.00	0.13285
716.00	0.13444
717.00	0.13603
718.00	0.13762
719.00	0.13921
720.00	0.14080
721.00	0.14257
722.00	0.14438
723.00	0.14619
724.00	0.14800
725.00	0.14981
726.00	0.15163
727.00	0.15344
728.00	0.15525
729.00	0.15706
730.00	0.15888
731.00	0.16092
732.00	0.16307
733.00	0.16521
734.00	0.16735
735.00	0.16950
736.00	0.17164
737.00	0.17379
738.00	0.17593
739.00	0.17793
740.00	0.17980
741.00	0.18167
742.00	0.18354
743.00	0.18541
744.00	0.18728
745.00	0.18915
746.00	0.19102
747.00	0.19289
748.00	0.19499
749.00	0.19727
750.00	0.19956
751.00	0.20184
752.00	0.20412
753.00	0.20641
754.00	0.20869
755.00	0.21083
756.00	0.21237
757.00	0.21391
758.00	0.21545
759.00	0.21700
760.00	0.21854
761.00	0.22008
762.00	0.22162
763.00	0.22316
764.00	0.22470
765.00	0.22625
766.00	0.22771
767.00	0.22898
768.00	0.23026
769.00	0.23154
770.00	0.23282
771.00	0.23409
772.00	0.23537
773.00	0.23665
774.00	0.23792
775.00	0.23920
776.00	0.24048
777.00	0.24176
778.00	0.24293
779.00	0.24410
780.00	0.24526
781.00	0.24642
782.00	0.24759
783.00	0.24875
784.00	0.24992
785.00	0.25108
786.00	0.25224
787.00	0.25341
788.00	0.25457
789.00	0.25573
790.00	0.25690
791.00	0.25806
792.00	0.25936
793.00	0.26083
794.00	0.26231
795.00	0.26378
796.00	0.26525
797.00	0.26672
798.00	0.26819
799.00	0.26967
800.00	0.27114
801.00	0.27261
802.00	0.27408
803.00	0.27555
804.00	0.27703
805.00	0.27850
806.00	0.28046
807.00	0.28280
808.00	0.28513
809.00	0.28747
810.00	0.28980
811.00	0.29214
812.00	0.29447
813.00	0.29681
814.00	0.29909
815.00	0.30102
816.00	0.30295
817.00	0.30487
818.00	0.30680
819.00	0.30873
820.00	0.31066
821.00	0.31258
822.00	0.31451
823.00	0.31631
824.00	0.31791
825.00	0.31952
826.00	0.32113
827.00	0.32274
828.00	0.32435
829.00	0.32596
830.00	0.32757
831.00	0.32918
832.00	0.33079
833.00	0.33239
834.00	0.33379
835.00	0.33500
836.00	0.33621
837.00	0.33742
838.00	0.33864
839.00	0.33985
840.00	0.34106
841.00	0.34227
842.00	0.34344
843.00	0.34424
844.00	0.34504
845.00	0.34583
846.00	0.34663
847.00	0.34608
848.00	0.34554
849.00	0.34499
850.00	0.34445
851.00	0.34390
852.00	0.34335
853.00	0.34218
854.00	0.34101
855.00	0.33985
856.00	0.33868
857.00	0.33752
858.00	0.33635
859.00	0.33462
860.00	0.33272
861.00	0.33082
862.00	0.32892
863.00	0.32701
864.00	0.32511
865.00	0.32321
866.00	0.32130
867.00	0.31913
868.00	0.31636
869.00	0.31360
870.00	0.31084
871.00	0.30808
872.00	0.30532
873.00	0.30255
874.00	0.29979
875.00	0.29703
876.00	0.29423
877.00	0.29100
878.00	0.28777
879.00	0.28454
880.00	0.28131
881.00	0.27808
882.00	0.27485
883.00	0.27162
884.00	0.26839
885.00	0.26516
886.00	0.26193
887.00	0.25861
888.00	0.25518
889.00	0.25176
890.00	0.24833
891.00	0.24491
892.00	0.24148
893.00	0.23806
894.00	0.23463
895.00	0.23120
896.00	0.22778
897.00	0.22432
898.00	0.22084
899.00	0.21736
900.00	0.21388
901.00	0.21040
902.00	0.20692
903.00	0.20344
904.00	0.19996
905.00	0.19648
906.00	0.19300
907.00	0.18957
908.00	0.18619
909.00	0.18280
910.00	0.17941
911.00	0.17602
912.00	0.17263
913.00	0.16924
914.00	0.16585
915.00	0.16246
916.00	0.15908
917.00	0.15581
918.00	0.15295
919.00	0.15009
920.00	0.14722
921.00	0.14436
922.00	0.14150
923.00	0.13863
924.00	0.13577
925.00	0.13291
926.00	0.13004
927.00	0.12718
928.00	0.12432
929.00	0.12156
930.00	0.11907
931.00	0.11659
932.00	0.11411
933.00	0.11163
934.00	0.10915
935.00	0.10667
936.00	0.10419
937.00	0.10171
938.00	0.099231
939.00	0.096751
940.00	0.094341
941.00	0.092053
942.00	0.089764
943.00	0.087476
944.00	0.085188
945.00	0.082899
946.00	0.080611
947.00	0.078322
948.00	0.076034
949.00	0.073808
950.00	0.072041
951.00	0.070274
952.00	0.068507
953.00	0.066740
954.00	0.064973
955.00	0.063206
956.00	0.061439
957.00	0.059672
958.00	0.057905
959.00	0.056138
960.00	0.054371
961.00	0.052634
962.00	0.051081
963.00	0.049528
964.00	0.047975
965.00	0.046422
966.00	0.044869
967.00	0.043316
968.00	0.041763
969.00	0.040210
970.00	0.038657
971.00	0.037104
972.00	0.036003
973.00	0.035016
974.00	0.034028
975.00	0.033041
976.00	0.032054
977.00	0.031066
978.00	0.030079
979.00	0.029092
980.00	0.028104
981.00	0.027117
982.00	0.026172
983.00	0.025278
984.00	0.024384
985.00	0.023490
986.00	0.022596
987.00	0.021702
988.00	0.020808
989.00	0.019915
990.00	0.019021
991.00	0.018127
992.00	0.017317
993.00	0.016553
994.00	0.015789
995.00	0.015024
996.00	0.014260
997.00	0.013496
998.00	0.012731
999.00	0.011967
1000.0	0.011203
1001.0	0.010465
1002.0	0.0099612
1003.0	0.0094578
1004.0	0.0089544
1005.0	0.0084510
1006.0	0.0079475
1007.0	0.0074441
1008.0	0.0069407
1009.0	0.0064373
1010.0	0.0060458
1011.0	0.0058224
1012.0	0.0055989
1013.0	0.0053754
1014.0	0.0051520
1015.0	0.0049285
1016.0	0.0047051
1017.0	0.0044816
1018.0	0.0042581
1019.0	0.0040347
1020.0	0.0038410
1021.0	0.0036672
1022.0	0.0034935
1023.0	0.0033197
1024.0	0.0031459
1025.0	0.0029721
1026.0	0.0027983
1027.0	0.0026245
1028.0	0.0024594
1029.0	0.0023291
1030.0	0.0021987
1031.0	0.0020684
1032.0	0.0019380
1033.0	0.0018077
1034.0	0.0016773
1035.0	0.0015470
1036.0	0.0014166
1037.0	0.0012863
1038.0	0.0011559
1039.0	0.0010256
1040.0	0.0010256
1041.0	0.0010256
1042.0	0.0010256
1043.0	0.0010256
1044.0	0.0010256
1045.0	0.0010256
1046.0	0.0010256
1047.0	0.0010256
1048.0	0.0010256
1049.0	0.0010256
1050.0	0.0010256
1051.0	
1052.0	
1053.0	
1054.0	
1055.0	
1056.0	
1057.0	
1058.0	
1059.0	
1060.0	
1061.0	
1062.0	
1063.0	
1064.0	
1065.0	
1066.0	
1067.0	
1068.0	
1069.0	
1070.0	
1071.0	
1072.0	
1073.0	
1074.0	
1075.0	
1076.0	
1077.0	
1078.0	
1079.0	
1080.0	
1081.0	
1082.0	
1083.0	
1084.0	
1085.0	
1086.0	
1087.0	
1088.0	
1089.0	
1090.0	
1091.0	
1092.0	
1093.0	
1094.0	
1095.0	
1096.0	
1097.0	
1098.0	
1099.0	
1100.0	
1101.0	
1102.0	
1103.0	
1104.0	
1105.0	
1106.0	
1107.0	
1108.0	
1109.0	
1110.0	
1111.0	
1112.0	
1113.0	
1114.0	
1115.0	
1116.0	
1117.0	
1118.0	
1119.0	
1120.0	
1121.0	
1122.0	
1123.0	
1124.0	
1125.0	
1126.0	
1127.0	
1128.0	
1129.0	
1130.0	
1131.0	
1132.0	
1133.0	
1134.0	
1135.0	
1136.0	
1137.0	
1138.0	
1139.0	
1140.0	
1141.0	
1142.0	
1143.0	
1144.0	
1145.0	
1146.0	
1147.0	
1148.0	
1149.0	
1150.0	
1151.0	
1152.0	
1153.0	
1154.0	
1155.0	
1156.0	
1157.0	
1158.0	
1159.0	
1160.0	
1161.0	
1162.0	
1163.0	
1164.0	
1165.0	
1166.0	
1167.0	
1168.0	
1169.0	
1170.0	
1171.0	
1172.0	
1173.0	
1174.0	
1175.0	
1176.0	
1177.0	
1178.0	
1179.0	
1180.0	
1181.0	
1182.0	
1183.0	
1184.0	
1185.0	
1186.0	
1187.0	
1188.0	
1189.0	
1190.0	
1191.0	
1192.0	
1193.0	
1194.0	
1195.0	
1196.0	
1197.0	
1198.0	
1199.0	
1200.0	
