Wavelength (nm)	FL028 [8] 6515-37-3, 4'-Hydroxyflavanone [D]
220.00	24466
221.00	23049
222.00	21631
223.00	20109
224.00	18458
225.00	16806
226.00	15182
227.00	13864
228.00	12547
229.00	11383
230.00	10518
231.00	9653.7
232.00	8974.9
233.00	8481.9
234.00	8009.5
235.00	7774.2
236.00	7576.4
237.00	7470.0
238.00	7417.3
239.00	7490.0
240.00	7581.5
241.00	7753.6
242.00	7925.7
243.00	8201.6
244.00	8491.8
245.00	8772.3
246.00	9041.3
247.00	9310.4
248.00	9572.3
249.00	9829.9
250.00	10068
251.00	10225
252.00	10383
253.00	10425
254.00	10484
255.00	10421
256.00	10323
257.00	10090
258.00	9857.6
259.00	9588.5
260.00	9276.6
261.00	8964.8
262.00	8639.0
263.00	8257.5
264.00	7876.1
265.00	7494.6
266.00	7018.0
267.00	6535.3
268.00	6050.1
269.00	5542.0
270.00	5031.7
271.00	4500.8
272.00	3969.8
273.00	3545.6
274.00	3141.0
275.00	2920.8
276.00	2844.3
277.00	2777.1
278.00	2720.4
279.00	2663.6
280.00	2590.6
281.00	2502.6
282.00	2414.5
283.00	2325.6
284.00	2218.8
285.00	2112.1
286.00	1995.8
287.00	1866.2
288.00	1737.0
289.00	1602.6
290.00	1512.3
291.00	1487.9
292.00	1472.0
293.00	1487.8
294.00	1503.6
295.00	1547.6
296.00	1599.0
297.00	1673.8
298.00	1759.0
299.00	1846.8
300.00	1939.0
301.00	2031.2
302.00	2121.3
303.00	2211.1
304.00	2300.9
305.00	2391.3
306.00	2491.5
307.00	2591.7
308.00	2691.9
309.00	2794.8
310.00	2898.4
311.00	3002.0
312.00	3105.6
313.00	3203.7
314.00	3301.2
315.00	3398.8
316.00	3491.5
317.00	3581.6
318.00	3671.7
319.00	3739.5
320.00	3791.9
321.00	3844.3
322.00	3874.1
323.00	3903.9
324.00	3893.9
325.00	3883.9
326.00	3828.2
327.00	3772.5
328.00	3705.8
329.00	3629.7
330.00	3553.5
331.00	3463.7
332.00	3364.7
333.00	3265.6
334.00	3162.8
335.00	3034.1
336.00	2905.4
337.00	2776.7
338.00	2647.1
339.00	2516.9
340.00	2386.6
341.00	2252.1
342.00	2111.2
343.00	1970.3
344.00	1830.7
345.00	1695.2
346.00	1559.7
347.00	1428.9
348.00	1299.8
349.00	1191.0
350.00	1082.3
