Wavelength (nm)	J10 abs e
280.00	8940.9
281.00	8879.8
282.00	8880.2
283.00	8943.5
284.00	9058.7
285.00	9223.5
286.00	9421.3
287.00	9644.9
288.00	9878.7
289.00	10148
290.00	10416
291.00	10698
292.00	10970
293.00	11246
294.00	11519
295.00	11783
296.00	12038
297.00	12304
298.00	12578
299.00	12835
300.00	13108
301.00	13405
302.00	13686
303.00	13971
304.00	14257
305.00	14538
306.00	14805
307.00	15026
308.00	15210
309.00	15362
310.00	15436
311.00	15477
312.00	15467
313.00	15413
314.00	15351
315.00	15280
316.00	15181
317.00	15091
318.00	15006
319.00	14932
320.00	14844
321.00	14796
322.00	14709
323.00	14595
324.00	14440
325.00	14268
326.00	14036
327.00	13763
328.00	13463
329.00	13085
330.00	12663
331.00	12236
332.00	11795
333.00	11358
334.00	10936
335.00	10543
336.00	10172
337.00	9832.6
338.00	9539.1
339.00	9279.4
340.00	9051.1
341.00	8863.6
342.00	8712.0
343.00	8577.5
344.00	8454.8
345.00	8359.2
346.00	8285.9
347.00	8226.5
348.00	8190.6
349.00	8157.7
350.00	8141.9
351.00	8127.7
352.00	8124.5
353.00	8134.2
354.00	8162.3
355.00	8192.1
356.00	8220.5
357.00	8240.5
358.00	8263.6
359.00	8286.4
360.00	8298.3
361.00	8310.6
362.00	8335.7
363.00	8336.4
364.00	8323.8
365.00	8331.5
366.00	8306.9
367.00	8309.1
368.00	8290.5
369.00	8272.8
370.00	8252.5
371.00	8238.4
372.00	8208.2
373.00	8181.7
374.00	8157.3
375.00	8108.1
376.00	8072.3
377.00	7978.0
378.00	7894.2
379.00	7816.3
380.00	7710.1
381.00	7597.1
382.00	7482.3
383.00	7339.7
384.00	7191.7
385.00	7030.2
386.00	6880.0
387.00	6740.4
388.00	6575.6
389.00	6437.3
390.00	6298.3
391.00	6150.1
392.00	6003.1
393.00	5865.3
394.00	5764.2
395.00	5644.4
396.00	5522.1
397.00	5394.9
398.00	5278.4
399.00	5161.6
400.00	5074.4
401.00	4967.5
402.00	4856.7
403.00	4762.6
404.00	4656.4
405.00	4576.7
406.00	4504.0
407.00	4440.4
408.00	4383.5
409.00	4338.9
410.00	4283.0
411.00	4257.9
412.00	4219.1
413.00	4202.6
414.00	4191.7
415.00	4187.5
416.00	4178.5
417.00	4176.2
418.00	4177.6
419.00	4191.4
420.00	4203.3
421.00	4226.4
422.00	4245.1
423.00	4269.5
424.00	4301.6
