Wavelength (nm)	Eur J Inorg Chem 2021_1904, Zn-DPiCC 2 (MeOH) abs [Z]
250.00	0.47686
251.00	0.45685
252.00	0.43685
253.00	0.42669
254.00	0.41652
255.00	0.40636
256.00	0.39619
257.00	0.38603
258.00	0.37970
259.00	0.37358
260.00	0.36746
261.00	0.36134
262.00	0.35572
263.00	0.35318
264.00	0.35064
265.00	0.34811
266.00	0.34557
267.00	0.34304
268.00	0.34050
269.00	0.33836
270.00	0.33632
271.00	0.33428
272.00	0.33224
273.00	0.33020
274.00	0.32816
275.00	0.32612
276.00	0.32407
277.00	0.32203
278.00	0.31999
279.00	0.31754
280.00	0.31421
281.00	0.31087
282.00	0.30753
283.00	0.30351
284.00	0.29944
285.00	0.29536
286.00	0.29322
287.00	0.29146
288.00	0.28971
289.00	0.28796
290.00	0.28790
291.00	0.28939
292.00	0.29089
293.00	0.29238
294.00	0.29388
295.00	0.29586
296.00	0.29791
297.00	0.29995
298.00	0.30200
299.00	0.30258
300.00	0.30299
301.00	0.30340
302.00	0.30381
303.00	0.30372
304.00	0.30224
305.00	0.30076
306.00	0.29927
307.00	0.29804
308.00	0.29685
309.00	0.29566
310.00	0.29490
311.00	0.29626
312.00	0.29762
313.00	0.29899
314.00	0.30035
315.00	0.30279
316.00	0.30613
317.00	0.30946
318.00	0.31302
319.00	0.31791
320.00	0.32279
321.00	0.32767
322.00	0.33255
323.00	0.33744
324.00	0.34459
325.00	0.35321
326.00	0.36182
327.00	0.37044
328.00	0.37905
329.00	0.38781
330.00	0.39881
331.00	0.40982
332.00	0.42082
333.00	0.43182
334.00	0.44282
335.00	0.45383
336.00	0.46483
337.00	0.47792
338.00	0.49108
339.00	0.50424
340.00	0.51740
341.00	0.53055
342.00	0.54371
343.00	0.55655
344.00	0.56796
345.00	0.57937
346.00	0.59077
347.00	0.60218
348.00	0.61359
349.00	0.62226
350.00	0.63076
351.00	0.63926
352.00	0.64695
353.00	0.65122
354.00	0.65550
355.00	0.65977
