Wavelngth (nm)	FL067 [11] 22395-22-8, 7-Methoxyflavone [C]
210.00	31637
211.00	30706
212.00	29235
213.00	27417
214.00	25583
215.00	24008
216.00	22668
217.00	21463
218.00	20363
219.00	19338
220.00	18442
221.00	17626
222.00	16882
223.00	16140
224.00	15458
225.00	14855
226.00	14384
227.00	14072
228.00	13930
229.00	13920
230.00	14046
231.00	14288
232.00	14595
233.00	14980
234.00	15404
235.00	15826
236.00	16211
237.00	16538
238.00	16785
239.00	16967
240.00	17096
241.00	17211
242.00	17341
243.00	17488
244.00	17639
245.00	17754
246.00	17815
247.00	17826
248.00	17849
249.00	17912
250.00	17989
251.00	18036
252.00	17998
253.00	17857
254.00	17594
255.00	17204
256.00	16581
257.00	15626
258.00	14340
259.00	12950
260.00	11747
261.00	10852
262.00	10300
263.00	9996.1
264.00	9835.7
265.00	9770.4
266.00	9763.3
267.00	9776.8
268.00	9809.4
269.00	9852.6
270.00	9909.9
271.00	9975.0
272.00	10062
273.00	10162
274.00	10286
275.00	10443
276.00	10631
277.00	10853
278.00	11100
279.00	11403
280.00	11735
281.00	12112
282.00	12521
283.00	12970
284.00	13479
285.00	14011
286.00	14567
287.00	15147
288.00	15734
289.00	16334
290.00	16912
291.00	17512
292.00	18079
293.00	18600
294.00	19105
295.00	19590
296.00	20026
297.00	20425
298.00	20800
299.00	21143
300.00	21483
301.00	21791
302.00	22070
303.00	22312
304.00	22462
305.00	22636
306.00	22700
307.00	22697
308.00	22625
309.00	22500
310.00	22229
311.00	21881
312.00	21487
313.00	21005
314.00	20464
315.00	19894
316.00	19289
317.00	18637
318.00	17969
319.00	17273
320.00	16543
321.00	15785
322.00	14998
323.00	14192
324.00	13383
325.00	12544
326.00	11702
327.00	10871
328.00	10038
329.00	9233.4
330.00	8448.1
331.00	7692.4
332.00	6969.1
333.00	6285.4
334.00	5624.0
335.00	5014.8
336.00	4431.2
337.00	3903.4
338.00	3406.8
339.00	2950.9
340.00	2535.2
341.00	2172.4
342.00	1845.3
343.00	1559.5
344.00	1306.0
345.00	1092.8
346.00	907.85
347.00	755.39
348.00	621.99
349.00	516.44
350.00	422.71
351.00	348.48
352.00	291.49
353.00	247.83
354.00	203.58
355.00	165.24
356.00	140.35
357.00	122.05
358.00	113.15
359.00	90.996
360.00	78.819
361.00	73.677
362.00	69.717
363.00	61.823
364.00	55.392
365.00	51.298
366.00	46.102
367.00	36.530
368.00	38.154
369.00	38.571
370.00	35.322
371.00	34.167
372.00	26.864
373.00	30.596
374.00	25.508
375.00	36.409
376.00	32.180
377.00	31.012
378.00	22.809
379.00	24.984
380.00	26.542
381.00	30.744
382.00	20.769
383.00	14.097
384.00	23.333
385.00	21.803
386.00	29.804
387.00	24.353
388.00	15.802
389.00	19.561
390.00	16.446
391.00	19.171
392.00	22.997
393.00	19.641
394.00	18.379
395.00	22.554
396.00	11.344
397.00	7.0886
398.00	8.9950
399.00	14.029
400.00	18.621
401.00	13.103
402.00	14.526
403.00	14.271
404.00	20.192
405.00	16.580
406.00	9.5991
407.00	7.4242
408.00	16.191
409.00	8.9815
410.00	7.4108
411.00	9.1963
412.00	5.1016
413.00	10.418
414.00	8.0418
415.00	10.082
416.00	17.587
417.00	7.5450
418.00	9.7199
419.00	12.002
420.00	7.9075
421.00	13.788
422.00	10.727
423.00	8.0284
424.00	10.002
425.00	8.4579
426.00	11.116
427.00	6.3636
428.00	11.989
429.00	18.379
430.00	9.6796
431.00	2.8731
432.00	12.633
433.00	16.553
434.00	10.754
435.00	10.176
436.00	18.231
437.00	18.661
438.00	15.023
439.00	7.4913
440.00	12.539
441.00	8.2163
442.00	18.594
443.00	15.546
444.00	16.889
445.00	10.109
446.00	9.5991
447.00	6.3905
448.00	12.392
449.00	11.103
450.00	11.331
451.00	16.768
452.00	17.251
453.00	20.017
454.00	20.124
455.00	17.050
456.00	18.366
457.00	17.587
458.00	13.023
459.00	10.646
460.00	12.606
461.00	22.152
462.00	3.8800
463.00	22.286
464.00	7.6793
465.00	9.1963
466.00	18.164
467.00	21.252
468.00	20.796
469.00	12.163
470.00	3.0207
471.00	17.077
472.00	15.506
473.00	20.004
474.00	21.319
475.00	14.258
476.00	22.380
477.00	8.9010
478.00	9.6259
479.00	15.090
480.00	20.420
481.00	22.823
482.00	20.165
483.00	18.755
484.00	22.111
485.00	16.070
486.00	9.6281
487.00	13.372
488.00	24.635
489.00	9.2635
490.00	2.9805
491.00	16.956
492.00	5.1247
493.00	6.7988
494.00	13.506
495.00	16.701
496.00	11.975
497.00	4.0142
498.00	21.131
499.00	11.560
500.00	8.8339
