Wavelength (nm)	UroP I (in DMSO).abs
491.00	0.060604
492.00	0.064486
493.00	0.068200
494.00	0.071880
495.00	0.075086
496.00	0.078750
497.00	0.081927
498.00	0.084448
499.00	0.084951
500.00	0.084009
501.00	0.082766
502.00	0.081408
503.00	0.079809
504.00	0.077413
505.00	0.073916
506.00	0.069283
507.00	0.064934
508.00	0.060084
509.00	0.055016
510.00	0.049820
511.00	0.044443
512.00	0.039470
513.00	0.035614
514.00	0.032224
515.00	0.029625
516.00	0.027482
517.00	0.026092
518.00	0.024973
519.00	0.024781
520.00	0.025110
521.00	0.026012
522.00	0.026910
523.00	0.028654
524.00	0.031369
525.00	0.034632
526.00	0.037838
527.00	0.040762
528.00	0.043157
529.00	0.045547
530.00	0.047910
531.00	0.049959
532.00	0.050977
533.00	0.050814
534.00	0.050108
535.00	0.048814
536.00	0.046616
537.00	0.043457
538.00	0.039333
539.00	0.034622
540.00	0.030142
541.00	0.026020
542.00	0.023135
543.00	0.020831
544.00	0.018900
545.00	0.017392
546.00	0.016134
547.00	0.015033
548.00	0.014447
549.00	0.013796
550.00	0.013546
551.00	0.013330
552.00	0.013135
553.00	0.013231
554.00	0.013499
555.00	0.013917
556.00	0.014753
557.00	0.015419
558.00	0.016172
559.00	0.017135
560.00	0.018534
561.00	0.020017
562.00	0.022088
563.00	0.024748
564.00	0.027963
565.00	0.031723
566.00	0.035197
567.00	0.037464
568.00	0.038151
569.00	0.037658
570.00	0.036135
571.00	0.034900
572.00	0.034011
573.00	0.032878
574.00	0.031790
575.00	0.031036
576.00	0.029785
577.00	0.028094
578.00	0.027476
579.00	0.025957
580.00	0.024217
581.00	0.021992
582.00	0.020551
583.00	0.018284
584.00	0.016086
585.00	0.014223
586.00	0.012982
587.00	0.011540
588.00	0.010566
589.00	0.010217
590.00	0.0094561
591.00	0.0092265
592.00	0.0091770
593.00	0.0092106
594.00	0.0094618
595.00	0.0092686
596.00	0.0090987
597.00	0.0084976
598.00	0.0078901
599.00	0.0075979
600.00	0.0069428
601.00	0.0064172
602.00	0.0059610
603.00	0.0056745
604.00	0.0058117
605.00	0.0057238
606.00	0.0055876
607.00	0.0058359
608.00	0.0060636
609.00	0.0063370
610.00	0.0067179
611.00	0.0071686
612.00	0.0076063
613.00	0.0080189
614.00	0.0085546
615.00	0.0093414
616.00	0.010296
617.00	0.011326
618.00	0.012835
619.00	0.014843
620.00	0.016704
621.00	0.017972
622.00	0.018756
623.00	0.018499
624.00	0.017163
625.00	0.014858
626.00	0.012308
627.00	0.0098863
628.00	0.0079478
629.00	0.0061644
630.00	0.0047336
631.00	0.0036763
632.00	0.0029913
633.00	0.0025237
634.00	0.0023920
635.00	0.0021485
636.00	0.0018731
637.00	0.0017574
638.00	0.0018498
639.00	0.0014242
640.00	0.0012263
641.00	0.0013775
642.00	0.0010910
643.00	0.0011218
644.00	0.0010961
645.00	0.0016519
646.00	0.0020532
647.00	0.0024199
648.00	0.0023043
649.00	0.0020281
650.00	0.0015679
651.00	0.0015465
652.00	0.0013869
653.00	0.0013607
654.00	0.0013701
655.00	0.00091369
656.00	0.00097863
657.00	0.00097863
658.00	0.00097863
659.00	0.0013309
660.00	0.0012133
661.00	0.0011573
662.00	0.0010406
663.00	0.0010136
664.00	0.00098649
665.00	0.0010798
