Wavelength (nm)	D09 abs e
215.00	43375
216.00	43416
217.00	43398
218.00	43372
219.00	43456
220.00	43424
221.00	43418
222.00	43430
223.00	43419
224.00	43358
225.00	43288
226.00	43224
227.00	43071
228.00	42939
229.00	42781
230.00	42580
231.00	42452
232.00	42244
233.00	41993
234.00	41811
235.00	41589
236.00	41319
237.00	41081
238.00	40797
239.00	40578
240.00	40262
241.00	39917
242.00	39565
243.00	39210
244.00	38800
245.00	38360
246.00	37955
247.00	37500
248.00	37018
249.00	36510
250.00	35981
251.00	35445
252.00	34906
253.00	34346
254.00	33781
255.00	33234
256.00	32692
257.00	32211
258.00	31734
259.00	31322
260.00	30937
261.00	30664
262.00	30414
263.00	30241
264.00	30124
265.00	30096
266.00	30062
267.00	30109
268.00	30150
269.00	30262
270.00	30371
271.00	30485
272.00	30656
273.00	30795
274.00	30951
275.00	31134
276.00	31320
277.00	31474
278.00	31624
279.00	31773
280.00	31897
281.00	31968
282.00	32018
283.00	32090
284.00	32123
285.00	32163
286.00	32182
287.00	32185
288.00	32201
289.00	32223
290.00	32266
291.00	32311
292.00	32374
293.00	32460
294.00	32512
295.00	32577
296.00	32625
297.00	32672
298.00	32685
299.00	32710
300.00	32747
301.00	32832
302.00	32955
303.00	33083
304.00	33316
305.00	33594
306.00	33920
307.00	34292
308.00	34684
309.00	35081
310.00	35442
311.00	35777
312.00	36057
313.00	36369
314.00	36605
315.00	36865
316.00	37063
317.00	37407
318.00	37703
319.00	38100
320.00	38501
321.00	38928
322.00	39388
323.00	39774
324.00	40239
325.00	40657
326.00	40924
327.00	41172
328.00	41314
329.00	41440
330.00	41517
331.00	41622
332.00	41619
333.00	41631
334.00	41698
335.00	41754
336.00	41789
337.00	41790
338.00	41841
339.00	41885
340.00	41827
341.00	41910
342.00	41901
343.00	41838
344.00	41836
345.00	41803
346.00	41771
347.00	41736
348.00	41709
349.00	41689
350.00	41653
351.00	41668
352.00	41733
353.00	41802
354.00	41833
355.00	41924
356.00	42050
357.00	42195
358.00	42362
359.00	42500
360.00	42661
361.00	42685
362.00	42754
363.00	42942
364.00	43013
365.00	43019
366.00	43248
367.00	43224
368.00	43198
369.00	43229
370.00	43315
371.00	43425
372.00	43502
373.00	43447
374.00	43438
375.00	43358
376.00	43461
377.00	43422
378.00	43404
379.00	43381
380.00	43307
381.00	43103
382.00	42774
383.00	42730
384.00	42542
385.00	42422
386.00	42065
387.00	41800
388.00	41521
389.00	41107
390.00	40715
391.00	40261
392.00	39748
393.00	39199
394.00	38728
395.00	38253
396.00	37548
397.00	36966
398.00	36329
399.00	35723
400.00	35037
401.00	34265
402.00	33604
403.00	32887
404.00	32091
405.00	31418
406.00	30682
407.00	29925
408.00	29098
409.00	28294
410.00	27600
411.00	26784
412.00	25956
413.00	25187
414.00	24369
