Wavelength (nm)	Chem Eur J 2018_2987, E4-Me (MeOH) abs [Z]
250.00	0.57398
251.00	0.57023
252.00	0.56648
253.00	0.56388
254.00	0.56251
255.00	0.56115
256.00	0.56419
257.00	0.56826
258.00	0.57305
259.00	0.58263
260.00	0.59221
261.00	0.60213
262.00	0.61208
263.00	0.62202
264.00	0.63197
265.00	0.64219
266.00	0.65253
267.00	0.66287
268.00	0.67321
269.00	0.68325
270.00	0.69111
271.00	0.69896
272.00	0.70682
273.00	0.71468
274.00	0.72140
275.00	0.72644
276.00	0.73148
277.00	0.73651
278.00	0.74006
279.00	0.74321
280.00	0.74637
281.00	0.74981
282.00	0.75385
283.00	0.75789
284.00	0.76192
285.00	0.76718
286.00	0.77343
287.00	0.77969
288.00	0.78708
289.00	0.79612
290.00	0.80515
291.00	0.81419
292.00	0.82532
293.00	0.83657
294.00	0.84782
295.00	0.85906
296.00	0.87091
297.00	0.88477
298.00	0.89863
299.00	0.91248
300.00	0.92451
301.00	0.93535
302.00	0.94620
303.00	0.95704
304.00	0.96630
305.00	0.97555
306.00	0.98473
307.00	0.99356
308.00	0.99884
309.00	0.99942
310.00	1.0000
311.00	0.99608
312.00	0.99046
313.00	0.98153
314.00	0.97260
315.00	0.95687
316.00	0.94101
317.00	0.92057
318.00	0.89883
319.00	0.87710
320.00	0.85536
321.00	0.82427
322.00	0.79318
323.00	0.76208
324.00	0.73099
325.00	0.69902
326.00	0.66592
327.00	0.63282
328.00	0.59973
329.00	0.56674
330.00	0.53421
331.00	0.50168
332.00	0.46914
333.00	0.43710
334.00	0.40898
335.00	0.38087
336.00	0.35275
337.00	0.33007
338.00	0.30874
339.00	0.28742
340.00	0.27528
341.00	0.26343
342.00	0.25158
343.00	0.24126
344.00	0.23377
345.00	0.22628
346.00	0.21907
347.00	0.21719
348.00	0.21531
349.00	0.21343
350.00	0.21155
351.00	0.21225
352.00	0.21360
353.00	0.21494
354.00	0.21635
355.00	0.21978
356.00	0.22322
357.00	0.22665
358.00	0.23008
359.00	0.23351
360.00	0.23757
361.00	0.24220
362.00	0.24683
363.00	0.25146
364.00	0.25661
365.00	0.26313
366.00	0.26964
367.00	0.27615
368.00	0.28267
369.00	0.28918
370.00	0.29574
371.00	0.30263
372.00	0.30951
373.00	0.31639
374.00	0.32328
375.00	0.33016
376.00	0.33704
377.00	0.34473
378.00	0.35372
379.00	0.36271
380.00	0.37171
381.00	0.38070
382.00	0.38969
383.00	0.39912
384.00	0.40871
385.00	0.41831
386.00	0.42790
387.00	0.43750
388.00	0.44709
389.00	0.45708
390.00	0.46758
391.00	0.47808
392.00	0.48859
393.00	0.49909
394.00	0.50959
395.00	0.52009
396.00	0.53060
397.00	0.54110
398.00	0.55160
399.00	0.56229
400.00	0.57306
401.00	0.58382
402.00	0.59459
403.00	0.60536
404.00	0.61613
405.00	0.62690
406.00	0.63767
407.00	0.64844
408.00	0.65921
409.00	0.66911
410.00	0.67845
411.00	0.68780
412.00	0.69714
413.00	0.70649
414.00	0.71583
415.00	0.72518
416.00	0.73381
417.00	0.74181
418.00	0.74981
419.00	0.75781
420.00	0.76530
421.00	0.77215
422.00	0.77899
423.00	0.78584
424.00	0.79132
425.00	0.79549
426.00	0.79967
427.00	0.80361
428.00	0.80663
429.00	0.80965
430.00	0.81267
431.00	0.81441
432.00	0.81525
433.00	0.81609
434.00	0.81451
435.00	0.81294
436.00	0.81136
437.00	0.80813
438.00	0.80441
439.00	0.80069
440.00	0.79696
441.00	0.79324
442.00	0.78562
443.00	0.77752
444.00	0.76942
445.00	0.76098
446.00	0.75010
447.00	0.73921
448.00	0.72832
449.00	0.71682
450.00	0.70253
451.00	0.68824
452.00	0.67395
453.00	0.65966
454.00	0.64537
455.00	0.62487
456.00	0.60430
457.00	0.58373
458.00	0.56316
459.00	0.54362
460.00	0.52545
