Wavelength (nm)	Toly A (2017)
645.00	0.027288
646.00	0.024711
647.00	0.021857
648.00	0.018248
649.00	0.015559
650.00	0.012923
651.00	0.011159
652.00	0.0098208
653.00	0.0088011
654.00	0.0081119
655.00	0.0082211
656.00	0.0085104
657.00	0.0090118
658.00	0.0093200
659.00	0.010315
660.00	0.011796
661.00	0.012912
662.00	0.014898
663.00	0.017477
664.00	0.020558
665.00	0.025151
666.00	0.030998
667.00	0.038655
668.00	0.049078
669.00	0.067333
670.00	0.091261
671.00	0.12724
672.00	0.18331
673.00	0.26309
674.00	0.34987
675.00	0.42477
676.00	0.46474
677.00	0.45579
678.00	0.40017
679.00	0.32272
680.00	0.24480
681.00	0.18688
682.00	0.14138
683.00	0.10492
684.00	0.075943
685.00	0.055402
686.00	0.041067
687.00	0.029862
688.00	0.021527
689.00	0.016367
690.00	0.012910
691.00	0.0098214
692.00	0.0080469
693.00	0.0063723
694.00	0.0052113
695.00	0.0042659
696.00	0.0037624
697.00	0.0031975
698.00	0.0030559
699.00	0.0028819
700.00	0.0025069
701.00	0.0022957
702.00	0.0023271
703.00	0.0021196
704.00	0.0020991
705.00	0.0022240
706.00	0.0020749
707.00	0.0019910
708.00	0.0020292
709.00	0.0020254
710.00	0.0021011
711.00	0.0022671
712.00	0.0018907
713.00	0.0020787
714.00	0.0017493
715.00	0.0017053
716.00	0.0017434
717.00	0.0015694
718.00	0.0012795
719.00	0.0016026
720.00	0.0012651
721.00	0.0010714
722.00	0.0012690
723.00	0.0011330
724.00	0.0013408
725.00	0.0014426
726.00	0.0011442
727.00	0.0011325
728.00	0.0011504
729.00	0.0017048
730.00	0.0014166
731.00	0.0011630
732.00	0.0010567
733.00	0.0010951
734.00	0.0013049
735.00	0.0010632
736.00	0.0015293
737.00	0.0015256
738.00	0.0014499
739.00	0.0011757
740.00	0.00084371
741.00	0.00093492
742.00	0.00096401
743.00	0.00086209
744.00	0.0010165
745.00	0.0010867
746.00	0.0010852
747.00	0.0014057
748.00	0.0010214
749.00	0.00080866
750.00	0.00099995
751.00	0.00084467
752.00	0.0010202
753.00	0.0013829
754.00	0.0013575
755.00	0.0015483
756.00	0.0010557
757.00	0.00047852
758.00	0.0016592
759.00	0.00070572
760.00	0.00017518
761.00	0.00048018
762.00	0.00089081
763.00	0.0015790
764.00	0.0012958
765.00	0.0015950
766.00	0.0018249
767.00	0.0011843
768.00	0.0015361
769.00	0.00085193
770.00	0.0015651
771.00	0.0015169
772.00	0.00079567
773.00	0.0012685
774.00	0.00050553
775.00	0.0017872
776.00	0.0013420
777.00	0.0015062
778.00	0.0011298
779.00	0.0012776
780.00	0.00098823
781.00	0.00073930
782.00	0.0018691
783.00	0.0012131
784.00	0.00061509
785.00	0.00088142
786.00	0.0011927
787.00	0.0011036
788.00	0.0010437
789.00	0.0011242
790.00	0.0010766
791.00	0.00088338
792.00	0.0012674
793.00	0.00098552
794.00	0.00069448
795.00	0.00087997
796.00	0.0021220
797.00	0.0010100
798.00	0.0010774
799.00	0.0013574
800.00	0.00095800
