Wavelength (nm)	F01 abs e
225.00	8.9355
226.00	7.4267
227.00	6.2595
228.00	5.2880
229.00	4.5772
230.00	3.9929
231.00	3.5517
232.00	3.2006
233.00	2.8569
234.00	2.6183
235.00	2.5078
236.00	2.4397
237.00	2.4309
238.00	2.4515
239.00	2.4480
240.00	2.5038
241.00	2.6908
242.00	2.9596
243.00	3.1699
244.00	3.2601
245.00	3.3690
246.00	3.6202
247.00	4.1068
248.00	4.6287
249.00	4.8474
250.00	4.8888
251.00	5.0727
252.00	5.5976
253.00	6.2499
254.00	6.6226
255.00	6.9353
256.00	6.9357
257.00	6.7391
258.00	7.1031
259.00	7.5274
260.00	7.8060
261.00	8.3518
262.00	9.0000
263.00	7.4822
264.00	6.4083
265.00	6.0951
266.00	4.8152
267.00	4.5573
268.00	6.9744
269.00	7.4774
270.00	4.6099
271.00	2.4449
272.00	1.3307
273.00	0.82592
274.00	0.55689
275.00	0.39432
276.00	0.28413
277.00	0.19978
278.00	0.17302
279.00	0.12535
280.00	0.11499
281.00	0.10354
282.00	0.087478
283.00	0.083361
284.00	0.096883
285.00	0.090815
286.00	0.078502
287.00	0.070638
288.00	0.069643
289.00	0.056783
290.00	0.073194
291.00	0.053388
292.00	0.053954
293.00	0.032977
294.00	0.029094
295.00	0.040821
296.00	0.057856
297.00	0.056705
298.00	0.051105
299.00	0.076882
300.00	0.054344
