Wavelength (nm)	EtioP I (in DMSO).abs
300.00	0.055998
301.00	0.056741
302.00	0.057127
303.00	0.057443
304.00	0.057983
305.00	0.059048
306.00	0.059982
307.00	0.061016
308.00	0.062082
309.00	0.063342
310.00	0.064703
311.00	0.066107
312.00	0.067516
313.00	0.069086
314.00	0.070892
315.00	0.072435
316.00	0.074147
317.00	0.076334
318.00	0.078335
319.00	0.080443
320.00	0.082591
321.00	0.084691
322.00	0.086775
323.00	0.089119
324.00	0.091088
325.00	0.093547
326.00	0.095657
327.00	0.097623
328.00	0.099477
329.00	0.10153
330.00	0.10329
331.00	0.10521
332.00	0.10709
333.00	0.10921
334.00	0.11128
335.00	0.11365
336.00	0.11668
337.00	0.11975
338.00	0.12340
339.00	0.12742
340.00	0.13196
341.00	0.13702
342.00	0.14221
343.00	0.14810
344.00	0.15451
345.00	0.16137
346.00	0.16857
347.00	0.17599
348.00	0.18357
349.00	0.19095
350.00	0.19824
351.00	0.20499
352.00	0.21177
353.00	0.21876
354.00	0.22604
355.00	0.23410
356.00	0.24285
357.00	0.25282
358.00	0.26367
359.00	0.27635
360.00	0.29064
361.00	0.30646
362.00	0.32368
363.00	0.34190
364.00	0.36085
365.00	0.38094
366.00	0.40250
367.00	0.42420
368.00	0.44681
369.00	0.47057
370.00	0.49350
371.00	0.51728
372.00	0.53843
373.00	0.55853
374.00	0.57486
375.00	0.58900
376.00	0.60076
377.00	0.61083
378.00	0.62019
379.00	0.63027
380.00	0.64121
381.00	0.65507
382.00	0.67159
383.00	0.68875
384.00	0.70828
385.00	0.73047
386.00	0.75445
387.00	0.77946
388.00	0.80551
389.00	0.83191
390.00	0.85934
391.00	0.88738
392.00	0.91358
393.00	0.93832
394.00	0.95925
395.00	0.97714
396.00	0.99010
397.00	0.99827
398.00	1.00000
399.00	0.99347
400.00	0.97912
401.00	0.95752
402.00	0.92843
403.00	0.89280
404.00	0.85160
405.00	0.80469
406.00	0.75647
407.00	0.70489
408.00	0.65141
409.00	0.59941
410.00	0.54982
411.00	0.50111
412.00	0.45476
413.00	0.41150
414.00	0.37272
415.00	0.33559
416.00	0.30215
417.00	0.27117
418.00	0.24282
419.00	0.21756
420.00	0.19457
421.00	0.17403
422.00	0.15615
423.00	0.14002
424.00	0.12603
425.00	0.11343
426.00	0.10187
427.00	0.091768
428.00	0.082799
429.00	0.074464
430.00	0.066969
431.00	0.061164
432.00	0.055780
433.00	0.050553
434.00	0.045795
435.00	0.042031
436.00	0.038135
437.00	0.034552
438.00	0.031752
439.00	0.028984
440.00	0.026846
441.00	0.024704
442.00	0.023060
443.00	0.021460
444.00	0.020142
445.00	0.019310
446.00	0.018525
447.00	0.017577
448.00	0.016944
449.00	0.016333
450.00	0.015920
451.00	0.015655
452.00	0.015305
453.00	0.015150
454.00	0.014999
455.00	0.015019
456.00	0.014832
457.00	0.014767
458.00	0.014971
459.00	0.014932
460.00	0.015418
461.00	0.015573
462.00	0.016055
463.00	0.016574
464.00	0.016997
465.00	0.017574
466.00	0.018160
467.00	0.019062
468.00	0.019723
469.00	0.020171
470.00	0.020755
471.00	0.021172
472.00	0.022040
473.00	0.022527
474.00	0.023115
475.00	0.023749
476.00	0.024599
477.00	0.025714
478.00	0.027089
479.00	0.029307
480.00	0.031478
481.00	0.033918
482.00	0.036379
483.00	0.039225
484.00	0.042342
485.00	0.046590
486.00	0.049949
487.00	0.052907
488.00	0.056507
489.00	0.060290
490.00	0.064587
491.00	0.068746
492.00	0.072055
493.00	0.074868
