Wavelength (nm)	J Agric Food Chem 2015_1385, Bo-NCC-1 abs [Z]
210.00	0.97622
211.00	0.98444
212.00	0.99211
213.00	0.99807
214.00	1.0000
215.00	0.99636
216.00	0.99012
217.00	0.97848
218.00	0.96367
219.00	0.94885
220.00	0.92607
221.00	0.90296
222.00	0.87984
223.00	0.85769
224.00	0.83609
225.00	0.81449
226.00	0.79289
227.00	0.77747
228.00	0.76238
229.00	0.74807
230.00	0.73638
231.00	0.72469
232.00	0.71812
233.00	0.71188
234.00	0.70564
235.00	0.70063
236.00	0.69616
237.00	0.69168
238.00	0.68764
239.00	0.68432
240.00	0.68101
241.00	0.67650
242.00	0.67084
243.00	0.66463
244.00	0.65713
245.00	0.64925
246.00	0.63696
247.00	0.62466
248.00	0.60945
249.00	0.59407
250.00	0.57646
251.00	0.55728
252.00	0.53810
253.00	0.51947
254.00	0.50093
255.00	0.48239
256.00	0.46579
257.00	0.45038
258.00	0.43553
259.00	0.42521
260.00	0.41489
261.00	0.40457
262.00	0.39864
263.00	0.39299
264.00	0.38735
265.00	0.38416
266.00	0.38100
267.00	0.37783
268.00	0.37499
269.00	0.37323
270.00	0.37147
271.00	0.36971
272.00	0.36807
273.00	0.36700
274.00	0.36594
275.00	0.36487
276.00	0.36405
277.00	0.36391
278.00	0.36377
279.00	0.36363
280.00	0.36351
281.00	0.36368
282.00	0.36384
283.00	0.36401
284.00	0.36541
285.00	0.36789
286.00	0.37038
287.00	0.37286
288.00	0.37700
289.00	0.38184
290.00	0.38668
291.00	0.39321
292.00	0.40030
293.00	0.40739
294.00	0.41608
295.00	0.42536
296.00	0.43464
297.00	0.44392
298.00	0.45524
299.00	0.46700
300.00	0.47876
301.00	0.49087
302.00	0.50388
303.00	0.51688
304.00	0.52989
305.00	0.54236
306.00	0.55359
307.00	0.56482
308.00	0.57605
309.00	0.58599
310.00	0.59581
311.00	0.60360
312.00	0.61101
313.00	0.61538
314.00	0.61934
315.00	0.62203
316.00	0.62021
317.00	0.61781
318.00	0.61347
319.00	0.60862
320.00	0.60089
321.00	0.59159
322.00	0.57976
323.00	0.56525
324.00	0.54773
325.00	0.53021
326.00	0.50914
327.00	0.48764
328.00	0.46614
329.00	0.44223
330.00	0.41652
331.00	0.39080
332.00	0.36492
333.00	0.33757
334.00	0.31021
335.00	0.28289
336.00	0.25573
337.00	0.22857
338.00	0.20453
339.00	0.18275
340.00	0.16097
341.00	0.14100
342.00	0.12210
343.00	0.10433
344.00	0.089644
345.00	0.076142
346.00	0.074616
347.00	0.074559
348.00	0.074942
349.00	0.072838
350.00	0.069210
351.00	0.063833
352.00	0.057847
353.00	0.051518
354.00	0.044877
355.00	0.037468
356.00	0.030060
357.00	0.023977
358.00	0.018935
359.00	0.014363
360.00	0.011669
361.00	0.0089740
362.00	0.0068810
363.00	0.0060094
364.00	0.0051377
365.00	0.0046600
366.00	0.0044449
367.00	0.0042297
368.00	0.0040146
369.00	0.0037995
370.00	0.0035953
371.00	0.0035364
372.00	0.0034775
373.00	0.0034186
374.00	0.0033597
375.00	0.0033008
376.00	0.0032419
377.00	0.0031830
378.00	0.0031241
379.00	0.0030652
380.00	0.0030063
381.00	0.0030045
382.00	0.0030045
383.00	0.0030045
384.00	0.0030045
385.00	0.0030045
386.00	0.0030045
387.00	0.0030045
388.00	0.0030045
389.00	0.0030045
390.00	0.0030045
391.00	0.0030045
392.00	0.0030045
393.00	0.0030045
394.00	0.0030045
395.00	0.0030045
396.00	0.0030045
397.00	0.0030045
398.00	0.0030045
399.00	0.0030045
400.00	0.0030045
