Wavelength (nm)	Eur J Inorg Chem 2021_1904, Zn-DPiCC 2 (CH3CN) abs [Z]
250.00	0.75024
251.00	0.72494
252.00	0.70403
253.00	0.68437
254.00	0.66471
255.00	0.64504
256.00	0.62538
257.00	0.60735
258.00	0.59583
259.00	0.58431
260.00	0.57279
261.00	0.56329
262.00	0.55874
263.00	0.55419
264.00	0.54963
265.00	0.54508
266.00	0.54053
267.00	0.53749
268.00	0.53506
269.00	0.53263
270.00	0.53020
271.00	0.52778
272.00	0.52535
273.00	0.52292
274.00	0.52049
275.00	0.51798
276.00	0.51542
277.00	0.51285
278.00	0.51029
279.00	0.50772
280.00	0.50516
281.00	0.50259
282.00	0.49858
283.00	0.49374
284.00	0.48891
285.00	0.48407
286.00	0.47876
287.00	0.47290
288.00	0.46705
289.00	0.46168
290.00	0.46035
291.00	0.45902
292.00	0.45769
293.00	0.45690
294.00	0.45824
295.00	0.45958
296.00	0.46092
297.00	0.46226
298.00	0.46423
299.00	0.46694
300.00	0.46966
301.00	0.47237
302.00	0.47508
303.00	0.47665
304.00	0.47820
305.00	0.47975
306.00	0.48130
307.00	0.48285
308.00	0.48428
309.00	0.48552
310.00	0.48676
311.00	0.48801
312.00	0.48925
313.00	0.49049
314.00	0.49340
315.00	0.49665
316.00	0.49990
317.00	0.50316
318.00	0.50641
319.00	0.50966
320.00	0.51630
321.00	0.52304
322.00	0.52977
323.00	0.53651
324.00	0.54325
325.00	0.54999
326.00	0.55673
327.00	0.56563
328.00	0.57741
329.00	0.58919
330.00	0.60097
331.00	0.61274
332.00	0.62452
333.00	0.63630
334.00	0.64808
335.00	0.66071
336.00	0.67501
337.00	0.68930
338.00	0.70360
339.00	0.71789
340.00	0.73219
341.00	0.74648
342.00	0.76078
343.00	0.77507
344.00	0.78949
345.00	0.80470
346.00	0.81991
347.00	0.83512
348.00	0.85034
349.00	0.86555
350.00	0.88076
351.00	0.89597
352.00	0.90833
353.00	0.92029
354.00	0.93007
355.00	0.93611
356.00	0.94215
357.00	0.94820
358.00	0.95342
359.00	0.95835
360.00	0.96328
361.00	0.96824
362.00	0.97341
363.00	0.97858
364.00	0.98374
365.00	0.98813
366.00	0.98940
367.00	0.99066
368.00	0.99192
369.00	0.98910
370.00	0.98628
371.00	0.97834
372.00	0.96047
373.00	0.94154
374.00	0.91398
375.00	0.88641
376.00	0.85885
377.00	0.83128
378.00	0.80197
379.00	0.77251
380.00	0.74305
381.00	0.71359
382.00	0.68412
383.00	0.65503
384.00	0.63164
385.00	0.60825
386.00	0.58486
387.00	0.56147
388.00	0.54088
389.00	0.52628
390.00	0.51167
391.00	0.49706
392.00	0.48245
393.00	0.46901
394.00	0.45831
395.00	0.44760
396.00	0.43690
397.00	0.42620
398.00	0.41550
399.00	0.40479
400.00	0.39623
401.00	0.38795
402.00	0.37968
403.00	0.37140
404.00	0.36312
