Wavelength (nm)	C09 abs e
220.00	33627
220.25	33467
220.50	33256
220.75	33190
221.00	33060
221.25	32809
221.50	32967
221.75	32939
222.00	33215
222.25	32988
222.50	33248
222.75	33284
223.00	33410
223.25	33372
223.50	33384
223.75	33387
224.00	33174
224.25	33228
224.50	33113
224.75	32840
225.00	32566
225.25	32486
225.50	32443
225.75	32300
226.00	32243
226.25	32235
226.50	32086
226.75	31998
227.00	31915
227.25	32005
227.50	32125
227.75	32040
228.00	32237
228.25	32413
228.50	32536
228.75	32611
229.00	32629
229.25	32885
229.50	32949
229.75	32956
230.00	33012
230.25	33246
230.50	33052
230.75	32953
231.00	33185
231.25	33017
231.50	32874
231.75	32773
232.00	32799
232.25	32516
232.50	32504
232.75	32177
233.00	32012
233.25	31938
233.50	31728
233.75	31694
234.00	31452
234.25	31157
234.50	31096
234.75	30905
235.00	30855
235.25	30657
235.50	30387
235.75	30328
236.00	30426
236.25	30301
236.50	30320
236.75	30265
237.00	30171
237.25	30104
237.50	29925
237.75	29922
238.00	29716
238.25	29634
238.50	29335
238.75	28969
239.00	28653
239.25	28493
239.50	28068
239.75	27801
240.00	27347
240.25	26962
240.50	26676
240.75	26437
241.00	26008
241.25	25875
241.50	25602
241.75	25416
242.00	25192
242.25	25139
242.50	25007
242.75	24851
243.00	24780
243.25	24712
243.50	24578
243.75	24371
244.00	24437
244.25	24324
244.50	24277
244.75	24191
245.00	24210
245.25	24165
245.50	24152
245.75	24193
246.00	24330
246.25	24161
246.50	24311
246.75	24331
247.00	24537
247.25	24641
247.50	24833
247.75	25029
248.00	25251
248.25	25405
248.50	25512
248.75	25684
249.00	25592
249.25	25634
249.50	25625
249.75	25647
250.00	25520
250.25	25315
250.50	25310
250.75	25381
251.00	25353
251.25	25336
251.50	25516
251.75	25621
252.00	25932
252.25	26240
252.50	26690
252.75	27124
253.00	27541
253.25	27996
253.50	28556
253.75	29162
254.00	29758
254.25	30404
254.50	31089
254.75	31409
255.00	31673
255.25	32434
255.50	33141
255.75	33892
256.00	34919
256.25	35482
256.50	36344
256.75	37313
257.00	38418
257.25	39210
257.50	40145
257.75	41138
258.00	42106
258.25	42929
258.50	43972
258.75	44810
259.00	45679
259.25	46443
259.50	47343
259.75	48112
260.00	48745
260.25	49631
260.50	50254
260.75	50955
261.00	51317
261.25	52015
261.50	52477
261.75	52729
262.00	53207
262.25	53536
262.50	54102
262.75	54353
263.00	54450
263.25	55107
263.50	55369
263.75	55880
264.00	56373
264.25	56833
264.50	57685
264.75	58524
265.00	59782
265.25	60943
265.50	62322
265.75	63325
266.00	65089
266.25	66853
266.50	68742
266.75	70497
267.00	72040
267.25	74388
267.50	76544
267.75	78747
268.00	79083
268.25	80534
268.50	82403
268.75	83213
269.00	85060
269.25	84836
269.50	85751
269.75	86378
270.00	85616
270.25	87004
270.50	86216
270.75	86612
271.00	86316
271.25	86807
271.50	86557
271.75	86145
272.00	85469
272.25	85153
272.50	84586
272.75	83604
273.00	81550
273.25	80332
273.50	77790
273.75	76092
274.00	73471
274.25	69993
274.50	67122
274.75	63752
275.00	59485
275.25	55277
275.50	51442
275.75	47761
276.00	44493
276.25	41932
276.50	39497
276.75	37320
277.00	35477
277.25	33547
277.50	32040
277.75	30659
278.00	29350
278.25	28172
278.50	27058
278.75	26105
279.00	25197
279.25	24232
279.50	23496
279.75	22847
280.00	22172
280.25	21613
280.50	21097
280.75	20640
281.00	20275
281.25	19833
281.50	19465
281.75	19204
282.00	19085
282.25	18785
282.50	18727
282.75	18513
283.00	18376
283.25	18330
283.50	18290
283.75	18298
284.00	18281
284.25	18356
284.50	18489
284.75	18537
285.00	18754
285.25	18877
285.50	18855
285.75	18998
286.00	19196
286.25	19211
286.50	19138
286.75	19133
287.00	19213
287.25	19170
287.50	19088
287.75	19142
288.00	19273
288.25	19303
288.50	19307
288.75	19480
289.00	19618
289.25	19994
289.50	20235
289.75	20653
290.00	21072
290.25	21414
290.50	21790
290.75	22120
291.00	22339
291.25	22611
291.50	22690
291.75	22666
292.00	22590
292.25	22487
292.50	22264
292.75	22258
293.00	22168
293.25	22083
293.50	21981
293.75	22021
294.00	21985
294.25	22085
294.50	22159
294.75	22242
295.00	22302
295.25	22557
295.50	22748
295.75	22933
296.00	23173
296.25	23181
296.50	23328
296.75	23358
297.00	23392
297.25	23325
297.50	23193
297.75	23004
298.00	22686
298.25	22464
298.50	22140
298.75	21755
299.00	21535
299.25	21220
299.50	20877
299.75	20566
300.00	20274
300.25	20108
300.50	19769
300.75	19760
301.00	19681
301.25	19676
301.50	19823
301.75	20063
302.00	20430
302.25	20901
302.50	21541
302.75	22367
303.00	23166
303.25	23954
303.50	24965
303.75	25903
304.00	26713
304.25	27637
304.50	28245
304.75	28712
305.00	29035
305.25	29369
305.50	29529
305.75	29535
306.00	29637
306.25	29602
306.50	29690
306.75	29866
307.00	30067
307.25	30432
307.50	30951
307.75	31823
308.00	32562
308.25	33598
308.50	34720
308.75	35888
309.00	36953
309.25	38213
309.50	39046
309.75	37286
310.00	37320
310.25	37647
310.50	37006
310.75	36672
311.00	35366
311.25	33982
311.50	32138
311.75	30063
312.00	27756
312.25	25617
312.50	23158
312.75	21160
313.00	19118
313.25	16913
313.50	15613
313.75	14035
314.00	12404
314.25	11278
314.50	10320
314.75	9158.6
315.00	7856.7
315.25	7415.0
315.50	6511.8
315.75	5966.5
316.00	5701.7
316.25	5149.7
316.50	4823.9
316.75	4443.8
317.00	4247.1
317.25	3960.5
317.50	3737.9
317.75	3557.1
318.00	3233.3
318.25	3274.3
318.50	2983.9
318.75	3080.3
319.00	2989.5
319.25	2897.8
319.50	2760.3
319.75	2648.6
320.00	2571.9
320.25	2306.5
320.50	2397.1
320.75	2185.3
321.00	2215.4
321.25	2172.9
321.50	2147.0
321.75	2136.7
322.00	1999.6
322.25	1945.0
322.50	2029.3
322.75	1872.2
323.00	1805.5
323.25	1822.0
323.50	1794.6
323.75	1787.5
324.00	1670.5
324.25	1471.1
324.50	1587.6
324.75	1441.7
325.00	1274.2
325.25	1422.2
325.50	1378.6
325.75	1358.8
326.00	1421.0
326.25	1365.0
326.50	1295.1
326.75	1337.6
327.00	1112.6
327.25	1243.5
327.50	1300.4
327.75	1205.2
328.00	1171.0
328.25	1162.4
328.50	1128.5
328.75	1198.7
329.00	1019.4
329.25	932.70
329.50	1095.5
329.75	1066.6
330.00	1014.1
330.25	1045.9
330.50	1197.8
330.75	1072.8
331.00	978.70
331.25	1115.2
331.50	989.61
331.75	765.21
332.00	923.85
332.25	875.49
332.50	929.75
332.75	1053.6
333.00	1004.1
333.25	858.68
333.50	913.23
333.75	946.85
334.00	793.51
334.25	800.30
334.50	796.17
334.75	921.79
335.00	954.52
335.25	831.85
335.50	814.16
335.75	963.66
336.00	886.99
336.25	994.92
336.50	912.64
336.75	831.26
337.00	810.32
337.25	862.52
337.50	836.57
337.75	798.82
338.00	940.66
338.25	855.14
338.50	754.00
338.75	780.24
339.00	964.25
339.25	1023.8
339.50	846.30
339.75	1038.6
340.00	892.89
340.25	842.76
340.50	879.62
340.75	997.57
341.00	739.26
341.25	839.22
341.50	1065.7
341.75	1001.7
342.00	1067.5
342.25	1027.9
342.50	999.63
342.75	971.92
343.00	1021.2
343.25	1029.1
343.50	1081.3
343.75	926.21
344.00	1065.7
344.25	1085.7
344.50	1121.4
344.75	1117.3
345.00	1095.5
345.25	1165.6
345.50	984.59
345.75	1155.6
346.00	1221.4
346.25	1211.1
346.50	1277.4
346.75	1218.7
347.00	1069.5
347.25	1267.4
347.50	1221.4
347.75	1277.7
348.00	1254.4
348.25	1224.9
