Wavelength (nm)	FL096 [11] 520-27-4, Diosmin [C]
211.00	31874
212.00	30562
213.00	29203
214.00	27658
215.00	26051
216.00	24530
217.00	23107
218.00	22004
219.00	21125
220.00	20388
221.00	19728
222.00	19075
223.00	18376
224.00	17654
225.00	16889
226.00	16168
227.00	15489
228.00	14867
229.00	14308
230.00	13810
231.00	13388
232.00	13047
233.00	12793
234.00	12646
235.00	12614
236.00	12718
237.00	12922
238.00	13209
239.00	13518
240.00	13790
241.00	14037
242.00	14272
243.00	14559
244.00	14914
245.00	15322
246.00	15794
247.00	16289
248.00	16761
249.00	17198
250.00	17564
251.00	17840
252.00	18021
253.00	18093
254.00	18058
255.00	17956
256.00	17781
257.00	17536
258.00	17279
259.00	16989
260.00	16733
261.00	16545
262.00	16407
263.00	16346
264.00	16358
265.00	16429
266.00	16547
267.00	16640
268.00	16704
269.00	16654
270.00	16460
271.00	16056
272.00	15466
273.00	14757
274.00	13970
275.00	13184
276.00	12446
277.00	11794
278.00	11253
279.00	10811
280.00	10476
281.00	10237
282.00	10058
283.00	9926.5
284.00	9836.1
285.00	9776.8
286.00	9728.2
287.00	9693.1
288.00	9653.0
289.00	9612.6
290.00	9565.3
291.00	9518.6
292.00	9452.4
293.00	9418.3
294.00	9389.1
295.00	9385.0
296.00	9394.1
297.00	9437.7
298.00	9479.3
299.00	9540.0
300.00	9626.4
301.00	9711.0
302.00	9790.2
303.00	9891.2
304.00	10001
305.00	10119
306.00	10243
307.00	10379
308.00	10530
309.00	10711
310.00	10889
311.00	11091
312.00	11304
313.00	11536
314.00	11793
315.00	12076
316.00	12372
317.00	12690
318.00	13008
319.00	13347
320.00	13703
321.00	14080
322.00	14443
323.00	14816
324.00	15214
325.00	15586
326.00	15959
327.00	16301
328.00	16684
329.00	17018
330.00	17371
331.00	17698
332.00	18016
333.00	18302
334.00	18582
335.00	18827
336.00	19065
337.00	19268
338.00	19450
339.00	19611
340.00	19745
341.00	19846
342.00	19930
343.00	20000
344.00	19996
345.00	19983
346.00	19937
347.00	19859
348.00	19759
349.00	19611
350.00	19461
351.00	19248
352.00	19018
353.00	18747
354.00	18443
355.00	18110
356.00	17742
357.00	17398
358.00	16983
359.00	16498
360.00	16031
361.00	15529
362.00	14998
363.00	14445
364.00	13890
365.00	13324
366.00	12679
367.00	12094
368.00	11504
369.00	10912
370.00	10331
371.00	9742.9
372.00	9173.7
373.00	8623.2
374.00	8053.5
375.00	7521.2
376.00	7004.9
377.00	6529.5
378.00	6042.2
379.00	5571.0
380.00	5147.2
381.00	4726.7
382.00	4337.5
383.00	3972.4
384.00	3627.7
385.00	3296.4
386.00	2994.5
387.00	2716.6
388.00	2454.5
389.00	2217.2
390.00	2008.6
391.00	1809.9
392.00	1639.4
393.00	1484.8
394.00	1331.3
395.00	1206.6
396.00	1093.5
397.00	992.47
398.00	908.98
399.00	827.98
400.00	737.39
401.00	673.50
402.00	628.69
403.00	574.42
404.00	539.71
405.00	505.16
406.00	460.35
407.00	420.20
408.00	395.80
409.00	375.59
410.00	349.48
411.00	325.06
412.00	319.42
413.00	307.26
414.00	284.18
415.00	258.06
416.00	244.24
417.00	240.36
418.00	227.04
419.00	213.40
420.00	211.09
421.00	215.44
422.00	203.27
423.00	186.35
424.00	167.89
425.00	161.36
426.00	156.97
427.00	159.11
428.00	153.76
429.00	150.47
430.00	160.21
431.00	142.19
432.00	107.35
433.00	116.16
434.00	131.59
435.00	101.60
436.00	113.53
437.00	113.75
438.00	100.46
439.00	95.907
440.00	85.190
441.00	101.55
442.00	93.687
443.00	78.030
444.00	74.706
445.00	67.522
446.00	56.514
447.00	55.619
448.00	51.853
449.00	56.421
450.00	52.888
451.00	44.995
452.00	40.555
453.00	46.948
454.00	40.857
455.00	56.177
456.00	49.296
457.00	46.436
458.00	49.482
459.00	47.145
460.00	41.508
461.00	36.568
462.00	25.479
463.00	45.355
464.00	60.280
465.00	56.503
466.00	39.695
467.00	26.071
468.00	34.987
469.00	27.710
470.00	28.466
471.00	33.046
472.00	49.168
473.00	48.622
474.00	34.894
475.00	37.532
476.00	33.627
477.00	24.212
478.00	37.579
479.00	23.735
480.00	35.835
481.00	31.116
482.00	28.454
483.00	33.499
484.00	25.153
485.00	12.012
486.00	17.801
487.00	16.561
488.00	12.671
489.00	15.122
490.00	24.979
491.00	16.528
492.00	22.468
493.00	25.595
494.00	15.110
495.00	14.378
496.00	12.774
497.00	19.771
498.00	24.630
499.00	33.987
500.00	18.806
