Wavelength (nm)	Q12 abs e
440.75	8686.6
441.00	7094.3
441.25	7429.5
441.50	7900.2
441.75	7594.5
442.00	7526.7
442.25	6955.0
442.50	7312.5
442.75	5610.8
443.00	5835.8
443.25	5860.4
443.50	6819.1
443.75	5475.9
444.00	5517.0
444.25	6193.2
444.50	4930.8
444.75	5728.9
445.00	5838.7
445.25	5020.2
445.50	5000.4
445.75	4758.6
446.00	4146.2
446.25	4945.3
446.50	5763.7
446.75	3528.5
447.00	3193.3
447.25	5481.7
447.50	4595.1
447.75	5691.6
448.00	3829.4
448.25	4151.5
448.50	4385.6
448.75	4662.8
449.00	4763.4
449.25	3073.4
449.50	3807.1
449.75	2615.8
450.00	3503.4
450.25	2289.8
450.50	2798.6
450.75	2593.6
451.00	2372.5
451.25	3299.3
451.50	2407.8
451.75	2006.4
452.00	2569.4
452.25	2368.2
452.50	2062.9
452.75	2462.0
453.00	2235.1
453.25	2157.8
453.50	2452.8
453.75	2033.0
454.00	910.31
454.25	2267.1
454.50	1404.2
454.75	1279.4
455.00	670.40
455.25	1274.5
455.50	1594.7
455.75	2133.1
456.00	1072.3
456.25	2542.3
456.50	1683.7
456.75	1805.1
457.00	1768.4
457.25	2057.1
457.50	1208.3
457.75	1119.3
458.00	737.63
458.25	1088.3
458.50	32.891
458.75	-80.777
459.00	1171.5
459.25	820.34
459.50	1216.5
459.75	1755.3
460.00	797.13
460.25	1481.6
460.50	2522.0
460.75	193.48
461.00	1002.7
461.25	1242.6
461.50	2128.7
461.75	999.31
462.00	902.57
462.25	207.50
462.50	1185.0
462.75	1284.7
463.00	856.62
463.25	943.20
463.50	1396.9
463.75	1574.9
464.00	1094.6
464.25	914.66
464.50	664.11
464.75	489.01
465.00	1436.6
465.25	908.38
465.50	148.49
465.75	651.05
466.00	1045.3
466.25	705.22
466.50	754.56
466.75	1101.4
467.00	1162.8
467.25	596.88
467.50	1669.2
467.75	1178.8
468.00	963.03
468.25	38.695
468.50	991.57
468.75	187.19
469.00	807.28
469.25	111.73
469.50	1665.8
469.75	1349.0
470.00	1336.0
470.25	194.93
470.50	335.20
470.75	922.40
471.00	1240.2
471.25	130.11
471.50	1428.3
471.75	827.60
472.00	896.77
472.25	420.33
472.50	670.88
472.75	1280.3
473.00	715.87
473.25	267.00
473.50	723.60
473.75	1022.5
474.00	1185.5
474.25	14.027
474.50	557.21
474.75	45.951
475.00	1085.9
475.25	795.67
475.50	1604.4
475.75	1200.5
476.00	1214.6
476.25	1380.5
476.50	-60.945
476.75	975.12
477.00	879.35
477.25	518.04
477.50	1372.7
477.75	504.49
478.00	906.92
478.25	464.35
478.50	505.94
478.75	1569.1
479.00	302.79
479.25	474.99
479.50	1324.8
479.75	1950.2
480.00	905.96
480.25	388.41
480.50	310.53
480.75	1799.8
481.00	540.28
481.25	623.48
481.50	140.75
481.75	127.69
482.00	407.75
482.25	1868.5
482.50	1155.5
482.75	199.28
483.00	1072.3
483.25	2290.8
483.50	542.70
483.75	993.99
484.00	1499.9
484.25	1373.2
484.50	-46.435
484.75	338.10
485.00	1176.8
485.25	788.42
485.50	235.07
485.75	1325.8
486.00	1607.3
486.25	269.90
486.50	710.54
486.75	677.17
487.00	1928.0
487.25	1155.1
487.50	1517.3
487.75	938.85
488.00	788.42
488.25	1055.4
488.50	838.24
488.75	1814.3
489.00	1098.0
489.25	522.39
489.50	1358.7
489.75	290.22
490.00	946.10
490.25	123.34
490.50	1266.8
490.75	1222.3
491.00	1396.4
491.25	-95.771
491.50	1254.2
491.75	1397.9
492.00	1548.8
492.25	721.67
492.50	1780.5
492.75	1554.6
493.00	1372.7
493.25	1535.7
493.50	2046.5
493.75	737.63
494.00	1079.6
494.25	2215.3
494.50	1260.0
494.75	634.60
495.00	-177.52
495.25	639.44
495.50	801.96
495.75	1218.9
496.00	1646.0
496.25	534.48
496.50	1049.1
496.75	1720.5
497.00	1229.1
497.25	1022.5
497.50	1844.8
497.75	763.75
498.00	867.74
498.25	2108.9
498.50	1625.7
498.75	1107.7
499.00	472.57
499.25	477.40
499.50	-99.157
499.75	1275.0
500.00	1839.5
500.25	1898.0
500.50	1973.5
500.75	2528.7
501.00	513.68
501.25	768.10
501.50	1141.5
501.75	1155.5
502.00	1591.3
502.25	1045.3
502.50	471.12
502.75	1425.9
503.00	1239.2
503.25	340.52
503.50	1803.7
503.75	836.30
504.00	1208.3
504.25	1381.9
504.50	1717.6
504.75	2373.5
505.00	1152.6
505.25	1878.2
505.50	645.25
505.75	1835.6
506.00	1732.6
506.25	1083.5
506.50	1486.4
506.75	1585.5
507.00	1463.2
507.25	1892.2
507.50	1487.8
507.75	1749.5
508.00	1652.8
508.25	1963.3
508.50	1902.4
508.75	63.364
509.00	2170.3
509.25	1944.4
509.50	1355.8
509.75	1885.4
510.00	1282.8
510.25	553.83
510.50	964.97
510.75	1675.5
511.00	1680.3
511.25	2076.5
511.50	1527.5
511.75	2138.4
512.00	1760.2
512.25	1651.8
512.50	2607.1
512.75	1888.8
513.00	2036.8
513.25	1429.8
513.50	965.45
513.75	2139.4
514.00	1551.7
514.25	2785.6
514.50	2289.8
514.75	2544.2
515.00	2640.0
515.25	3237.4
515.50	1031.2
515.75	2796.7
516.00	2657.4
516.25	1051.5
516.50	1359.2
516.75	1650.4
517.00	1461.7
517.25	1732.6
517.50	1378.0
517.75	2789.5
518.00	2481.3
518.25	2785.6
518.50	1922.2
518.75	2205.2
519.00	2833.5
519.25	2303.8
519.50	2777.8
519.75	1376.1
520.00	1955.1
520.25	1548.3
520.50	2682.1
520.75	2665.6
521.00	2307.7
521.25	1486.4
521.50	1791.6
521.75	2222.1
522.00	2461.0
522.25	3013.4
522.50	1944.9
522.75	2881.4
523.00	2352.7
523.25	2429.1
523.50	3100.5
523.75	2682.6
524.00	2422.8
524.25	1849.6
524.50	1894.1
524.75	1225.2
525.00	1655.7
525.25	2691.8
525.50	2134.1
525.75	1696.3
526.00	2139.4
526.25	2822.3
526.50	3606.9
526.75	2561.6
527.00	3299.3
527.25	1896.1
527.50	2542.3
527.75	1976.9
528.00	1365.5
528.25	1858.8
528.50	2697.1
528.75	1276.5
529.00	2711.6
529.25	1834.2
529.50	2604.7
529.75	1545.4
530.00	2242.4
530.25	2728.0
530.50	3115.0
530.75	2494.9
531.00	2391.9
531.25	1244.5
531.50	2326.6
531.75	2027.6
532.00	2486.2
532.25	1982.2
532.50	2051.3
532.75	1259.1
533.00	1036.1
533.25	2136.0
533.50	1419.2
533.75	1500.4
534.00	1627.1
534.25	2418.9
534.50	2460.1
534.75	2026.7
535.00	2002.0
535.25	1968.1
535.50	1211.7
535.75	1532.3
536.00	1870.9
536.25	1490.3
536.50	1373.7
536.75	1261.0
537.00	775.36
537.25	1818.2
537.50	1578.8
537.75	2240.9
538.00	2262.7
538.25	2515.2
538.50	1457.9
538.75	2036.3
539.00	1874.3
539.25	1672.6
539.50	1952.7
539.75	1521.7
540.00	2186.3
540.25	1393.5
540.50	2211.9
540.75	1818.2
541.00	2096.3
541.25	1971.0
541.50	1851.1
541.75	2193.1
542.00	1642.1
542.25	2656.9
542.50	2077.0
542.75	1106.2
543.00	2748.3
543.25	2939.4
543.50	2511.3
543.75	2180.5
544.00	3468.6
544.25	2037.8
544.50	1411.9
544.75	2543.7
545.00	1831.3
545.25	2545.2
545.50	2288.8
545.75	3411.5
546.00	2534.1
546.25	3582.7
546.50	2404.0
546.75	3112.1
547.00	3470.0
547.25	3163.4
547.50	2645.8
547.75	3307.5
548.00	3425.0
548.25	2383.2
548.50	3496.1
548.75	3063.2
549.00	3628.2
549.25	3193.3
549.50	4411.8
549.75	3628.2
550.00	3176.4
550.25	4117.7
550.50	4310.2
550.75	4688.9
551.00	4589.3
551.25	4825.3
551.50	4610.6
551.75	5371.4
552.00	5420.3
552.25	5833.3
552.50	5538.8
552.75	6088.2
553.00	6032.1
553.25	6509.1
553.50	6903.3
553.75	7541.7
554.00	6359.1
554.25	6838.0
554.50	7108.3
554.75	7482.7
555.00	8865.6
555.25	8528.0
555.50	7615.3
555.75	7906.4
556.00	8967.7
556.25	8839.5
556.50	9435.4
556.75	9276.3
557.00	9940.9
557.25	10013
557.50	10072
557.75	10004
558.00	10941
558.25	10559
558.50	10365
558.75	10751
559.00	10866
559.25	10515
559.50	11379
559.75	10752
560.00	12267
560.25	11509
560.50	12735
560.75	12502
561.00	11807
561.25	12465
561.50	12151
561.75	12716
562.00	12265
562.25	12947
562.50	14084
562.75	13969
563.00	14255
563.25	13068
563.50	15009
563.75	14437
564.00	13282
564.25	14243
564.50	15435
564.75	15005
565.00	15359
565.25	15106
565.50	15249
565.75	15009
566.00	14605
566.25	14623
566.50	14912
566.75	14907
567.00	14126
567.25	13357
567.50	14006
567.75	13491
568.00	14723
568.25	14144
568.50	12754
568.75	11931
569.00	12994
569.25	12190
569.50	12551
569.75	11610
570.00	12804
570.25	10850
570.50	10855
570.75	11570
571.00	10087
571.25	10081
571.50	10111
571.75	9355.6
572.00	9657.9
572.25	9337.7
572.50	8334.5
572.75	7219.6
573.00	8252.8
573.25	8676.5
573.50	8381.9
573.75	8045.3
574.00	7469.2
574.25	6892.1
574.50	7492.9
574.75	6423.9
575.00	6404.1
575.25	6819.6
575.50	7205.6
575.75	6737.8
576.00	5829.9
576.25	6868.0
576.50	5888.5
576.75	5652.0
577.00	6323.3
577.25	5631.2
577.50	5488.5
577.75	5102.5
578.00	4923.0
