Wavelength (nm)	D05 ems
330.00	0.012320
331.00	0.013262
332.00	0.014324
333.00	0.015360
334.00	0.016823
335.00	0.018329
336.00	0.020299
337.00	0.023187
338.00	0.027881
339.00	0.035153
340.00	0.047483
341.00	0.064095
342.00	0.090457
343.00	0.12284
344.00	0.17271
345.00	0.23360
346.00	0.32026
347.00	0.41342
348.00	0.53142
349.00	0.64634
350.00	0.76716
351.00	0.86149
352.00	0.94304
353.00	0.98645
354.00	1.0000
355.00	0.98106
356.00	0.93177
357.00	0.87195
358.00	0.80490
359.00	0.75032
360.00	0.70826
361.00	0.68780
362.00	0.69059
363.00	0.71116
364.00	0.75347
365.00	0.80264
366.00	0.86373
367.00	0.91931
368.00	0.98208
369.00	1.0338
370.00	1.0847
371.00	1.1184
372.00	1.1431
373.00	1.1489
374.00	1.1427
375.00	1.1221
376.00	1.0871
377.00	1.0476
378.00	0.99738
379.00	0.94836
380.00	0.89540
381.00	0.85208
382.00	0.81151
383.00	0.78402
384.00	0.76354
385.00	0.75333
386.00	0.75602
387.00	0.76418
388.00	0.77579
389.00	0.78721
390.00	0.79872
391.00	0.80334
392.00	0.80676
393.00	0.80481
394.00	0.79875
395.00	0.78897
396.00	0.77230
397.00	0.75222
398.00	0.72650
399.00	0.70099
400.00	0.66950
401.00	0.63761
402.00	0.60254
403.00	0.57108
404.00	0.53875
405.00	0.51026
406.00	0.48523
407.00	0.46466
408.00	0.44555
409.00	0.43046
410.00	0.41698
411.00	0.40638
412.00	0.39731
413.00	0.38918
414.00	0.38075
415.00	0.37273
416.00	0.36441
417.00	0.35677
418.00	0.34638
419.00	0.33783
420.00	0.32706
421.00	0.31706
422.00	0.30625
423.00	0.29504
424.00	0.28325
425.00	0.27180
426.00	0.25862
427.00	0.24681
428.00	0.23379
429.00	0.22165
430.00	0.20926
431.00	0.19833
432.00	0.18748
433.00	0.17824
434.00	0.16900
435.00	0.16150
436.00	0.15403
437.00	0.14841
438.00	0.14269
439.00	0.13810
440.00	0.13286
441.00	0.12879
442.00	0.12388
443.00	0.12039
444.00	0.11620
445.00	0.11256
446.00	0.10834
447.00	0.10496
448.00	0.10073
449.00	0.097150
450.00	0.093076
451.00	0.089044
452.00	0.084974
453.00	0.081257
454.00	0.077440
455.00	0.073966
456.00	0.070214
457.00	0.066998
458.00	0.063451
459.00	0.060126
460.00	0.057386
461.00	0.054778
462.00	0.052216
463.00	0.050249
464.00	0.047962
465.00	0.046060
466.00	0.044008
467.00	0.042512
468.00	0.040811
469.00	0.039128
470.00	0.037605
471.00	0.036220
472.00	0.035110
473.00	0.033851
474.00	0.032648
475.00	0.031284
476.00	0.030287
477.00	0.029064
478.00	0.027888
479.00	0.026762
480.00	0.025544
481.00	0.024716
482.00	0.023666
483.00	0.022632
484.00	0.021687
485.00	0.020777
486.00	0.019989
487.00	0.019389
488.00	0.018590
489.00	0.017929
490.00	0.017154
491.00	0.016495
492.00	0.016042
493.00	0.015460
494.00	0.014955
495.00	0.014363
496.00	0.013786
497.00	0.013281
498.00	0.012855
499.00	0.012392
500.00	0.011819
501.00	0.011528
502.00	0.011036
503.00	0.010690
504.00	0.010393
505.00	0.0099976
506.00	0.0096353
507.00	0.0092691
508.00	0.0088310
509.00	0.0085978
510.00	0.0085499
511.00	0.0081972
512.00	0.0080129
513.00	0.0077081
514.00	0.0074634
515.00	0.0072919
516.00	0.0070733
517.00	0.0068113
518.00	0.0066088
519.00	0.0064447
520.00	0.0062922
521.00	0.0060235
522.00	0.0060270
523.00	0.0059001
524.00	0.0056836
525.00	0.0055712
526.00	0.0053939
527.00	0.0052976
528.00	0.0050542
529.00	0.0049292
530.00	0.0048205
531.00	0.0046723
532.00	0.0045200
533.00	0.0044052
534.00	0.0043738
535.00	0.0042666
536.00	0.0041740
537.00	0.0041002
538.00	0.0039497
539.00	0.0038968
540.00	0.0037838
541.00	0.0037447
542.00	0.0037197
543.00	0.0036282
544.00	0.0035727
545.00	0.0034912
546.00	0.0034154
547.00	0.0033648
548.00	0.0033167
549.00	0.0032922
550.00	0.0032025
