Wavelength (nm)	Chem Sci 2014_3388, Cd-1 ems [Z]
590.00	0.0085700
591.00	0.010034
592.00	0.011498
593.00	0.012984
594.00	0.015168
595.00	0.017352
596.00	0.019535
597.00	0.021891
598.00	0.024852
599.00	0.027814
600.00	0.030776
601.00	0.034865
602.00	0.039080
603.00	0.043295
604.00	0.048776
605.00	0.055174
606.00	0.061572
607.00	0.069165
608.00	0.076862
609.00	0.084558
610.00	0.092255
611.00	0.10417
612.00	0.11636
613.00	0.12855
614.00	0.14074
615.00	0.15418
616.00	0.17606
617.00	0.19794
618.00	0.21996
619.00	0.24282
620.00	0.26568
621.00	0.28854
622.00	0.31140
623.00	0.33586
624.00	0.36874
625.00	0.40161
626.00	0.43449
627.00	0.46730
628.00	0.49980
629.00	0.53230
630.00	0.56480
631.00	0.59799
632.00	0.63391
633.00	0.66984
634.00	0.70577
635.00	0.73748
636.00	0.76919
637.00	0.80090
638.00	0.83222
639.00	0.86000
640.00	0.88778
641.00	0.91188
642.00	0.93229
643.00	0.95195
644.00	0.96920
645.00	0.98401
646.00	0.99546
647.00	1.0000
648.00	0.99849
649.00	0.99603
650.00	0.99371
651.00	0.98537
652.00	0.97597
653.00	0.96161
654.00	0.94724
655.00	0.93105
656.00	0.91271
657.00	0.89437
658.00	0.87244
659.00	0.84961
660.00	0.82679
661.00	0.80396
662.00	0.78113
663.00	0.75841
664.00	0.73613
665.00	0.71384
666.00	0.69156
667.00	0.67005
668.00	0.64869
669.00	0.62734
670.00	0.60598
671.00	0.58544
672.00	0.56635
673.00	0.54726
674.00	0.52845
675.00	0.51068
676.00	0.49291
677.00	0.47864
678.00	0.46575
679.00	0.45285
680.00	0.44088
681.00	0.43202
682.00	0.42315
683.00	0.41429
684.00	0.40543
685.00	0.39832
686.00	0.39179
687.00	0.38526
688.00	0.37874
689.00	0.37221
690.00	0.36843
691.00	0.36482
692.00	0.36131
693.00	0.35792
694.00	0.35452
695.00	0.35112
696.00	0.34947
697.00	0.34788
698.00	0.34629
699.00	0.34227
700.00	0.33695
701.00	0.33253
702.00	0.32858
703.00	0.32463
704.00	0.32022
705.00	0.31535
706.00	0.31047
707.00	0.30560
708.00	0.30072
709.00	0.29587
710.00	0.29102
711.00	0.28618
712.00	0.28134
713.00	0.27649
714.00	0.27123
715.00	0.26528
716.00	0.25933
717.00	0.25339
718.00	0.24744
719.00	0.24137
720.00	0.23490
721.00	0.22842
722.00	0.22195
723.00	0.21547
724.00	0.20901
725.00	0.20269
726.00	0.19638
727.00	0.19006
728.00	0.18375
729.00	0.17743
730.00	0.17235
731.00	0.16734
732.00	0.16234
733.00	0.15733
734.00	0.15233
735.00	0.14732
736.00	0.14240
737.00	0.13795
738.00	0.13351
739.00	0.12907
740.00	0.12462
741.00	0.12018
742.00	0.11574
743.00	0.11200
744.00	0.10862
745.00	0.10523
746.00	0.10185
747.00	0.098466
748.00	0.095082
749.00	0.092422
750.00	0.089880
751.00	0.087339
752.00	0.084797
753.00	0.082255
754.00	0.079714
755.00	0.077172
756.00	0.074630
757.00	0.072242
758.00	0.070369
759.00	0.068496
760.00	0.066623
761.00	0.064749
762.00	0.062876
763.00	0.061003
764.00	0.059130
765.00	0.057541
766.00	0.056043
767.00	0.054544
768.00	0.053046
769.00	0.051548
770.00	0.050049
771.00	0.048706
772.00	0.047552
773.00	0.046398
774.00	0.045244
775.00	0.044090
776.00	0.042936
777.00	0.041782
778.00	0.040628
779.00	0.039474
780.00	0.038320
781.00	0.037166
782.00	0.036012
783.00	0.034859
784.00	0.033823
785.00	0.033017
786.00	0.032211
787.00	0.031405
788.00	0.030598
789.00	0.029792
790.00	0.028986
791.00	0.028180
792.00	0.027374
793.00	0.026568
794.00	0.025762
795.00	0.024940
796.00	0.024106
797.00	0.023272
798.00	0.022437
799.00	0.021603
800.00	0.020769
801.00	0.019935
802.00	0.019251
803.00	0.018617
804.00	0.017984
805.00	0.017350
806.00	0.016717
807.00	0.016083
808.00	0.015662
809.00	0.015299
810.00	0.014937
811.00	0.014575
812.00	0.014213
813.00	0.013851
814.00	0.013489
815.00	0.013118
816.00	0.012739
817.00	0.012359
818.00	0.011979
819.00	0.011599
820.00	0.011219
821.00	0.010839
822.00	0.010459
823.00	0.010079
824.00	0.0096557
825.00	0.0091906
826.00	0.0087254
827.00	0.0082602
828.00	0.0077950
829.00	0.0073298
830.00	0.0068646
831.00	0.0063994
832.00	0.0059848
833.00	0.0056526
834.00	0.0053205
835.00	0.0049883
836.00	0.0046562
837.00	0.0043240
838.00	0.0039918
839.00	0.0036597
840.00	0.0033392
841.00	0.0030354
842.00	0.0027316
843.00	0.0024278
844.00	0.0021241
845.00	0.0019210
846.00	0.0018513
847.00	0.0017817
848.00	0.0017120
849.00	0.0016423
850.00	0.0015727
