Wavelength (nm)	Chem Sci 2014_3388, Cd-1 abs [Z]
250.00	0.50045
251.00	0.50313
252.00	0.50580
253.00	0.50306
254.00	0.49542
255.00	0.48565
256.00	0.47780
257.00	0.48419
258.00	0.47600
259.00	0.46782
260.00	0.47298
261.00	0.45529
262.00	0.44210
263.00	0.42891
264.00	0.43517
265.00	0.42551
266.00	0.41931
267.00	0.42201
268.00	0.42392
269.00	0.41786
270.00	0.41237
271.00	0.40829
272.00	0.40422
273.00	0.40054
274.00	0.39727
275.00	0.39400
276.00	0.39966
277.00	0.40880
278.00	0.40048
279.00	0.40235
280.00	0.40546
281.00	0.39673
282.00	0.39926
283.00	0.40785
284.00	0.40328
285.00	0.40141
286.00	0.40432
287.00	0.40772
288.00	0.41353
289.00	0.41934
290.00	0.42311
291.00	0.42683
292.00	0.43429
293.00	0.44280
294.00	0.45131
295.00	0.46426
296.00	0.47720
297.00	0.49414
298.00	0.51075
299.00	0.51648
300.00	0.52711
301.00	0.53877
302.00	0.54766
303.00	0.56177
304.00	0.57805
305.00	0.57312
306.00	0.58210
307.00	0.59374
308.00	0.59482
309.00	0.60340
310.00	0.61833
311.00	0.62672
312.00	0.62178
313.00	0.62418
314.00	0.63154
315.00	0.63501
316.00	0.63847
317.00	0.64194
318.00	0.63739
319.00	0.63849
320.00	0.63156
321.00	0.63272
322.00	0.63658
323.00	0.63302
324.00	0.62347
325.00	0.62294
326.00	0.62242
327.00	0.61529
328.00	0.60907
329.00	0.61153
330.00	0.61399
331.00	0.60921
332.00	0.60132
333.00	0.59843
334.00	0.59554
335.00	0.59131
336.00	0.58482
337.00	0.57686
338.00	0.56885
339.00	0.57735
340.00	0.58655
341.00	0.59599
342.00	0.58884
343.00	0.58914
344.00	0.59440
345.00	0.59242
346.00	0.58581
347.00	0.59944
348.00	0.58971
349.00	0.58711
350.00	0.59396
351.00	0.60022
352.00	0.59209
353.00	0.58791
354.00	0.58595
355.00	0.58398
356.00	0.57849
357.00	0.57277
358.00	0.57242
359.00	0.57207
360.00	0.57018
361.00	0.56656
362.00	0.56308
363.00	0.56121
364.00	0.55934
365.00	0.55747
366.00	0.55560
367.00	0.55066
368.00	0.54440
369.00	0.53814
370.00	0.53189
371.00	0.52514
372.00	0.51476
373.00	0.50439
374.00	0.49401
375.00	0.48364
376.00	0.47072
377.00	0.45285
378.00	0.43551
379.00	0.42114
380.00	0.40677
381.00	0.39241
382.00	0.37804
383.00	0.36632
384.00	0.35469
385.00	0.34306
386.00	0.33142
387.00	0.32113
388.00	0.31178
389.00	0.30244
390.00	0.29309
391.00	0.28423
392.00	0.27724
393.00	0.27024
394.00	0.26325
395.00	0.25626
396.00	0.24926
397.00	0.24230
398.00	0.23631
399.00	0.23031
400.00	0.22432
401.00	0.21833
402.00	0.21233
403.00	0.20700
404.00	0.20353
405.00	0.20006
406.00	0.19658
407.00	0.19311
408.00	0.18964
409.00	0.18617
410.00	0.18270
411.00	0.17923
412.00	0.17576
413.00	0.17255
414.00	0.16996
415.00	0.16737
416.00	0.16478
417.00	0.16219
418.00	0.15960
419.00	0.15701
420.00	0.15442
421.00	0.15183
422.00	0.14925
423.00	0.14670
424.00	0.14414
425.00	0.14159
426.00	0.13903
427.00	0.13648
428.00	0.13392
