Wavelength (nm)	Q27 abvs e
738.00	1231.3
739.00	1144.9
740.00	1092.7
741.00	1028.4
742.00	986.22
743.00	923.96
744.00	871.73
745.00	815.49
746.00	769.29
747.00	739.17
748.00	701.00
749.00	668.86
750.00	656.81
751.00	612.62
752.00	598.56
753.00	586.51
754.00	572.45
755.00	546.34
756.00	498.13
757.00	496.12
758.00	472.02
759.00	474.03
760.00	451.94
761.00	445.91
762.00	425.82
763.00	439.88
764.00	383.64
765.00	411.76
766.00	377.62
767.00	389.67
768.00	379.63
769.00	321.38
770.00	365.57
771.00	345.48
772.00	323.38
773.00	355.52
774.00	299.28
775.00	331.42
776.00	313.34
777.00	291.25
778.00	301.29
779.00	289.24
780.00	275.18
781.00	289.24
782.00	297.27
783.00	287.23
784.00	257.10
785.00	279.20
786.00	267.14
787.00	261.12
788.00	263.13
789.00	259.11
790.00	251.08
791.00	255.09
792.00	228.98
793.00	253.08
794.00	226.97
795.00	228.98
796.00	220.95
797.00	237.02
798.00	224.96
799.00	230.99
800.00	218.94
