Wavelength (nm)	FL053 [9] 22888-70-6, Silybin [M]
210.00	67092
211.00	61450
212.00	56001
213.00	51231
214.00	46960
215.00	43680
216.00	41139
217.00	38946
218.00	37197
219.00	35740
220.00	34484
221.00	33391
222.00	32551
223.00	31989
224.00	31583
225.00	31116
226.00	30764
227.00	30590
228.00	30345
229.00	30216
230.00	30034
231.00	29657
232.00	29066
233.00	28075
234.00	26792
235.00	25243
236.00	23575
237.00	21863
238.00	20099
239.00	18080
240.00	15753
241.00	13212
242.00	10660
243.00	8412.2
244.00	6597.5
245.00	5243.8
246.00	4237.1
247.00	3515.0
248.00	3010.3
249.00	2668.5
250.00	2453.1
251.00	2334.9
252.00	2285.6
253.00	2280.3
254.00	2336.5
255.00	2426.3
256.00	2546.9
257.00	2716.5
258.00	2921.9
259.00	3165.8
260.00	3442.1
261.00	3756.1
262.00	4115.7
263.00	4531.2
264.00	4978.3
265.00	5498.8
266.00	6060.2
267.00	6682.0
268.00	7323.5
269.00	8036.6
270.00	8790.6
271.00	9605.8
272.00	10455
273.00	11329
274.00	12255
275.00	13217
276.00	14202
277.00	15196
278.00	16159
279.00	17081
280.00	17970
281.00	18796
282.00	19502
283.00	20087
284.00	20641
285.00	21160
286.00	21664
287.00	22050
288.00	22200
289.00	22005
290.00	21480
291.00	20794
292.00	20022
293.00	19283
294.00	18529
295.00	17805
296.00	17078
297.00	16357
298.00	15607
299.00	14852
300.00	14117
301.00	13344
302.00	12575
303.00	11818
304.00	11034
305.00	10311
306.00	9618.3
307.00	8931.3
308.00	8320.0
309.00	7728.9
310.00	7206.9
311.00	6742.2
312.00	6317.5
313.00	5944.5
314.00	5626.2
315.00	5340.7
316.00	5102.3
317.00	4885.0
318.00	4711.9
319.00	4575.0
320.00	4438.7
321.00	4317.6
322.00	4232.2
323.00	4141.6
324.00	4062.5
325.00	3993.4
326.00	3912.8
327.00	3841.7
328.00	3779.9
329.00	3717.1
330.00	3668.8
331.00	3588.2
332.00	3518.4
333.00	3442.7
334.00	3361.7
335.00	3275.8
336.00	3190.8
337.00	3093.5
338.00	2978.6
339.00	2869.9
340.00	2762.6
341.00	2651.7
342.00	2543.4
343.00	2414.3
344.00	2280.9
345.00	2161.8
346.00	2044.3
347.00	1918.7
348.00	1802.9
349.00	1682.8
350.00	1554.3
351.00	1443.8
352.00	1343.5
353.00	1233.1
354.00	1144.1
355.00	1041.0
356.00	954.93
357.00	872.16
358.00	802.02
359.00	732.83
360.00	668.34
361.00	597.17
362.00	543.15
363.00	480.33
364.00	435.06
365.00	382.66
366.00	332.86
367.00	318.59
368.00	287.59
369.00	260.31
370.00	230.17
371.00	194.88
372.00	177.87
373.00	183.16
374.00	161.82
375.00	162.40
376.00	133.38
377.00	108.38
378.00	105.17
379.00	94.793
380.00	91.068
381.00	83.143
382.00	75.490
383.00	78.279
384.00	78.211
385.00	57.037
386.00	53.789
387.00	64.690
388.00	56.935
389.00	29.672
390.00	61.408
391.00	52.734
392.00	64.537
393.00	48.499
394.00	39.520
395.00	40.591
396.00	42.309
397.00	47.734
398.00	41.254
399.00	33.244
400.00	28.465
401.00	31.815
402.00	12.597
403.00	21.798
404.00	28.363
405.00	41.305
406.00	33.890
407.00	17.512
408.00	28.312
409.00	27.427
410.00	30.370
411.00	25.829
412.00	34.877
413.00	39.145
414.00	18.686
415.00	22.325
416.00	14.485
417.00	26.424
418.00	22.257
419.00	18.176
420.00	9.3148
421.00	25.829
422.00	31.271
423.00	23.431
424.00	10.352
425.00	26.781
426.00	22.648
427.00	19.638
428.00	11.662
429.00	23.108
430.00	25.693
431.00	29.519
432.00	13.414
433.00	8.7195
434.00	29.672
435.00	20.710
436.00	23.465
437.00	30.897
438.00	21.985
439.00	22.342
440.00	21.526
441.00	34.945
442.00	16.254
443.00	14.315
444.00	14.655
445.00	17.954
446.00	4.2636
447.00	23.941
448.00	28.380
449.00	16.441
450.00	41.016
451.00	11.679
452.00	20.727
453.00	32.342
454.00	9.8760
455.00	12.376
456.00	32.070
457.00	46.578
458.00	36.509
459.00	35.081
460.00	46.680
461.00	14.298
462.00	42.360
463.00	44.060
464.00	21.662
465.00	34.553
466.00	21.271
467.00	28.244
468.00	44.928
469.00	42.989
470.00	36.526
471.00	20.114
472.00	19.077
473.00	33.805
474.00	57.428
475.00	55.829
476.00	60.149
477.00	20.591
478.00	24.757
479.00	31.033
480.00	38.193
481.00	26.152
482.00	45.608
483.00	19.876
484.00	34.298
485.00	70.252
486.00	52.615
487.00	14.332
488.00	19.699
489.00	16.866
490.00	47.870
491.00	46.510
492.00	28.754
493.00	8.8046
494.00	57.802
495.00	54.367
496.00	28.499
497.00	41.935
498.00	32.411
499.00	45.438
500.00	29.026
