Wavelngth (nm)	FL066 [11] 6665-86-7, 7-Hydroxyflavone [C]
210.00	29670
211.00	29142
212.00	27979
213.00	26419
214.00	24776
215.00	23357
216.00	22080
217.00	20847
218.00	19702
219.00	18635
220.00	17735
221.00	16948
222.00	16261
223.00	15592
224.00	14940
225.00	14325
226.00	13822
227.00	13457
228.00	13248
229.00	13180
230.00	13249
231.00	13419
232.00	13694
233.00	14027
234.00	14412
235.00	14779
236.00	15136
237.00	15424
238.00	15664
239.00	15864
240.00	16055
241.00	16229
242.00	16407
243.00	16579
244.00	16746
245.00	16882
246.00	16966
247.00	16987
248.00	16974
249.00	16982
250.00	17016
251.00	17038
252.00	17021
253.00	16909
254.00	16706
255.00	16411
256.00	15981
257.00	15351
258.00	14456
259.00	13351
260.00	12214
261.00	11276
262.00	10650
263.00	10291
264.00	10138
265.00	10110
266.00	10141
267.00	10201
268.00	10256
269.00	10291
270.00	10324
271.00	10342
272.00	10361
273.00	10375
274.00	10395
275.00	10441
276.00	10515
277.00	10602
278.00	10704
279.00	10822
280.00	10981
281.00	11171
282.00	11392
283.00	11656
284.00	11970
285.00	12326
286.00	12717
287.00	13140
288.00	13580
289.00	14042
290.00	14513
291.00	15005
292.00	15481
293.00	15944
294.00	16382
295.00	16789
296.00	17173
297.00	17565
298.00	17954
299.00	18317
300.00	18647
301.00	18980
302.00	19281
303.00	19573
304.00	19832
305.00	20077
306.00	20218
307.00	20326
308.00	20400
309.00	20363
310.00	20285
311.00	20150
312.00	19933
313.00	19661
314.00	19319
315.00	18940
316.00	18535
317.00	18107
318.00	17638
319.00	17151
320.00	16636
321.00	16099
322.00	15499
323.00	14882
324.00	14257
325.00	13607
326.00	12937
327.00	12252
328.00	11552
329.00	10851
330.00	10135
331.00	9460.6
332.00	8779.4
333.00	8130.7
334.00	7484.3
335.00	6867.3
336.00	6275.4
337.00	5718.1
338.00	5162.8
339.00	4656.6
340.00	4166.2
341.00	3715.9
342.00	3291.0
343.00	2900.5
344.00	2536.3
345.00	2206.9
346.00	1909.9
347.00	1643.3
348.00	1411.3
349.00	1200.7
350.00	1020.6
351.00	864.72
352.00	730.65
353.00	618.09
354.00	510.88
355.00	423.46
356.00	354.44
357.00	296.04
358.00	248.52
359.00	206.62
360.00	168.91
361.00	139.93
362.00	115.45
363.00	91.924
364.00	76.654
365.00	67.366
366.00	53.533
367.00	51.101
368.00	51.924
369.00	43.902
370.00	17.894
371.00	14.442
372.00	20.474
373.00	15.032
374.00	4.3564
375.00	18.632
376.00	21.199
377.00	19.872
378.00	24.258
379.00	44.147
380.00	42.550
381.00	25.339
382.00	32.980
383.00	36.322
384.00	27.870
385.00	20.315
386.00	10.253
387.00	28.693
388.00	61.924
389.00	55.929
390.00	20.057
391.00	8.2507
392.00	36.703
393.00	69.074
394.00	41.752
395.00	31.003
396.00	13.558
397.00	13.791
398.00	56.826
399.00	73.251
400.00	36.531
401.00	19.160
402.00	15.315
403.00	12.305
404.00	15.155
405.00	60.376
406.00	56.211
407.00	20.192
408.00	11.433
409.00	6.9485
410.00	12.268
411.00	9.8600
412.00	34.614
413.00	67.280
414.00	48.275
415.00	17.649
416.00	17.440
417.00	16.985
418.00	17.833
419.00	10.794
420.00	25.904
421.00	73.546
422.00	96.383
423.00	102.03
424.00	56.715
425.00	47.133
426.00	29.564
427.00	51.764
428.00	38.804
429.00	59.479
430.00	101.78
431.00	119.75
432.00	61.064
433.00	46.334
434.00	45.327
435.00	47.700
436.00	50.143
437.00	58.165
438.00	62.403
439.00	66.003
440.00	61.457
441.00	67.808
442.00	39.774
443.00	60.327
444.00	55.376
445.00	54.983
446.00	69.897
447.00	60.253
448.00	63.767
449.00	47.563
450.00	42.133
451.00	48.632
452.00	49.049
453.00	46.322
454.00	37.403
455.00	31.166
456.00	29.958
457.00	43.546
458.00	55.843
459.00	73.128
460.00	55.560
461.00	60.892
462.00	30.204
463.00	42.649
464.00	49.528
465.00	92.882
466.00	100.12
467.00	84.246
468.00	106.97
469.00	74.098
470.00	28.349
471.00	27.398
472.00	31.112
473.00	44.651
474.00	49.184
475.00	63.079
476.00	88.337
477.00	78.619
478.00	51.850
479.00	46.813
480.00	46.383
481.00	47.796
482.00	68.803
483.00	78.042
484.00	66.199
485.00	112.48
486.00	59.184
487.00	81.875
488.00	101.70
489.00	110.89
490.00	84.799
491.00	69.295
492.00	68.889
493.00	86.641
494.00	67.231
495.00	50.659
496.00	84.663
497.00	83.460
498.00	81.592
499.00	76.408
500.00	46.347
