Wavelength (nm)	15, (Z)-Ep-PxB-4, ZEPPXB4, F
205.00	0.27364
206.00	0.36744
207.00	0.44456
208.00	0.52168
209.00	0.58032
210.00	0.63895
211.00	0.68206
212.00	0.72516
213.00	0.75111
214.00	0.77706
215.00	0.78851
216.00	0.79996
217.00	0.79723
218.00	0.79450
219.00	0.77854
220.00	0.76257
221.00	0.73741
222.00	0.71224
223.00	0.68093
224.00	0.64962
225.00	0.61983
226.00	0.59005
227.00	0.56521
228.00	0.54038
229.00	0.52259
230.00	0.50481
231.00	0.49397
232.00	0.48313
233.00	0.47866
234.00	0.47418
235.00	0.47572
236.00	0.47727
237.00	0.48396
238.00	0.49066
239.00	0.49951
240.00	0.50836
241.00	0.51756
242.00	0.52675
243.00	0.53371
244.00	0.54067
245.00	0.54402
246.00	0.54737
247.00	0.54582
248.00	0.54428
249.00	0.53657
250.00	0.52887
251.00	0.51517
252.00	0.50146
253.00	0.48506
254.00	0.46867
255.00	0.45208
256.00	0.43549
257.00	0.42272
258.00	0.40994
259.00	0.40064
260.00	0.39133
261.00	0.38634
262.00	0.38135
263.00	0.37918
264.00	0.37701
265.00	0.37752
266.00	0.37804
267.00	0.37961
268.00	0.38117
269.00	0.38337
270.00	0.38557
271.00	0.38770
272.00	0.38984
273.00	0.39193
274.00	0.39402
275.00	0.39588
276.00	0.39773
277.00	0.39940
278.00	0.40107
279.00	0.40299
280.00	0.40491
281.00	0.40724
282.00	0.40957
283.00	0.41300
284.00	0.41643
285.00	0.42111
286.00	0.42578
287.00	0.43160
288.00	0.43742
289.00	0.44528
290.00	0.45315
291.00	0.46277
292.00	0.47239
293.00	0.48384
294.00	0.49529
295.00	0.50793
296.00	0.52058
297.00	0.53384
298.00	0.54711
299.00	0.56143
300.00	0.57575
301.00	0.58971
302.00	0.60368
303.00	0.61750
304.00	0.63132
305.00	0.64379
306.00	0.65625
307.00	0.66666
308.00	0.67706
309.00	0.68505
310.00	0.69304
311.00	0.69730
312.00	0.70156
313.00	0.70185
314.00	0.70215
315.00	0.69788
316.00	0.69362
317.00	0.68528
318.00	0.67694
319.00	0.66383
320.00	0.65071
321.00	0.63360
322.00	0.61649
323.00	0.59594
324.00	0.57538
325.00	0.55133
326.00	0.52729
327.00	0.50076
328.00	0.47423
329.00	0.44718
330.00	0.42013
331.00	0.39206
