Wavelength (nm)	FL091 [11] 58554-76-0, 6-Phenylflavone [D]
210.00	35620
211.00	33502
212.00	31383
213.00	29591
214.00	28125
215.00	26660
216.00	25194
217.00	23728
218.00	22565
219.00	21476
220.00	20388
221.00	19300
222.00	18276
223.00	17258
224.00	16239
225.00	15564
226.00	14971
227.00	14377
228.00	13940
229.00	13576
230.00	13241
231.00	13013
232.00	12786
233.00	12712
234.00	12655
235.00	12743
236.00	12878
237.00	13126
238.00	13559
239.00	13993
240.00	14460
241.00	14927
242.00	15394
243.00	15862
244.00	16377
245.00	17071
246.00	17765
247.00	18459
248.00	19153
249.00	19873
250.00	20638
251.00	21404
252.00	22169
253.00	22934
254.00	23700
255.00	24592
256.00	25607
257.00	26622
258.00	27636
259.00	28651
260.00	29665
261.00	30779
262.00	31925
263.00	33072
264.00	34370
265.00	35677
266.00	36984
267.00	38418
268.00	39852
269.00	41154
270.00	42457
271.00	43198
272.00	43547
273.00	43700
274.00	43485
275.00	43075
276.00	41729
277.00	40147
278.00	38565
279.00	36910
280.00	35256
281.00	33722
282.00	32276
283.00	30829
284.00	29483
285.00	28258
286.00	27033
287.00	26016
288.00	25043
289.00	24115
290.00	23583
291.00	23052
292.00	22627
293.00	22290
294.00	21952
295.00	21774
296.00	21649
297.00	21524
298.00	21514
299.00	21503
300.00	21493
301.00	21576
302.00	21659
303.00	21701
304.00	21742
305.00	21617
306.00	21350
307.00	21083
308.00	20702
309.00	20321
310.00	19940
311.00	19436
312.00	18932
313.00	18428
314.00	17859
315.00	17291
316.00	16722
317.00	16200
318.00	15671
319.00	15070
320.00	14468
321.00	13867
322.00	13266
323.00	12665
324.00	12083
325.00	11502
326.00	10920
327.00	10338
328.00	9756.7
329.00	9261.4
330.00	8871.6
331.00	8481.8
332.00	8092.0
333.00	7702.2
334.00	7312.4
335.00	6922.6
336.00	6532.8
337.00	6168.7
338.00	5914.1
339.00	5659.6
340.00	5405.0
341.00	5150.4
342.00	4895.8
343.00	4641.2
344.00	4452.8
345.00	4269.4
346.00	4085.9
347.00	3902.5
348.00	3719.1
349.00	3535.6
350.00	3385.5
351.00	3245.9
352.00	3106.3
353.00	2966.7
354.00	2827.2
355.00	2687.6
356.00	2541.5
357.00	2386.5
358.00	2231.5
359.00	2076.5
360.00	1923.8
361.00	1773.1
362.00	1622.4
363.00	1471.7
364.00	1347.8
365.00	1249.5
366.00	1151.2
367.00	1052.9
368.00	954.59
369.00	856.29
370.00	758.00
