Wavelength (nm)	E13 abs e
200.00	17665
201.00	18152
202.00	16644
203.00	15568
204.00	14452
205.00	13852
206.00	13637
207.00	13658
208.00	13939
209.00	14517
210.00	15165
211.00	15778
212.00	16306
213.00	16884
214.00	17513
215.00	18194
216.00	18670
217.00	18691
218.00	18235
219.00	17637
220.00	17030
221.00	16421
222.00	15682
223.00	14818
224.00	13930
225.00	13111
226.00	12343
227.00	11659
228.00	11026
229.00	10410
230.00	9769.1
231.00	9152.1
232.00	8523.9
233.00	7838.4
234.00	7148.9
235.00	6486.0
236.00	5903.4
237.00	5434.8
238.00	5108.3
239.00	4909.8
240.00	4816.6
241.00	4810.9
242.00	4856.9
243.00	4932.7
244.00	5013.6
245.00	5096.1
246.00	5189.6
247.00	5296.2
248.00	5420.9
249.00	5545.0
250.00	5654.7
251.00	5708.3
252.00	5683.3
253.00	5576.7
254.00	5408.7
255.00	5204.9
256.00	4999.4
257.00	4833.4
258.00	4703.7
259.00	4570.5
260.00	4403.8
261.00	4142.8
262.00	3776.4
263.00	3315.6
264.00	2816.7
265.00	2347.1
266.00	1950.3
267.00	1644.4
268.00	1428.9
269.00	1285.5
270.00	1198.1
271.00	1157.9
272.00	1149.3
273.00	1170.7
274.00	1212.1
275.00	1257.9
276.00	1290.0
277.00	1307.2
278.00	1325.6
279.00	1343.3
280.00	1361.1
281.00	1399.7
282.00	1475.0
283.00	1573.1
284.00	1652.6
285.00	1655.9
286.00	1575.8
287.00	1466.4
288.00	1361.4
289.00	1281.0
290.00	1209.8
291.00	1155.1
292.00	1165.6
293.00	1254.5
294.00	1350.0
295.00	1313.4
296.00	1120.2
297.00	847.79
298.00	582.87
299.00	381.41
300.00	249.21
301.00	162.68
302.00	108.20
303.00	80.078
304.00	57.250
305.00	41.196
306.00	31.320
307.00	22.495
308.00	20.997
309.00	16.966
310.00	15.503
311.00	10.306
312.00	12.155
313.00	11.875
314.00	8.4920
315.00	9.3683
316.00	10.306
317.00	4.0547
318.00	7.3377
319.00	5.8974
320.00	10.337
321.00	6.3030
322.00	12.767
323.00	5.6920
324.00	7.2487
325.00	3.9944
326.00	2.7031
327.00	5.6093
328.00	7.4113
329.00	7.0577
330.00	5.2318
331.00	4.5363
332.00	7.7580
333.00	6.3352
334.00	8.4527
335.00	8.6774
336.00	5.3969
337.00	8.1891
338.00	5.6359
339.00	4.8704
340.00	6.0590
341.00	10.814
342.00	11.442
343.00	8.3367
344.00	8.3248
345.00	5.8066
346.00	9.1159
347.00	8.7710
348.00	8.6364
349.00	15.442
350.00	12.950
