Wavelength (nm)	FL155 [13] 13057-72-2, 7-Hydroxyisoflavone [C]
210.00	23539
211.00	22766
212.00	21671
213.00	20410
214.00	19157
215.00	18160
216.00	17509
217.00	17176
218.00	17131
219.00	17283
220.00	17633
221.00	18149
222.00	18785
223.00	19509
224.00	20315
225.00	21143
226.00	21990
227.00	22768
228.00	23529
229.00	24192
230.00	24791
231.00	25347
232.00	25784
233.00	26138
234.00	26419
235.00	26638
236.00	26848
237.00	27037
238.00	27207
239.00	27332
240.00	27446
241.00	27528
242.00	27583
243.00	27600
244.00	27564
245.00	27527
246.00	27489
247.00	27455
248.00	27388
249.00	27265
250.00	27051
251.00	26677
252.00	26165
253.00	25550
254.00	24907
255.00	24250
256.00	23557
257.00	22788
258.00	21936
259.00	20996
260.00	19926
261.00	18764
262.00	17558
263.00	16285
264.00	14983
265.00	13729
266.00	12562
267.00	11493
268.00	10587
269.00	9829.5
270.00	9204.6
271.00	8720.4
272.00	8334.7
273.00	8048.4
274.00	7849.8
275.00	7738.7
276.00	7682.5
277.00	7687.2
278.00	7739.0
279.00	7819.4
280.00	7927.3
281.00	8064.6
282.00	8222.1
283.00	8393.7
284.00	8588.1
285.00	8800.1
286.00	9007.8
287.00	9226.7
288.00	9448.6
289.00	9676.2
290.00	9898.8
291.00	10119
292.00	10356
293.00	10586
294.00	10817
295.00	11034
296.00	11233
297.00	11368
298.00	11446
299.00	11492
300.00	11489
301.00	11456
302.00	11381
303.00	11293
304.00	11213
305.00	11149
306.00	11055
307.00	10928
308.00	10719
309.00	10390
310.00	9925.8
311.00	9323.5
312.00	8615.3
313.00	7839.5
314.00	7019.9
315.00	6234.2
316.00	5488.3
317.00	4794.4
318.00	4171.3
319.00	3614.0
320.00	3133.5
321.00	2723.1
322.00	2366.3
323.00	2049.6
324.00	1790.5
325.00	1568.7
326.00	1374.5
327.00	1212.1
328.00	1067.7
329.00	948.33
330.00	848.85
331.00	758.98
332.00	684.14
333.00	624.70
334.00	564.67
335.00	523.46
336.00	485.02
337.00	450.54
338.00	413.76
339.00	394.20
340.00	371.67
341.00	348.96
342.00	333.06
343.00	320.62
344.00	302.63
345.00	293.97
346.00	282.44
347.00	269.34
348.00	266.71
349.00	248.68
350.00	240.85
351.00	233.94
352.00	223.58
353.00	216.80
354.00	214.76
355.00	208.44
356.00	193.18
357.00	189.86
358.00	180.66
359.00	181.43
360.00	170.20
361.00	169.32
362.00	158.95
363.00	154.86
364.00	157.49
365.00	149.81
366.00	138.51
367.00	134.14
368.00	129.55
369.00	126.47
370.00	123.85
371.00	109.82
372.00	116.54
373.00	117.21
374.00	112.76
375.00	108.22
376.00	90.051
377.00	96.850
378.00	97.559
379.00	92.651
380.00	82.097
381.00	93.555
382.00	93.082
383.00	78.829
384.00	68.623
385.00	78.051
386.00	82.750
387.00	76.896
388.00	71.501
389.00	69.499
390.00	74.268
391.00	64.896
392.00	79.525
393.00	51.534
394.00	55.010
395.00	56.456
396.00	60.961
397.00	57.888
398.00	51.770
399.00	53.925
400.00	45.499
401.00	46.848
402.00	53.995
403.00	43.469
404.00	40.340
405.00	51.714
406.00	46.444
407.00	38.588
408.00	44.122
409.00	32.998
410.00	40.424
411.00	43.024
412.00	42.829
413.00	41.105
414.00	39.575
415.00	37.629
416.00	36.753
417.00	37.086
418.00	31.733
419.00	30.412
420.00	36.210
421.00	36.002
422.00	34.875
423.00	37.615
424.00	39.534
425.00	32.039
426.00	41.745
427.00	32.067
428.00	39.297
429.00	38.143
430.00	36.280
431.00	30.787
432.00	33.846
433.00	39.242
434.00	19.941
435.00	28.910
436.00	34.458
437.00	26.699
438.00	30.899
439.00	34.444
440.00	23.014
441.00	24.516
442.00	21.082
443.00	27.172
444.00	28.813
445.00	28.757
446.00	29.077
447.00	29.077
448.00	33.221
449.00	19.524
450.00	24.377
451.00	19.719
452.00	28.034
453.00	17.591
454.00	22.834
455.00	20.400
456.00	29.369
457.00	23.747
458.00	22.820
459.00	25.698
460.00	24.016
461.00	22.250
462.00	29.578
463.00	18.509
464.00	30.091
465.00	30.926
466.00	11.112
467.00	13.434
468.00	23.543
469.00	21.846
470.00	23.112
471.00	25.823
472.00	21.388
473.00	4.4929
474.00	6.5648
475.00	16.576
476.00	17.806
477.00	23.557
478.00	14.917
479.00	6.1686
480.00	26.324
481.00	23.014
482.00	17.883
483.00	14.810
484.00	7.7884
485.00	9.8881
486.00	6.0331
487.00	2.9633
488.00	4.9864
489.00	11.153
490.00	3.1302
491.00	12.099
492.00	8.3585
493.00	13.726
494.00	7.0236
495.00	7.1071
496.00	6.5846
497.00	7.9970
498.00	9.3319
499.00	15.798
500.00	17.049
