Wavelength (nm)	C12 abs e
200.00	13391
201.00	14467
202.00	15622
203.00	16876
204.00	18219
205.00	19667
206.00	21068
207.00	22167
208.00	23028
209.00	23783
210.00	24490
211.00	25217
212.00	25796
213.00	25528
214.00	24031
215.00	21978
216.00	20280
217.00	19340
218.00	19056
219.00	19267
220.00	19833
221.00	20643
222.00	21670
223.00	22848
224.00	24203
225.00	25702
226.00	27427
227.00	29352
228.00	31524
229.00	33840
230.00	36306
231.00	38811
232.00	41298
233.00	43816
234.00	46249
235.00	48588
236.00	50629
237.00	52291
238.00	53367
239.00	53701
240.00	53236
241.00	51922
242.00	49893
243.00	47167
244.00	43900
245.00	40129
246.00	35545
247.00	30193
248.00	24494
249.00	19220
250.00	14744
251.00	11328
252.00	8902.4
253.00	7191.4
254.00	6030.9
255.00	5264.9
256.00	4781.6
257.00	4494.7
258.00	4332.5
259.00	4254.7
260.00	4213.7
261.00	4203.5
262.00	4212.1
263.00	4249.0
264.00	4334.6
265.00	4478.3
266.00	4685.5
267.00	4940.1
268.00	5215.7
269.00	5479.7
270.00	5676.4
271.00	5786.5
272.00	5805.7
273.00	5771.4
274.00	5741.8
275.00	5787.9
276.00	5937.4
277.00	6177.5
278.00	6488.7
279.00	6835.0
280.00	7161.1
281.00	7347.4
282.00	7294.5
283.00	6993.5
284.00	6519.9
285.00	6005.6
286.00	5587.7
287.00	5334.2
288.00	5230.7
289.00	5233.5
290.00	5334.0
291.00	5514.5
292.00	5642.2
293.00	5538.8
294.00	5101.0
295.00	4407.2
296.00	3625.4
297.00	2895.3
298.00	2286.9
299.00	1843.9
300.00	1538.1
301.00	1342.6
302.00	1227.8
303.00	1162.7
304.00	1140.2
305.00	1139.5
306.00	1156.4
307.00	1186.6
308.00	1221.7
309.00	1261.5
310.00	1307.7
311.00	1358.7
312.00	1410.6
313.00	1465.9
314.00	1524.1
315.00	1585.3
316.00	1644.8
317.00	1707.8
318.00	1772.8
319.00	1835.4
320.00	1900.3
321.00	1964.6
322.00	2028.1
323.00	2097.7
324.00	2155.2
325.00	2219.8
326.00	2282.5
327.00	2344.7
328.00	2399.8
329.00	2455.7
330.00	2512.4
331.00	2563.7
332.00	2615.5
333.00	2661.4
334.00	2702.4
335.00	2737.5
336.00	2769.0
337.00	2792.6
338.00	2814.5
339.00	2829.4
340.00	2836.9
341.00	2838.0
342.00	2834.4
343.00	2824.4
344.00	2809.9
345.00	2786.1
346.00	2750.9
347.00	2706.3
348.00	2656.8
349.00	2593.2
350.00	2521.1
351.00	2444.8
352.00	2357.4
353.00	2263.7
354.00	2163.3
355.00	2058.6
356.00	1951.4
357.00	1845.4
358.00	1737.9
359.00	1628.1
360.00	1515.5
361.00	1407.8
362.00	1292.6
363.00	1175.4
364.00	1061.2
365.00	943.44
366.00	842.43
367.00	744.56
368.00	655.47
369.00	574.90
370.00	500.55
371.00	435.81
372.00	378.33
373.00	324.32
374.00	279.35
375.00	240.79
376.00	208.70
377.00	181.37
378.00	156.67
379.00	141.40
380.00	122.41
381.00	109.98
382.00	101.26
383.00	93.171
384.00	85.065
385.00	84.895
386.00	85.557
387.00	68.798
388.00	72.677
389.00	75.310
390.00	69.568
391.00	73.295
392.00	65.449
393.00	67.985
394.00	63.176
395.00	64.157
396.00	58.113
397.00	57.083
398.00	51.107
399.00	49.369
400.00	53.216
