Wavelngth (nm)	FL124 [12] 17912-87-7, Myricitrin [C]
210.00	32251
211.00	32100
212.00	31510
213.00	30357
214.00	28835
215.00	27135
216.00	25404
217.00	23752
218.00	22315
219.00	21112
220.00	20196
221.00	19453
222.00	18859
223.00	18349
224.00	17923
225.00	17556
226.00	17167
227.00	16756
228.00	16276
229.00	15796
230.00	15266
231.00	14696
232.00	14155
233.00	13580
234.00	13014
235.00	12497
236.00	12004
237.00	11563
238.00	11203
239.00	10933
240.00	10756
241.00	10683
242.00	10720
243.00	10846
244.00	11041
245.00	11297
246.00	11592
247.00	11912
248.00	12236
249.00	12555
250.00	12852
251.00	13125
252.00	13372
253.00	13570
254.00	13719
255.00	13830
256.00	13890
257.00	13900
258.00	13859
259.00	13807
260.00	13747
261.00	13684
262.00	13628
263.00	13560
264.00	13444
265.00	13267
266.00	13000
267.00	12644
268.00	12202
269.00	11619
270.00	10925
271.00	10146
272.00	9303.9
273.00	8465.8
274.00	7661.0
275.00	6923.3
276.00	6279.9
277.00	5744.8
278.00	5328.8
279.00	5019.9
280.00	4812.4
281.00	4691.2
282.00	4631.6
283.00	4626.3
284.00	4662.7
285.00	4735.4
286.00	4829.3
287.00	4935.2
288.00	5049.1
289.00	5180.2
290.00	5318.6
291.00	5460.0
292.00	5596.4
293.00	5725.5
294.00	5852.8
295.00	5963.1
296.00	6090.4
297.00	6195.9
298.00	6297.8
299.00	6375.6
300.00	6451.6
301.00	6506.6
302.00	6552.2
303.00	6599.1
304.00	6637.1
305.00	6684.0
306.00	6705.0
307.00	6730.3
308.00	6755.4
309.00	6788.3
310.00	6839.1
311.00	6883.4
312.00	6944.3
313.00	7014.6
314.00	7094.5
315.00	7185.2
316.00	7283.7
317.00	7396.2
318.00	7516.1
319.00	7645.6
320.00	7780.5
321.00	7918.2
322.00	8072.2
323.00	8226.1
324.00	8379.5
325.00	8539.8
326.00	8709.2
327.00	8875.2
328.00	9052.0
329.00	9215.4
330.00	9391.6
331.00	9560.8
332.00	9739.4
333.00	9919.3
334.00	10102
335.00	10287
336.00	10470
337.00	10636
338.00	10809
339.00	10983
340.00	11152
341.00	11311
342.00	11469
343.00	11611
344.00	11741
345.00	11876
346.00	12011
347.00	12116
348.00	12214
349.00	12319
350.00	12368
351.00	12421
352.00	12457
353.00	12484
354.00	12511
355.00	12489
356.00	12462
357.00	12393
358.00	12337
359.00	12261
360.00	12156
361.00	12027
362.00	11882
363.00	11726
364.00	11534
365.00	11326
366.00	11081
367.00	10855
368.00	10622
369.00	10340
370.00	10047
371.00	9740.1
372.00	9437.2
373.00	9118.6
374.00	8792.1
375.00	8470.6
376.00	8132.3
377.00	7789.9
378.00	7453.3
379.00	7093.7
380.00	6748.3
381.00	6395.8
382.00	6060.8
383.00	5727.4
384.00	5405.3
385.00	5080.0
386.00	4762.6
387.00	4438.9
388.00	4130.0
389.00	3869.5
390.00	3599.5
391.00	3322.6
392.00	3055.9
393.00	2817.5
394.00	2596.7
395.00	2383.5
396.00	2186.7
397.00	1990.1
398.00	1801.3
399.00	1639.0
400.00	1500.2
401.00	1358.5
402.00	1223.9
403.00	1102.8
404.00	989.46
405.00	882.66
406.00	797.71
407.00	723.49
408.00	647.32
409.00	575.04
410.00	510.02
411.00	456.56
412.00	406.14
413.00	363.04
414.00	320.99
415.00	284.19
416.00	252.94
417.00	224.73
418.00	201.05
419.00	182.76
420.00	159.69
421.00	134.86
422.00	115.92
423.00	104.75
424.00	100.39
425.00	87.818
426.00	85.507
427.00	71.969
428.00	62.659
429.00	63.571
430.00	49.028
431.00	48.643
432.00	52.654
433.00	46.417
434.00	41.409
435.00	48.765
436.00	37.219
437.00	32.729
438.00	31.263
439.00	30.925
440.00	33.114
441.00	23.701
442.00	16.552
443.00	22.339
444.00	15.556
445.00	23.109
446.00	25.420
447.00	26.942
448.00	21.240
449.00	25.044
450.00	22.996
451.00	21.174
452.00	27.684
453.00	25.833
454.00	28.793
455.00	21.747
456.00	17.632
457.00	19.126
458.00	13.311
459.00	20.901
460.00	24.124
461.00	14.494
462.00	19.774
463.00	10.192
464.00	12.071
465.00	17.407
466.00	14.344
467.00	23.635
468.00	22.574
469.00	17.209
470.00	16.336
471.00	13.414
472.00	10.276
473.00	7.0164
474.00	17.209
475.00	18.149
476.00	19.267
477.00	16.834
478.00	12.578
479.00	19.107
480.00	3.3432
481.00	17.491
482.00	18.543
483.00	15.894
484.00	12.672
485.00	8.7920
486.00	8.4165
487.00	9.1865
488.00	14.134
489.00	10.633
490.00	10.032
491.00	4.0196
492.00	6.9037
493.00	6.3588
494.00	13.696
495.00	8.9893
496.00	14.757
497.00	3.5311
498.00	10.314
499.00	3.6157
500.00	3.0896
