Wavelength (nm)	A18 abs e
210.00	2008.5
211.00	1806.8
212.00	1678.1
213.00	1604.8
214.00	1576.3
215.00	1580.8
216.00	1616.6
217.00	1675.8
218.00	1755.7
219.00	1853.2
220.00	1963.8
221.00	2084.2
222.00	2212.7
223.00	2343.3
224.00	2474.9
225.00	2604.6
226.00	2727.1
227.00	2840.8
228.00	2940.2
229.00	3020.7
230.00	3084.2
231.00	3128.3
232.00	3150.2
233.00	3147.7
234.00	3121.7
235.00	3069.1
236.00	2994.7
237.00	2894.7
238.00	2775.0
239.00	2640.9
240.00	2488.3
241.00	2326.3
242.00	2159.6
243.00	1986.6
244.00	1813.1
245.00	1646.1
246.00	1482.7
247.00	1327.1
248.00	1183.0
249.00	1052.3
250.00	931.28
251.00	823.70
252.00	729.89
253.00	647.98
254.00	577.12
255.00	517.84
256.00	468.70
257.00	430.98
258.00	399.78
259.00	376.51
260.00	359.97
261.00	349.77
262.00	343.63
263.00	342.72
264.00	345.45
265.00	351.09
266.00	359.31
267.00	369.57
268.00	381.85
269.00	394.94
270.00	408.41
271.00	421.61
272.00	434.92
273.00	448.71
274.00	460.53
275.00	470.17
276.00	478.41
277.00	484.59
278.00	488.64
279.00	490.00
280.00	488.41
281.00	483.63
282.00	476.05
283.00	464.58
284.00	450.98
285.00	434.49
286.00	415.25
287.00	393.53
288.00	370.54
289.00	346.30
290.00	321.77
291.00	297.78
292.00	273.31
293.00	250.83
294.00	229.05
295.00	208.94
296.00	189.70
297.00	171.32
298.00	154.31
299.00	138.99
300.00	125.28
301.00	112.35
302.00	100.55
303.00	89.689
304.00	80.017
305.00	70.854
306.00	63.092
307.00	55.508
308.00	49.221
309.00	43.589
310.00	38.649
311.00	33.723
312.00	29.449
313.00	26.525
314.00	23.158
315.00	19.088
316.00	17.723
317.00	16.069
318.00	14.049
319.00	12.593
320.00	11.513
321.00	10.263
322.00	8.3344
323.00	8.0303
324.00	7.8431
325.00	7.4942
326.00	6.9485
327.00	6.6749
328.00	7.1357
329.00	6.1131
330.00	5.5962
331.00	5.8251
332.00	5.2490
333.00	5.1274
334.00	4.3256
335.00	4.6537
336.00	5.0217
337.00	4.7833
338.00	4.3320
339.00	4.6105
340.00	4.8345
341.00	4.7993
342.00	4.1160
343.00	3.8375
344.00	3.9479
345.00	4.0471
346.00	4.1992
347.00	3.3734
348.00	3.7431
349.00	3.0854
350.00	3.1894
