Wavelength (nm)	T13 abs e
350.00	8761.2
351.00	8660.2
352.00	8604.9
353.00	8554.6
354.00	8505.8
355.00	8472.4
356.00	8469.1
357.00	8445.8
358.00	8464.4
359.00	8411.2
360.00	8370.6
361.00	8302.4
362.00	8212.1
363.00	8341.3
364.00	8615.9
365.00	8876.1
366.00	8904.0
367.00	8804.7
368.00	8853.6
369.00	9145.9
370.00	9370.2
371.00	9556.3
372.00	9713.8
373.00	9815.8
374.00	9968.5
375.00	10132
376.00	10314
377.00	10468
378.00	10613
379.00	10790
380.00	10992
381.00	11222
382.00	11524
383.00	11791
384.00	12043
385.00	12316
386.00	12580
387.00	12834
388.00	13041
389.00	13308
390.00	13665
391.00	14145
392.00	14819
393.00	15653
394.00	16921
395.00	18520
396.00	20573
397.00	23118
398.00	26179
399.00	29285
400.00	32673
401.00	36316
402.00	39533
403.00	42349
404.00	44462
405.00	45812
406.00	46479
407.00	46417
408.00	45800
409.00	44739
410.00	43755
411.00	42954
412.00	42675
413.00	43534
414.00	45705
415.00	49566
416.00	55190
417.00	63246
418.00	74868
419.00	91212
420.00	1.1296e+05
421.00	1.3874e+05
422.00	1.6274e+05
423.00	1.7951e+05
424.00	1.8929e+05
425.00	1.9100e+05
426.00	1.8643e+05
427.00	1.7915e+05
428.00	1.7158e+05
429.00	1.6364e+05
430.00	1.5576e+05
431.00	1.4770e+05
432.00	1.3737e+05
433.00	1.2424e+05
434.00	1.1057e+05
435.00	96415
436.00	81427
437.00	67544
438.00	54484
439.00	43198
440.00	33772
441.00	25641
442.00	19814
443.00	15312
444.00	11868
445.00	9387.8
446.00	7512.0
447.00	6240.1
448.00	5316.8
449.00	4607.0
450.00	4120.3
451.00	3769.7
452.00	3465.0
453.00	3183.8
454.00	3027.2
455.00	2833.7
456.00	2670.3
457.00	2529.2
458.00	2429.0
459.00	2310.4
460.00	2225.7
461.00	2120.6
462.00	2046.8
463.00	1914.1
464.00	1825.3
465.00	1739.8
466.00	1663.2
467.00	1618.2
468.00	1528.9
469.00	1443.7
470.00	1436.1
471.00	1359.0
472.00	1316.4
473.00	1249.4
474.00	1182.5
475.00	1216.3
476.00	1173.5
477.00	1148.6
478.00	1146.1
479.00	1131.8
480.00	1155.9
481.00	1178.7
482.00	1199.6
483.00	1225.5
484.00	1247.8
485.00	1293.7
486.00	1256.0
487.00	1342.4
488.00	1471.4
