Wavelength (nm)	G01 abs e
200.00	1533.4
200.25	2022.1
200.50	1627.1
200.75	1772.1
201.00	1508.8
201.25	1436.7
201.50	1735.0
201.75	1652.5
202.00	1664.4
202.25	1786.8
202.50	1647.9
202.75	1738.2
203.00	1985.5
203.25	2034.9
203.50	1630.0
203.75	1911.8
204.00	1799.7
204.25	1773.1
204.50	1781.5
204.75	1849.5
205.00	1891.2
205.25	2025.7
205.50	1891.0
205.75	2010.1
206.00	1932.2
206.25	2129.7
206.50	1929.8
206.75	2044.9
207.00	2220.0
207.25	2229.3
207.50	2337.6
207.75	2079.5
208.00	2219.7
208.25	2258.7
208.50	2249.5
208.75	2415.1
209.00	2386.4
209.25	2460.1
209.50	2484.1
209.75	2549.6
210.00	2571.9
210.25	2667.6
210.50	2625.4
210.75	2570.4
211.00	2749.1
211.25	2801.6
211.50	2803.2
211.75	2858.8
212.00	2928.3
212.25	2884.8
212.50	3003.3
212.75	3093.6
213.00	3127.4
213.25	3108.4
213.50	3279.5
213.75	3321.0
214.00	3350.7
214.25	3532.3
214.50	3608.4
214.75	3727.5
215.00	3753.6
215.25	3875.9
215.50	3847.6
215.75	3894.9
216.00	3974.4
216.25	4035.6
216.50	4139.2
216.75	4179.3
217.00	4234.4
217.25	4394.3
217.50	4442.5
217.75	4581.7
218.00	4644.8
218.25	4770.6
218.50	4925.3
218.75	4973.7
219.00	5229.0
219.25	5312.6
219.50	5336.9
219.75	5496.5
220.00	5550.1
220.25	5722.7
220.50	5940.4
220.75	6009.0
221.00	6014.7
221.25	6244.6
221.50	6510.6
221.75	6583.0
222.00	6608.4
222.25	6885.5
222.50	7006.8
222.75	7069.8
223.00	7232.7
223.25	7394.2
223.50	7578.0
223.75	7665.4
224.00	7724.5
224.25	8086.6
224.50	8078.7
224.75	8158.5
225.00	8324.3
225.25	8609.1
225.50	8746.1
225.75	8787.9
226.00	9011.5
226.25	9163.5
226.50	9305.1
226.75	9548.5
227.00	9648.7
227.25	9852.2
227.50	9954.5
227.75	10173
228.00	10417
228.25	10499
228.50	10630
228.75	10904
229.00	11020
229.25	11146
229.50	11403
229.75	11500
230.00	11729
230.25	11980
230.50	12122
230.75	12239
231.00	12515
231.25	12579
231.50	12622
231.75	12815
232.00	13083
232.25	13153
232.50	13339
232.75	13487
233.00	13611
233.25	13611
233.50	13846
233.75	14094
234.00	14201
234.25	14349
234.50	14388
234.75	14454
235.00	14923
235.25	15002
235.50	15153
235.75	15347
236.00	15409
236.25	15598
236.50	15573
236.75	15823
237.00	15898
237.25	15952
237.50	16394
237.75	16236
238.00	16434
238.25	16595
238.50	16642
238.75	16621
239.00	16662
239.25	16690
239.50	16974
239.75	17000
240.00	16879
240.25	16943
240.50	16882
240.75	16704
241.00	16782
241.25	16715
241.50	16431
241.75	16749
242.00	16263
242.25	16392
242.50	16319
242.75	16191
243.00	16035
243.25	15832
243.50	15910
243.75	15498
244.00	15477
244.25	15488
244.50	15375
244.75	15219
245.00	15184
245.25	14895
245.50	14764
245.75	14735
246.00	14665
246.25	14523
246.50	14175
246.75	14412
247.00	14211
247.25	14065
247.50	13970
247.75	13836
248.00	13782
248.25	13649
248.50	13365
248.75	13185
249.00	13031
249.25	12736
249.50	12534
249.75	12169
250.00	12001
250.25	11563
250.50	11304
250.75	10980
251.00	10423
251.25	10041
251.50	9587.2
251.75	9237.3
252.00	8730.4
252.25	8322.6
252.50	7867.1
252.75	7412.0
253.00	7000.7
253.25	6552.4
253.50	6251.3
253.75	5851.6
254.00	5451.9
254.25	5033.8
254.50	4688.6
254.75	4419.5
255.00	4213.3
255.25	4031.9
255.50	3779.6
255.75	3608.2
256.00	3381.0
256.25	3061.6
256.50	2906.2
256.75	2667.0
257.00	2400.5
257.25	2253.1
257.50	2075.5
257.75	1953.9
258.00	1798.9
258.25	1594.4
258.50	1458.0
258.75	1292.2
259.00	1189.2
259.25	1065.8
259.50	1096.3
259.75	973.06
260.00	923.81
260.25	825.51
260.50	785.58
260.75	762.47
261.00	644.20
261.25	616.63
261.50	586.17
261.75	586.11
262.00	560.35
262.25	592.35
262.50	533.62
262.75	453.59
263.00	433.47
263.25	415.10
263.50	422.38
263.75	364.34
264.00	440.65
264.25	348.89
264.50	404.30
264.75	348.75
265.00	309.22
265.25	325.57
265.50	305.62
265.75	270.92
266.00	356.33
266.25	371.66
266.50	274.53
266.75	288.11
267.00	278.50
267.25	273.30
267.50	340.48
267.75	337.86
268.00	306.72
268.25	276.65
268.50	244.82
268.75	237.88
269.00	247.01
269.25	325.13
