Wavelength (nm)	G19 abs e
220.00	13321
220.25	13404
220.50	13305
220.75	13249
221.00	13360
221.25	13291
221.50	13291
221.75	13398
222.00	13498
222.25	13463
222.50	13408
222.75	13525
223.00	13541
223.25	13727
223.50	13847
223.75	13876
224.00	13974
224.25	14075
224.50	14088
224.75	14352
225.00	14430
225.25	14424
225.50	14595
225.75	14808
226.00	14876
226.25	14912
226.50	15023
226.75	15119
227.00	15402
227.25	15415
227.50	15544
227.75	15704
228.00	15775
228.25	15986
228.50	16201
228.75	16371
229.00	16609
229.25	16713
229.50	16958
229.75	17141
230.00	17372
230.25	17596
230.50	17929
230.75	18037
231.00	18409
231.25	18605
231.50	18859
231.75	19080
232.00	19304
232.25	19614
232.50	19887
232.75	20033
233.00	20295
233.25	20494
233.50	20745
233.75	20876
234.00	21153
234.25	21465
234.50	21599
234.75	21895
235.00	22252
235.25	22604
235.50	22951
235.75	23376
236.00	23774
236.25	24065
236.50	24430
236.75	24792
237.00	25276
237.25	25736
237.50	26186
237.75	26664
238.00	27121
238.25	27517
238.50	28040
238.75	28637
239.00	29078
239.25	29692
239.50	30246
239.75	30754
240.00	31408
240.25	31949
240.50	32539
240.75	33171
241.00	33509
241.25	34258
241.50	34847
241.75	35393
242.00	35846
242.25	36436
242.50	36983
242.75	37468
243.00	38029
243.25	38609
243.50	38858
243.75	39589
244.00	40173
244.25	40594
244.50	41248
244.75	41835
245.00	42207
245.25	42694
245.50	43141
245.75	43759
246.00	44321
246.25	44966
246.50	45483
246.75	46172
247.00	46656
247.25	47424
247.50	48151
247.75	48897
248.00	49446
248.25	50126
248.50	51013
248.75	51762
249.00	52411
249.25	53110
249.50	53894
249.75	54378
250.00	55232
250.25	55557
250.50	56107
250.75	56604
251.00	56767
251.25	56800
251.50	56561
251.75	56368
252.00	56183
252.25	55776
252.50	55199
252.75	54453
253.00	53470
253.25	52561
253.50	51243
253.75	50279
254.00	48689
254.25	47301
254.50	46097
254.75	45465
255.00	44646
255.25	43050
255.50	41577
255.75	39862
256.00	38378
256.25	36977
256.50	35341
256.75	34024
257.00	32735
257.25	31369
257.50	30193
257.75	29208
258.00	28219
258.25	27413
258.50	26643
258.75	25980
259.00	25378
259.25	24872
259.50	24454
259.75	24111
260.00	23864
260.25	23505
260.50	23217
260.75	23023
261.00	22952
261.25	22693
261.50	22531
261.75	22457
262.00	22294
262.25	22108
262.50	21842
262.75	21845
263.00	21610
263.25	21428
263.50	21213
263.75	20919
264.00	20766
264.25	20466
264.50	20170
264.75	19791
265.00	19553
265.25	19311
265.50	19014
265.75	18698
266.00	18509
266.25	18331
266.50	18161
266.75	18007
267.00	18030
267.25	17970
267.50	17857
267.75	17876
268.00	17859
268.25	17958
268.50	17983
268.75	18188
269.00	18307
269.25	18432
269.50	18495
269.75	18530
270.00	18728
270.25	18843
270.50	18857
270.75	18898
271.00	18856
271.25	18805
271.50	18731
271.75	18595
272.00	18391
272.25	18117
272.50	17830
272.75	17440
273.00	17104
273.25	16716
273.50	16300
273.75	15861
274.00	15381
274.25	14927
274.50	14458
274.75	13791
275.00	13233
275.25	12675
275.50	12054
275.75	11479
276.00	10967
276.25	10546
276.50	10208
276.75	9738.8
277.00	9316.3
277.25	8885.9
277.50	8442.0
277.75	8098.8
278.00	7753.9
278.25	7283.2
278.50	7036.5
278.75	6656.2
279.00	6406.0
279.25	6047.1
279.50	5704.7
279.75	5450.9
280.00	5236.8
280.25	5046.7
280.50	4776.5
280.75	4542.3
281.00	4389.3
281.25	4212.4
281.50	4048.0
281.75	3828.9
282.00	3700.2
282.25	3548.7
282.50	3373.1
282.75	3332.0
283.00	3184.1
283.25	3067.9
283.50	2978.5
283.75	2956.0
284.00	2976.7
284.25	2754.1
284.50	2755.9
284.75	2736.5
285.00	2668.6
285.25	2666.8
285.50	2607.9
285.75	2563.9
286.00	2551.4
286.25	2476.7
286.50	2467.4
286.75	2443.5
287.00	2425.6
287.25	2436.7
287.50	2432.7
287.75	2374.8
288.00	2374.1
288.25	2328.7
288.50	2355.9
288.75	2390.2
289.00	2478.1
289.25	2407.7
289.50	2397.7
289.75	2264.7
290.00	2372.3
290.25	2399.5
290.50	2415.9
290.75	2419.1
291.00	2415.6
291.25	2471.7
291.50	2541.4
291.75	2409.5
292.00	2431.3
292.25	2462.0
292.50	2443.1
292.75	2496.4
293.00	2558.9
293.25	2630.0
293.50	2575.3
293.75	2664.0
294.00	2617.2
294.25	2523.9
294.50	2575.7
294.75	2624.3
295.00	2653.3
295.25	2705.5
295.50	2691.5
295.75	2779.8
296.00	2757.6
296.25	2774.1
296.50	2737.6
296.75	2772.7
297.00	2834.5
297.25	2833.4
297.50	2893.5
297.75	2955.3
298.00	2929.9
298.25	3016.8
298.50	2983.9
298.75	3037.2
299.00	3030.4
299.25	3048.2
299.50	3085.8
299.75	3080.8
300.00	3097.2
300.25	3184.8
300.50	3207.7
300.75	3230.2
301.00	3293.8
301.25	3300.6
301.50	3314.9
301.75	3267.0
302.00	3380.7
302.25	3373.5
302.50	3466.4
302.75	3476.1
303.00	3560.4
303.25	3532.2
303.50	3635.9
303.75	3666.6
304.00	3680.9
304.25	3671.6
304.50	3711.3
304.75	3805.3
305.00	3827.8
305.25	3946.5
305.50	3917.2
305.75	3947.6
306.00	3970.8
306.25	4026.9
306.50	4008.3
306.75	4142.4
307.00	4087.3
307.25	4208.1
307.50	4245.3
307.75	4346.5
308.00	4295.0
308.25	4387.6
308.50	4411.1
308.75	4438.0
309.00	4434.0
309.25	4522.3
309.50	4544.1
309.75	4559.1
310.00	3965.8
310.25	4425.4
310.50	4380.8
310.75	4544.8
311.00	4390.4
311.25	4702.5
311.50	4436.5
311.75	4384.3
312.00	4580.9
312.25	4864.4
312.50	4662.1
312.75	4675.3
313.00	4945.9
313.25	4941.9
313.50	4824.0
313.75	4988.1
314.00	5001.6
314.25	5025.9
314.50	5176.4
314.75	5017.7
315.00	5343.3
315.25	4871.9
315.50	5189.7
315.75	5255.8
316.00	5000.6
316.25	5419.8
316.50	5383.0
316.75	5326.2
317.00	5492.4
317.25	5398.0
317.50	5476.0
317.75	5476.3
318.00	5472.7
318.25	5423.4
318.50	5642.9
318.75	5752.6
319.00	5400.2
319.25	5624.7
319.50	5479.5
319.75	5528.9
320.00	5664.3
320.25	5833.4
320.50	5746.2
320.75	5694.0
321.00	5798.0
321.25	5668.3
321.50	5490.3
321.75	5873.4
322.00	5805.9
322.25	5657.5
322.50	5534.6
322.75	6040.7
323.00	5743.3
323.25	6060.7
323.50	5913.8
323.75	5685.8
324.00	5833.4
324.25	5891.3
324.50	5787.6
324.75	5879.1
325.00	5807.3
325.25	5518.5
325.50	5848.8
325.75	5628.9
326.00	5927.4
326.25	5614.3
326.50	5592.8
326.75	5631.1
327.00	5645.7
327.25	5839.1
327.50	5616.1
327.75	5663.3
328.00	5439.9
328.25	5547.8
328.50	5568.9
328.75	5350.9
329.00	5305.1
329.25	5641.1
329.50	5301.2
329.75	5560.7
330.00	5377.7
330.25	5415.9
330.50	5217.9
330.75	5173.9
331.00	5282.6
331.25	5360.5
331.50	5255.1
331.75	5175.7
332.00	5215.4
332.25	5085.3
332.50	4992.3
332.75	4967.0
333.00	5205.4
333.25	4759.3
333.50	4984.1
333.75	4820.1
334.00	4760.0
334.25	4719.6
334.50	4717.8
334.75	4718.5
335.00	4657.4
335.25	4659.9
335.50	4629.2
335.75	4325.4
336.00	4484.4
336.25	4215.3
336.50	4503.0
336.75	4034.1
337.00	4194.2
337.25	4227.8
337.50	4138.4
337.75	3995.4
338.00	4052.3
338.25	3870.3
338.50	3853.9
338.75	3663.0
339.00	3746.3
339.25	3660.2
339.50	3618.0
339.75	3403.5
340.00	3388.5
340.25	3429.3
340.50	3277.4
340.75	3159.4
341.00	3360.3
341.25	2995.0
341.50	2956.4
341.75	2978.5
342.00	3010.3
342.25	2985.0
342.50	2803.4
342.75	2768.0
343.00	2606.8
343.25	2526.7
343.50	2605.4
343.75	2408.4
344.00	2422.0
344.25	2353.7
344.50	2303.0
344.75	2373.7
345.00	2172.2
345.25	2139.6
345.50	2074.6
345.75	1999.5
346.00	1810.8
346.25	1786.8
346.50	1791.5
