Wavelength (nm)	Chem Sci 2014_3388, PiCC abs (MeOH) [Z]
600.00	0.0062290
601.00	0.0056282
602.00	0.0050273
603.00	0.0044264
604.00	0.0041666
605.00	0.0040460
606.00	0.0039254
607.00	0.0038048
608.00	0.0036842
609.00	0.0035636
610.00	0.0034430
611.00	0.0033224
612.00	0.0032018
613.00	0.0030812
614.00	0.0029606
615.00	0.0028400
616.00	0.0027723
617.00	0.0027047
618.00	0.0026370
619.00	0.0025693
620.00	0.0025017
621.00	0.0024340
622.00	0.0023663
623.00	0.0022987
624.00	0.0022310
625.00	0.0021633
626.00	0.0020957
627.00	0.0020280
628.00	0.0019603
629.00	0.0018927
630.00	0.0018250
631.00	0.0017517
632.00	0.0016784
633.00	0.0016051
634.00	0.0015318
635.00	0.0014585
636.00	0.0013852
637.00	0.0013119
638.00	0.0012386
639.00	0.0011653
640.00	0.0010920
641.00	0.0010187
642.00	0.00094539
643.00	0.00087209
644.00	0.00079879
645.00	0.00072549
646.00	0.00065219
647.00	0.00057888
648.00	0.00050558
649.00	0.00043228
650.00	0.00037584
651.00	0.00037584
652.00	0.00037584
653.00	0.00037584
654.00	0.00037584
655.00	0.00037584
656.00	0.00037584
657.00	0.00037584
658.00	0.00037584
659.00	0.00037584
660.00	0.00037584
661.00	0.00037584
662.00	0.00037584
663.00	0.00037584
664.00	0.00037584
665.00	0.00037584
666.00	0.00037584
667.00	0.00037584
668.00	0.00037584
669.00	0.00037584
670.00	0.00037584
671.00	0.00037584
672.00	0.00037584
673.00	0.00037584
674.00	0.00037584
675.00	0.00037584
676.00	0.00037584
677.00	0.00037584
678.00	0.00037584
679.00	0.00037584
680.00	0.00037584
681.00	0.00037584
682.00	0.00037584
683.00	0.00037584
684.00	0.00037584
685.00	0.00037584
686.00	0.00037584
687.00	0.00037584
688.00	0.00037584
689.00	0.00037584
690.00	0.00037584
691.00	0.00037584
692.00	0.00037584
693.00	0.00037584
694.00	0.00037584
695.00	0.00037584
696.00	0.00037584
697.00	0.00037584
698.00	0.00037584
699.00	0.00037584
700.00	0.00037584
