Wavelength (nm)	Chem Sci 2014_3388, PiCC ems (MeOH) [Z]
530.00	0.025961
531.00	0.0098183
532.00	0.0097570
533.00	0.031484
534.00	0.021532
535.00	0.031822
536.00	0.012660
537.00	0.020479
538.00	0.033405
539.00	0.025524
540.00	0.044252
541.00	0.030429
542.00	0.050090
543.00	0.029635
544.00	0.060146
545.00	0.078693
546.00	0.093112
547.00	0.086991
548.00	0.066166
549.00	0.071715
550.00	0.077264
551.00	0.10826
552.00	0.11804
553.00	0.13245
554.00	0.14439
555.00	0.14390
556.00	0.13654
557.00	0.16293
558.00	0.19420
559.00	0.18354
560.00	0.20162
561.00	0.21355
562.00	0.22890
563.00	0.27281
564.00	0.28725
565.00	0.29609
566.00	0.33960
567.00	0.32347
568.00	0.35541
569.00	0.38980
570.00	0.41450
571.00	0.42711
572.00	0.44379
573.00	0.48472
574.00	0.47473
575.00	0.49081
576.00	0.54162
577.00	0.54631
578.00	0.53143
579.00	0.56044
580.00	0.61397
581.00	0.59683
582.00	0.57969
583.00	0.63583
584.00	0.67087
585.00	0.67361
586.00	0.68118
587.00	0.74787
588.00	0.73096
589.00	0.70578
590.00	0.77303
591.00	0.75536
592.00	0.79611
593.00	0.78496
594.00	0.77992
595.00	0.82052
596.00	0.84501
597.00	0.83426
598.00	0.85318
599.00	0.84905
600.00	0.89744
601.00	0.87158
602.00	0.86502
603.00	0.90018
604.00	0.94230
605.00	0.88958
606.00	0.94480
607.00	0.92393
608.00	0.93279
609.00	0.91171
610.00	0.95891
611.00	0.93297
612.00	0.95242
613.00	0.96222
614.00	0.97202
615.00	0.93373
616.00	0.94213
617.00	0.95953
618.00	0.95976
619.00	0.94108
620.00	0.97054
621.00	1.0000
622.00	0.95222
623.00	0.93776
624.00	0.94991
625.00	0.96207
626.00	0.93766
627.00	0.95350
628.00	0.96933
629.00	0.95060
630.00	0.92483
631.00	0.96388
632.00	0.91226
633.00	0.95918
634.00	0.98762
635.00	0.97473
636.00	0.94601
637.00	0.94810
638.00	0.92929
639.00	0.87403
640.00	0.86533
641.00	0.87782
642.00	0.89591
643.00	0.87605
644.00	0.90717
645.00	0.88993
646.00	0.86006
647.00	0.83344
648.00	0.82894
649.00	0.86230
650.00	0.85556
651.00	0.83195
652.00	0.87887
653.00	0.83215
654.00	0.78309
655.00	0.82516
656.00	0.77108
657.00	0.78023
658.00	0.78952
659.00	0.78134
660.00	0.78863
661.00	0.78062
662.00	0.71418
663.00	0.71929
664.00	0.73362
