Wavelngth (nm)	FL036 [8] 10236-47-2, Naringin [C]
210.00	22862
211.00	23356
212.00	23754
213.00	23970
214.00	23981
215.00	23808
216.00	23503
217.00	23158
218.00	22851
219.00	22617
220.00	22493
221.00	22457
222.00	22510
223.00	22586
224.00	22688
225.00	22816
226.00	22899
227.00	22810
228.00	22500
229.00	21797
230.00	20702
231.00	19179
232.00	17399
233.00	15382
234.00	13082
235.00	10588
236.00	8167.1
237.00	6175.5
238.00	4750.4
239.00	3766.5
240.00	3129.3
241.00	2729.8
242.00	2473.8
243.00	2318.9
244.00	2224.8
245.00	2171.4
246.00	2149.1
247.00	2152.6
248.00	2181.7
249.00	2232.9
250.00	2301.9
251.00	2395.5
252.00	2512.4
253.00	2653.4
254.00	2821.6
255.00	3004.1
256.00	3220.0
257.00	3466.5
258.00	3750.0
259.00	4058.2
260.00	4401.9
261.00	4776.7
262.00	5183.0
263.00	5623.0
264.00	6107.2
265.00	6618.5
266.00	7162.4
267.00	7726.5
268.00	8310.8
269.00	8907.4
270.00	9526.9
271.00	10133
272.00	10762
273.00	11378
274.00	11981
275.00	12547
276.00	13044
277.00	13476
278.00	13852
279.00	14178
280.00	14445
281.00	14667
282.00	14821
283.00	14900
284.00	14876
285.00	14744
286.00	14516
287.00	14197
288.00	13774
289.00	13251
290.00	12641
291.00	11922
292.00	11145
293.00	10325
294.00	9492.4
295.00	8676.1
296.00	7890.6
297.00	7157.7
298.00	6487.6
299.00	5885.3
300.00	5363.9
301.00	4889.1
302.00	4481.5
303.00	4115.7
304.00	3807.9
305.00	3554.4
306.00	3350.7
307.00	3179.1
308.00	3031.4
309.00	2924.0
310.00	2845.6
311.00	2787.3
312.00	2747.7
313.00	2720.0
314.00	2704.4
315.00	2697.2
316.00	2696.7
317.00	2703.5
318.00	2717.1
319.00	2737.0
320.00	2757.9
321.00	2782.1
322.00	2804.5
323.00	2828.2
324.00	2844.4
325.00	2853.2
326.00	2861.2
327.00	2870.6
328.00	2872.5
329.00	2866.1
330.00	2856.7
331.00	2843.9
332.00	2840.0
333.00	2818.2
334.00	2800.1
335.00	2772.0
336.00	2741.7
337.00	2703.3
338.00	2652.1
339.00	2596.7
340.00	2536.7
341.00	2472.0
342.00	2397.7
343.00	2320.1
344.00	2232.9
345.00	2135.7
346.00	2045.3
347.00	1946.7
348.00	1849.9
349.00	1753.4
350.00	1654.9
351.00	1557.8
352.00	1459.2
353.00	1368.7
354.00	1280.5
355.00	1194.7
356.00	1110.1
357.00	1023.8
358.00	950.44
359.00	873.12
360.00	816.29
361.00	756.24
362.00	690.28
363.00	632.98
364.00	579.47
365.00	524.45
366.00	488.75
367.00	442.70
368.00	421.16
369.00	378.00
370.00	335.49
371.00	317.12
372.00	296.52
373.00	268.41
374.00	255.76
375.00	239.65
376.00	213.50
377.00	188.27
378.00	173.14
379.00	177.81
380.00	159.98
381.00	150.13
382.00	148.02
383.00	142.03
384.00	134.65
385.00	126.19
386.00	118.96
387.00	118.20
388.00	106.71
389.00	100.16
390.00	96.745
391.00	87.665
392.00	87.596
393.00	89.442
394.00	79.176
395.00	75.538
396.00	80.568
397.00	78.680
398.00	75.029
399.00	75.525
400.00	70.371
401.00	66.692
402.00	62.903
403.00	63.399
404.00	64.225
405.00	54.139
406.00	59.292
407.00	63.702
408.00	56.688
409.00	61.800
410.00	46.794
411.00	53.918
412.00	51.975
413.00	48.241
414.00	49.343
415.00	47.828
416.00	48.503
417.00	49.206
418.00	37.107
419.00	39.215
420.00	44.686
421.00	45.085
422.00	44.879
423.00	40.276
424.00	35.123
425.00	39.670
426.00	31.995
427.00	38.664
428.00	43.721
429.00	36.087
430.00	40.924
431.00	32.725
432.00	30.231
433.00	35.522
434.00	38.513
435.00	28.894
436.00	34.764
437.00	34.461
438.00	30.713
439.00	30.713
440.00	36.018
441.00	37.631
442.00	35.536
443.00	31.857
444.00	32.257
445.00	27.447
446.00	29.211
447.00	26.138
448.00	21.412
449.00	30.066
450.00	31.154
451.00	35.426
452.00	27.406
453.00	30.892
454.00	27.461
455.00	26.538
456.00	35.371
457.00	33.194
458.00	28.343
459.00	28.729
460.00	25.174
461.00	24.829
462.00	31.554
463.00	30.148
464.00	28.219
465.00	23.010
466.00	26.304
467.00	24.113
468.00	29.321
469.00	31.774
470.00	31.168
471.00	27.365
472.00	20.502
473.00	23.961
474.00	21.908
475.00	27.640
476.00	23.823
477.00	19.841
478.00	29.845
479.00	27.434
480.00	25.229
481.00	29.569
482.00	25.243
483.00	23.134
484.00	19.455
485.00	25.105
486.00	28.591
487.00	14.508
488.00	10.319
489.00	24.071
490.00	22.942
491.00	21.756
492.00	22.721
493.00	13.447
494.00	17.374
495.00	12.111
496.00	22.004
497.00	24.058
498.00	19.758
499.00	18.008
500.00	12.262
