Wavelength (nm)	J14
280.00	8146.2
281.00	8008.0
282.00	7910.1
283.00	7840.2
284.00	7802.2
285.00	7793.5
286.00	7813.3
287.00	7846.8
288.00	7891.6
289.00	7956.8
290.00	8040.6
291.00	8133.1
292.00	8232.3
293.00	8349.0
294.00	8477.8
295.00	8619.8
296.00	8750.2
297.00	8898.2
298.00	9046.5
299.00	9196.1
300.00	9350.3
301.00	9503.6
302.00	9654.2
303.00	9817.6
304.00	9976.0
305.00	10123
306.00	10265
307.00	10424
308.00	10565
309.00	10700
310.00	10816
311.00	10906
312.00	11002
313.00	11102
314.00	11195
315.00	11303
316.00	11430
317.00	11566
318.00	11720
319.00	11900
320.00	12104
321.00	12343
322.00	12593
323.00	12878
324.00	13168
325.00	13463
326.00	13774
327.00	14094
328.00	14421
329.00	14752
330.00	15094
331.00	15416
332.00	15742
333.00	16064
334.00	16396
335.00	16713
336.00	17005
337.00	17299
338.00	17578
339.00	17827
340.00	18083
341.00	18324
342.00	18541
343.00	18736
344.00	18880
345.00	19025
346.00	19129
347.00	19224
348.00	19306
349.00	19360
350.00	19370
351.00	19365
352.00	19345
353.00	19308
354.00	19243
355.00	19183
356.00	19101
357.00	18976
358.00	18822
359.00	18663
360.00	18458
361.00	18226
362.00	17937
363.00	17614
364.00	17259
365.00	16888
366.00	16492
367.00	16097
368.00	15723
369.00	15352
370.00	14990
371.00	14650
372.00	14351
373.00	14065
374.00	13828
375.00	13605
376.00	13380
377.00	13203
378.00	13019
379.00	12878
380.00	12747
381.00	12635
382.00	12527
383.00	12409
384.00	12299
385.00	12229
386.00	12159
387.00	12088
388.00	12025
389.00	11966
390.00	11918
391.00	11862
392.00	11830
393.00	11806
394.00	11771
395.00	11760
396.00	11727
397.00	11697
398.00	11671
399.00	11665
400.00	11668
401.00	11667
402.00	11646
403.00	11626
404.00	11623
405.00	11622
406.00	11612
407.00	11638
408.00	11637
409.00	11665
410.00	11672
411.00	11678
412.00	11724
413.00	11754
414.00	11785
415.00	11813
416.00	11846
417.00	11873
418.00	11913
419.00	11950
420.00	11995
421.00	12024
422.00	12048
423.00	12088
424.00	12114
425.00	12172
426.00	12233
427.00	12299
428.00	12356
429.00	12394
430.00	12475
431.00	12550
432.00	12630
433.00	12736
434.00	12838
435.00	12932
436.00	13027
437.00	13123
438.00	13232
439.00	13334
