Wavelength (nm)	FL012 [4] 5023-02-9, Flavan-3,4-diol [D]
220.00	10234
221.00	9463.0
222.00	8746.4
223.00	8029.9
224.00	7341.8
225.00	6814.8
226.00	6287.8
227.00	5777.9
228.00	5304.7
229.00	4831.5
230.00	4332.5
231.00	3791.5
232.00	3250.5
233.00	2760.1
234.00	2277.2
235.00	1853.5
236.00	1457.5
237.00	1091.5
238.00	745.48
239.00	472.52
240.00	246.69
241.00	102.44
242.00	82.380
243.00	86.277
244.00	104.89
245.00	123.50
246.00	142.46
247.00	172.62
248.00	202.77
249.00	232.93
250.00	263.09
251.00	299.53
252.00	336.16
253.00	372.79
254.00	409.57
255.00	453.43
256.00	497.29
257.00	541.16
258.00	585.02
259.00	638.77
260.00	692.93
261.00	747.09
262.00	801.25
263.00	866.97
264.00	934.72
265.00	1002.5
266.00	1070.2
267.00	1140.0
268.00	1215.9
269.00	1291.8
270.00	1367.7
271.00	1445.1
272.00	1523.0
273.00	1600.3
274.00	1674.1
275.00	1742.3
276.00	1800.0
277.00	1767.2
278.00	1711.5
279.00	1608.3
280.00	1532.9
281.00	1624.1
282.00	1702.8
283.00	1698.5
284.00	1488.0
285.00	1252.2
286.00	997.20
287.00	784.57
288.00	590.62
289.00	408.48
290.00	258.15
291.00	157.58
292.00	88.488
293.00	38.954
294.00	25.463
295.00	16.827
296.00	12.496
297.00	8.1652
298.00	7.9920
299.00	7.9920
300.00	7.9920
