Wavelength (nm)	Q15 abs e
300.00	1661.0
300.25	2627.4
300.50	1279.6
300.75	2703.0
301.00	1580.9
301.25	567.39
301.50	1578.7
301.75	1473.0
302.00	1093.5
302.25	1231.4
302.50	1955.4
302.75	1491.6
303.00	1912.5
303.25	374.09
303.50	1148.8
303.75	533.39
304.00	1033.0
304.25	606.53
304.50	1802.5
304.75	977.61
305.00	1912.1
305.25	990.84
305.50	220.13
305.75	1243.1
306.00	447.73
306.25	915.20
306.50	1178.3
306.75	1692.5
307.00	2185.1
307.25	720.53
307.50	392.87
307.75	1723.7
308.00	772.41
308.25	433.05
308.50	293.84
308.75	1042.3
309.00	723.35
309.25	74.899
309.50	1217.1
309.75	832.55
310.00	1705.6
310.25	505.20
310.50	17.329
310.75	416.56
311.00	273.38
311.25	187.01
311.50	811.57
311.75	275.43
312.00	1051.6
312.25	278.76
312.50	218.20
312.75	457.04
313.00	519.85
313.25	828.33
313.50	750.27
313.75	1202.1
314.00	197.05
314.25	946.39
314.50	896.70
314.75	154.33
315.00	267.75
315.25	392.86
315.50	1293.8
315.75	455.13
316.00	182.29
316.25	173.75
316.50	652.32
316.75	1237.0
317.00	776.39
317.25	1872.8
317.50	755.34
317.75	313.50
318.00	457.11
318.25	332.56
318.50	1293.9
318.75	1597.6
319.00	524.09
319.25	1151.6
319.50	756.82
319.75	1527.7
320.00	1703.5
320.25	1274.1
320.50	1294.1
320.75	698.83
321.00	270.40
321.25	2373.8
321.50	770.93
321.75	1473.9
322.00	1122.4
322.25	1027.8
322.50	508.13
322.75	1274.0
323.00	2440.7
323.25	77.525
323.50	1973.6
323.75	1290.6
324.00	1518.1
324.25	2678.4
324.50	2662.0
324.75	1681.7
325.00	1625.1
325.25	2409.2
325.50	1553.0
325.75	1971.2
326.00	3062.9
326.25	2822.3
326.50	2772.2
326.75	2572.0
327.00	2541.2
327.25	3013.2
327.50	1516.1
327.75	1935.0
328.00	3719.7
328.25	2707.8
328.50	3778.0
328.75	3552.1
329.00	3890.5
329.25	2497.3
329.50	3257.8
329.75	2028.1
330.00	2596.4
330.25	1855.5
330.50	4225.7
330.75	3534.3
331.00	3381.1
331.25	3277.2
331.50	4945.3
331.75	4179.0
332.00	3418.0
332.25	3872.4
332.50	3589.2
332.75	5556.0
333.00	4803.1
333.25	4525.5
333.50	5245.3
333.75	5189.2
334.00	4138.3
334.25	5318.4
334.50	3650.0
334.75	5382.2
335.00	3816.6
335.25	5342.8
335.50	7089.8
335.75	7023.5
336.00	6021.6
336.25	5956.6
336.50	5733.9
336.75	5985.3
337.00	7626.9
337.25	7616.6
337.50	7105.9
337.75	6100.7
338.00	6718.0
338.25	7002.8
338.50	5816.0
338.75	7411.3
339.00	8500.6
339.25	8530.9
339.50	7110.6
339.75	7460.4
340.00	8455.3
340.25	9468.9
340.50	8031.3
340.75	9539.1
341.00	9571.0
341.25	9612.9
341.50	9374.4
341.75	9597.3
342.00	10767
342.25	9679.5
342.50	9790.9
342.75	9914.7
343.00	9868.0
343.25	10989
343.50	10951
343.75	11891
344.00	11774
344.25	12670
344.50	11623
344.75	10855
345.00	12096
345.25	11931
345.50	13406
345.75	11997
346.00	13953
346.25	13186
346.50	12700
346.75	13187
347.00	12597
347.25	13619
347.50	13131
347.75	13748
348.00	13877
348.25	13758
348.50	14279
348.75	14489
349.00	14851
349.25	15217
349.50	14520
