Wavelength (nm)	ZUDPXB
210.00	0.61098
211.00	0.65691
212.00	0.70284
213.00	0.73117
214.00	0.75951
215.00	0.77284
216.00	0.78616
217.00	0.78425
218.00	0.78233
219.00	0.76775
220.00	0.75316
221.00	0.72900
222.00	0.70484
223.00	0.67494
224.00	0.64503
225.00	0.61659
226.00	0.58815
227.00	0.56463
228.00	0.54110
229.00	0.52376
230.00	0.50642
231.00	0.49632
232.00	0.48622
233.00	0.48210
234.00	0.47798
235.00	0.47978
236.00	0.48157
237.00	0.48802
238.00	0.49447
239.00	0.50322
240.00	0.51196
241.00	0.52082
242.00	0.52968
243.00	0.53590
244.00	0.54212
245.00	0.54489
246.00	0.54766
247.00	0.54528
248.00	0.54289
249.00	0.53439
250.00	0.52589
251.00	0.51196
252.00	0.49803
253.00	0.48128
254.00	0.46452
255.00	0.44839
256.00	0.43227
257.00	0.41947
258.00	0.40666
259.00	0.39815
260.00	0.38963
261.00	0.38496
262.00	0.38028
263.00	0.37898
264.00	0.37768
265.00	0.37845
266.00	0.37921
267.00	0.38100
268.00	0.38279
269.00	0.38500
270.00	0.38720
271.00	0.38941
272.00	0.39162
273.00	0.39349
274.00	0.39537
275.00	0.39703
276.00	0.39869
277.00	0.40038
278.00	0.40207
279.00	0.40399
280.00	0.40591
281.00	0.40840
282.00	0.41088
283.00	0.41417
284.00	0.41746
285.00	0.42218
286.00	0.42690
287.00	0.43335
288.00	0.43981
289.00	0.44790
290.00	0.45600
291.00	0.46583
292.00	0.47565
293.00	0.48746
294.00	0.49927
295.00	0.51243
296.00	0.52559
297.00	0.53944
298.00	0.55329
299.00	0.56828
300.00	0.58326
301.00	0.59747
302.00	0.61168
303.00	0.62565
304.00	0.63962
305.00	0.65222
306.00	0.66481
307.00	0.67529
308.00	0.68577
309.00	0.69357
310.00	0.70137
311.00	0.70527
312.00	0.70916
313.00	0.70888
314.00	0.70860
315.00	0.70378
316.00	0.69897
317.00	0.68965
318.00	0.68033
319.00	0.66661
320.00	0.65289
321.00	0.63447
322.00	0.61606
323.00	0.59466
324.00	0.57327
325.00	0.54842
326.00	0.52357
327.00	0.49643
328.00	0.46930
329.00	0.44147
330.00	0.41365
331.00	0.38533
332.00	0.35702
333.00	0.33002
334.00	0.30303
335.00	0.27871
336.00	0.25439
337.00	0.23355
338.00	0.21272
339.00	0.19590
340.00	0.17908
341.00	0.16641
342.00	0.15375
343.00	0.14466
344.00	0.13558
345.00	0.12990
346.00	0.12421
347.00	0.12125
348.00	0.11829
349.00	0.11780
350.00	0.11731
351.00	0.11860
352.00	0.11988
353.00	0.12232
354.00	0.12476
355.00	0.12873
356.00	0.13270
357.00	0.13787
358.00	0.14303
359.00	0.14901
360.00	0.15498
361.00	0.16164
362.00	0.16829
363.00	0.17613
364.00	0.18396
365.00	0.19328
366.00	0.20260
367.00	0.21215
368.00	0.22169
369.00	0.23204
370.00	0.24239
371.00	0.25386
372.00	0.26533
373.00	0.27747
374.00	0.28962
375.00	0.30245
376.00	0.31528
377.00	0.32880
378.00	0.34231
379.00	0.35630
380.00	0.37029
381.00	0.38497
382.00	0.39965
383.00	0.41509
384.00	0.43052
385.00	0.44727
386.00	0.46401
387.00	0.48058
388.00	0.49715
389.00	0.51397
390.00	0.53078
391.00	0.54908
392.00	0.56737
393.00	0.58475
394.00	0.60214
395.00	0.62042
396.00	0.63871
397.00	0.65707
398.00	0.67544
399.00	0.69233
400.00	0.70922
401.00	0.72678
402.00	0.74434
403.00	0.76262
404.00	0.78090
405.00	0.79657
406.00	0.81224
407.00	0.82773
408.00	0.84323
409.00	0.85785
410.00	0.87247
411.00	0.88643
412.00	0.90038
413.00	0.91236
414.00	0.92434
415.00	0.93483
416.00	0.94532
417.00	0.95430
418.00	0.96328
419.00	0.97149
420.00	0.97969
421.00	0.98537
422.00	0.99106
423.00	0.99446
424.00	0.99786
425.00	0.99893
426.00	1.0000
427.00	0.99863
428.00	0.99726
429.00	0.99365
430.00	0.99005
431.00	0.98374
432.00	0.97743
433.00	0.96809
434.00	0.95875
435.00	0.94624
436.00	0.93374
437.00	0.91901
438.00	0.90428
439.00	0.88531
440.00	0.86635
441.00	0.84686
442.00	0.82738
443.00	0.80581
444.00	0.78424
445.00	0.76147
446.00	0.73871
447.00	0.71344
448.00	0.68816
449.00	0.66215
450.00	0.63613
451.00	0.61038
452.00	0.58463
453.00	0.55747
454.00	0.53032
455.00	0.50386
456.00	0.47739
457.00	0.45129
458.00	0.42520
459.00	0.40228
460.00	0.37936
461.00	0.35645
462.00	0.33355
463.00	0.31081
464.00	0.28807
465.00	0.26928
466.00	0.25049
467.00	0.23405
468.00	0.21760
469.00	0.20181
470.00	0.18601
471.00	0.17015
472.00	0.15428
473.00	0.14108
474.00	0.12787
475.00	0.11711
476.00	0.10635
477.00	0.097151
478.00	0.087948
479.00	0.079740
480.00	0.071533
481.00	0.064677
482.00	0.057821
483.00	0.049399
484.00	0.040978
