Wavelength (nm)	Zn(II) UroP I (in DMSO).abs
300.00	0.019215
301.00	0.020115
302.00	0.021015
303.00	0.022065
304.00	0.023116
305.00	0.024565
306.00	0.025878
307.00	0.027371
308.00	0.028618
309.00	0.030051
310.00	0.031660
311.00	0.033512
312.00	0.035240
313.00	0.036845
314.00	0.038581
315.00	0.040146
316.00	0.041745
317.00	0.043417
318.00	0.044991
319.00	0.046451
320.00	0.047865
321.00	0.049281
322.00	0.050505
323.00	0.051868
324.00	0.053255
325.00	0.054397
326.00	0.055711
327.00	0.056570
328.00	0.057590
329.00	0.058188
330.00	0.058599
331.00	0.058864
332.00	0.058854
333.00	0.058524
334.00	0.058155
335.00	0.057634
336.00	0.056826
337.00	0.055989
338.00	0.055093
339.00	0.054133
340.00	0.053156
341.00	0.052186
342.00	0.051205
343.00	0.050286
344.00	0.049510
345.00	0.048793
346.00	0.048150
347.00	0.047554
348.00	0.047070
349.00	0.046777
350.00	0.046524
351.00	0.046330
352.00	0.046100
353.00	0.045954
354.00	0.045956
355.00	0.045783
356.00	0.045746
357.00	0.045673
358.00	0.045477
359.00	0.045349
360.00	0.045154
361.00	0.045040
362.00	0.044866
363.00	0.044494
364.00	0.044115
365.00	0.043827
366.00	0.043625
367.00	0.043680
368.00	0.043835
369.00	0.044125
370.00	0.044326
371.00	0.044508
372.00	0.044529
373.00	0.044856
374.00	0.045082
375.00	0.045381
376.00	0.045708
377.00	0.046254
378.00	0.047025
379.00	0.048065
380.00	0.049442
381.00	0.051466
382.00	0.053919
383.00	0.056760
384.00	0.060331
385.00	0.065014
386.00	0.070474
387.00	0.077214
388.00	0.085076
389.00	0.093519
390.00	0.10293
391.00	0.11207
392.00	0.11991
393.00	0.12530
394.00	0.12754
395.00	0.12749
396.00	0.12643
397.00	0.12664
398.00	0.12959
399.00	0.13656
400.00	0.14815
401.00	0.16498
402.00	0.18690
403.00	0.21259
404.00	0.24204
405.00	0.27549
406.00	0.31228
407.00	0.35735
408.00	0.41442
409.00	0.48399
410.00	0.56655
411.00	0.66730
412.00	0.78110
413.00	0.89308
414.00	0.97311
415.00	1.0000
416.00	0.95306
417.00	0.83589
418.00	0.67513
419.00	0.51414
420.00	0.37140
421.00	0.26098
422.00	0.18244
423.00	0.12825
424.00	0.090978
425.00	0.065560
426.00	0.048782
427.00	0.037313
428.00	0.030171
429.00	0.025152
430.00	0.021478
431.00	0.019039
432.00	0.017309
433.00	0.015742
434.00	0.014363
435.00	0.013585
436.00	0.012813
437.00	0.012037
438.00	0.011401
439.00	0.010778
440.00	0.010307
441.00	0.0098469
442.00	0.0094978
443.00	0.0091186
444.00	0.0086291
445.00	0.0083049
446.00	0.0082036
447.00	0.0078929
448.00	0.0078625
449.00	0.0076017
450.00	0.0074795
451.00	0.0073196
452.00	0.0072557
453.00	0.0072158
454.00	0.0072439
455.00	0.0070988
456.00	0.0070097
457.00	0.0068324
458.00	0.0068124
459.00	0.0068349
460.00	0.0068789
461.00	0.0067302
462.00	0.0065820
463.00	0.0065625
464.00	0.0065225
465.00	0.0065525
466.00	0.0064846
467.00	0.0064873
468.00	0.0064116
469.00	0.0063052
470.00	0.0063047
471.00	0.0062239
472.00	0.0063529
473.00	0.0063300
474.00	0.0062608
475.00	0.0062199
476.00	0.0061157
477.00	0.0060000
478.00	0.0060739
479.00	0.0060709
480.00	0.0059309
481.00	0.0059366
482.00	0.0059213
483.00	0.0058197
484.00	0.0059284
485.00	0.0060127
486.00	0.0059635
487.00	0.0059461
488.00	0.0061973
489.00	0.0063460
490.00	0.0062217
491.00	0.0064160
492.00	0.0065042
493.00	0.0062834
494.00	0.0065724
495.00	0.0067146
496.00	0.0069588
497.00	0.0070479
498.00	0.0070944
499.00	0.0071210
500.00	0.0072005
501.00	0.0073244
502.00	0.0074017
503.00	0.0073839
504.00	0.0073252
505.00	0.0072665
506.00	0.0073566
507.00	0.0072257
508.00	0.0071714
509.00	0.0071505
510.00	0.0070636
511.00	0.0068945
512.00	0.0068068
513.00	0.0068267
514.00	0.0069936
515.00	0.0070244
516.00	0.0071588
517.00	0.0073861
518.00	0.0078064
519.00	0.0082384
520.00	0.0088090
521.00	0.0093492
522.00	0.010322
523.00	0.011320
524.00	0.012294
525.00	0.013617
526.00	0.015131
527.00	0.016702
528.00	0.018564
529.00	0.020532
530.00	0.022617
531.00	0.025042
532.00	0.027497
533.00	0.029842
534.00	0.032209
535.00	0.034517
536.00	0.036744
537.00	0.039099
538.00	0.041271
539.00	0.043229
540.00	0.044862
541.00	0.046003
542.00	0.046612
543.00	0.046721
544.00	0.046056
545.00	0.044392
546.00	0.041927
547.00	0.038787
548.00	0.035576
549.00	0.032497
550.00	0.029601
551.00	0.027214
552.00	0.025237
553.00	0.023448
554.00	0.021881
555.00	0.020328
556.00	0.018826
557.00	0.017293
558.00	0.015924
559.00	0.014620
560.00	0.013376
561.00	0.012497
562.00	0.011853
563.00	0.011501
564.00	0.011473
565.00	0.011718
566.00	0.012225
567.00	0.013080
568.00	0.014217
569.00	0.015663
570.00	0.017575
571.00	0.019768
572.00	0.022309
573.00	0.024958
574.00	0.027711
575.00	0.030204
576.00	0.032363
577.00	0.033821
578.00	0.034341
579.00	0.033785
580.00	0.032218
581.00	0.029545
582.00	0.026390
583.00	0.022811
584.00	0.018830
585.00	0.015428
586.00	0.012595
587.00	0.010180
588.00	0.0083479
589.00	0.0069688
590.00	0.0058648
591.00	0.0050864
592.00	0.0046040
593.00	0.0042954
594.00	0.0040224
595.00	0.0038247
596.00	0.0036699
597.00	0.0036935
598.00	0.0035635
599.00	0.0035509
600.00	0.0034327
601.00	0.0034413
602.00	0.0032605
603.00	0.0032019
604.00	0.0031058
605.00	0.0029094
606.00	0.0027372
607.00	0.0026051
608.00	0.0024882
609.00	0.0023778
610.00	0.0022621
611.00	0.0021457
612.00	0.0020123
613.00	0.0018836
614.00	0.0017875
615.00	0.0017267
616.00	0.0016294
617.00	0.0015855
618.00	0.0014577
619.00	0.0013725
620.00	0.0013351
621.00	0.0013251
622.00	0.0012391
623.00	0.0013073
624.00	0.0013699
625.00	0.0012777
626.00	0.0012634
627.00	0.0013186
628.00	0.0012747
629.00	0.0012408
630.00	0.0011760
631.00	0.0011717
632.00	0.0010604
633.00	0.0011087
634.00	0.0011548
635.00	0.0011608
636.00	0.0010482
637.00	0.00095825
638.00	0.0010161
639.00	0.00095789
640.00	0.00079616
641.00	0.00085093
642.00	0.00080486
643.00	0.00072532
644.00	0.00072920
645.00	0.00084267
