Wavelength (nm)	N-5, 17372-87-1, Eosin Y.ems
599.50	6.6779e+06
600.00	6.5925e+06
600.50	6.4376e+06
601.00	6.3659e+06
601.50	6.2469e+06
602.00	6.1581e+06
602.50	5.9960e+06
603.00	5.9359e+06
603.50	5.8047e+06
604.00	5.7309e+06
604.50	5.5825e+06
605.00	5.5214e+06
605.50	5.4132e+06
606.00	5.3483e+06
606.50	5.2018e+06
607.00	5.1481e+06
607.50	5.0280e+06
608.00	4.9670e+06
608.50	4.8396e+06
609.00	4.7761e+06
609.50	4.6652e+06
610.00	4.6034e+06
610.50	4.4745e+06
611.00	4.4279e+06
611.50	4.3207e+06
612.00	4.2569e+06
612.50	4.1393e+06
613.00	4.0961e+06
613.50	3.9935e+06
614.00	3.9407e+06
614.50	3.8298e+06
615.00	3.7903e+06
615.50	3.6960e+06
616.00	3.6529e+06
616.50	3.5517e+06
617.00	3.5173e+06
617.50	3.4283e+06
618.00	3.3797e+06
618.50	3.2878e+06
619.00	3.2565e+06
619.50	3.1691e+06
620.00	3.1337e+06
620.50	3.0610e+06
621.00	3.0285e+06
621.50	2.9556e+06
622.00	2.9335e+06
622.50	2.8661e+06
623.00	2.8291e+06
623.50	2.7666e+06
624.00	2.7283e+06
624.50	2.6569e+06
625.00	2.6286e+06
625.50	2.5656e+06
626.00	2.5291e+06
626.50	2.4635e+06
627.00	2.4348e+06
627.50	2.3836e+06
628.00	2.3489e+06
628.50	2.2902e+06
629.00	2.2741e+06
629.50	2.2322e+06
630.00	2.2037e+06
630.50	2.1509e+06
631.00	2.1339e+06
631.50	2.0897e+06
632.00	2.0726e+06
632.50	2.0231e+06
633.00	2.0155e+06
633.50	1.9803e+06
634.00	1.9586e+06
634.50	1.9281e+06
635.00	1.9115e+06
635.50	1.8717e+06
636.00	1.8552e+06
636.50	1.8126e+06
637.00	1.8002e+06
637.50	1.7642e+06
638.00	1.7512e+06
638.50	1.7140e+06
639.00	1.6967e+06
639.50	1.6731e+06
640.00	1.6565e+06
640.50	1.6268e+06
641.00	1.6102e+06
641.50	1.5871e+06
642.00	1.5702e+06
642.50	1.5453e+06
643.00	1.5326e+06
643.50	1.5045e+06
644.00	1.4908e+06
644.50	1.4633e+06
645.00	1.4489e+06
645.50	1.4257e+06
646.00	1.4180e+06
646.50	1.3883e+06
647.00	1.3754e+06
647.50	1.3539e+06
648.00	1.3418e+06
648.50	1.3106e+06
649.00	1.2996e+06
649.50	1.2744e+06
650.00	1.2595e+06
650.50	1.2336e+06
651.00	1.2226e+06
651.50	1.2032e+06
652.00	1.1861e+06
652.50	1.1595e+06
653.00	1.1527e+06
653.50	1.1269e+06
654.00	1.1228e+06
654.50	1.0970e+06
655.00	1.0877e+06
655.50	1.0624e+06
656.00	1.0532e+06
656.50	1.0264e+06
657.00	1.0186e+06
657.50	9.9962e+05
658.00	9.8663e+05
658.50	9.6337e+05
659.00	9.5391e+05
659.50	9.3806e+05
660.00	9.2562e+05
660.50	9.0567e+05
661.00	8.9791e+05
661.50	8.7220e+05
662.00	8.6531e+05
662.50	8.4411e+05
663.00	8.3328e+05
663.50	8.2028e+05
664.00	8.0847e+05
664.50	7.8818e+05
665.00	7.8116e+05
665.50	7.6068e+05
666.00	7.5654e+05
666.50	7.4267e+05
667.00	7.3510e+05
667.50	7.1381e+05
668.00	7.0831e+05
668.50	6.8913e+05
669.00	6.8776e+05
669.50	6.7124e+05
670.00	6.6407e+05
670.50	6.4649e+05
671.00	6.3743e+05
671.50	6.2645e+05
672.00	6.1886e+05
672.50	6.0270e+05
673.00	5.9463e+05
673.50	5.7969e+05
674.00	5.7566e+05
674.50	5.5999e+05
675.00	5.5348e+05
675.50	5.4039e+05
676.00	5.3603e+05
676.50	5.1730e+05
677.00	5.1760e+05
677.50	4.9888e+05
678.00	4.9705e+05
678.50	4.8426e+05
679.00	4.7814e+05
679.50	4.6807e+05
680.00	4.6367e+05
680.50	4.5290e+05
681.00	4.5059e+05
681.50	4.3706e+05
682.00	4.3180e+05
682.50	4.2454e+05
683.00	4.1843e+05
683.50	4.0651e+05
684.00	4.0564e+05
684.50	3.9542e+05
685.00	3.9292e+05
685.50	3.8058e+05
686.00	3.7800e+05
686.50	3.6933e+05
687.00	3.6641e+05
687.50	3.5915e+05
688.00	3.5585e+05
688.50	3.4609e+05
689.00	3.4712e+05
689.50	3.3602e+05
690.00	3.3600e+05
690.50	3.2816e+05
691.00	3.2286e+05
691.50	3.1669e+05
692.00	3.1735e+05
692.50	3.1234e+05
693.00	3.0925e+05
693.50	3.0123e+05
694.00	3.0231e+05
694.50	2.9003e+05
695.00	2.9210e+05
695.50	2.8315e+05
696.00	2.8277e+05
696.50	2.7651e+05
697.00	2.7533e+05
697.50	2.7234e+05
698.00	2.6499e+05
698.50	2.6110e+05
699.00	2.5864e+05
699.50	2.5381e+05
700.00	2.5501e+05
700.50	2.4824e+05
701.00	2.4459e+05
701.50	2.4007e+05
702.00	2.4064e+05
702.50	2.3614e+05
703.00	2.3567e+05
703.50	2.2866e+05
704.00	2.2879e+05
704.50	2.2337e+05
705.00	2.2456e+05
705.50	2.1795e+05
706.00	2.1716e+05
706.50	2.1567e+05
707.00	2.1475e+05
707.50	2.0814e+05
708.00	2.0886e+05
708.50	2.0237e+05
709.00	2.0222e+05
709.50	2.0182e+05
710.00	1.9808e+05
710.50	1.9418e+05
711.00	1.9441e+05
711.50	1.8995e+05
712.00	1.8931e+05
712.50	1.8806e+05
713.00	1.8350e+05
713.50	1.8326e+05
714.00	1.8066e+05
714.50	1.7819e+05
715.00	1.8034e+05
715.50	1.7465e+05
716.00	1.7493e+05
716.50	1.7220e+05
