Wavelength (nm)	B07 abs e
201.00	26433
202.00	30808
203.00	34003
204.00	36067
205.00	38120
206.00	39176
207.00	40595
208.00	41427
209.00	41826
210.00	41643
211.00	40464
212.00	38488
213.00	35690
214.00	32453
215.00	29138
216.00	25917
217.00	22996
218.00	20411
219.00	18223
220.00	16354
221.00	14817
222.00	13507
223.00	12399
224.00	11412
225.00	10540
226.00	9720.1
227.00	8961.5
228.00	8246.6
229.00	7595.8
230.00	6983.2
231.00	6429.9
232.00	5941.6
233.00	5514.3
234.00	5151.8
235.00	4841.8
236.00	4591.9
237.00	4394.1
238.00	4232.5
239.00	4113.0
240.00	4029.0
241.00	3978.3
242.00	3964.3
243.00	3984.2
244.00	4039.1
245.00	4124.7
246.00	4249.8
247.00	4410.2
248.00	4605.3
249.00	4839.6
250.00	5113.9
251.00	5428.2
252.00	5777.3
253.00	6168.5
254.00	6599.3
255.00	7067.6
256.00	7571.8
257.00	8103.8
258.00	8671.8
259.00	9270.1
260.00	9886.0
261.00	10533
262.00	11186
263.00	11881
264.00	12570
265.00	13261
266.00	13953
267.00	14644
268.00	15321
269.00	16008
270.00	16663
271.00	17284
272.00	17867
273.00	18428
274.00	18995
275.00	19508
276.00	19953
277.00	20380
278.00	20740
279.00	21048
280.00	21289
281.00	21479
282.00	21630
283.00	21711
284.00	21763
285.00	21800
286.00	21739
287.00	21659
288.00	21562
289.00	21439
290.00	21265
291.00	21076
292.00	20879
293.00	20586
294.00	20319
295.00	19999
296.00	19654
297.00	19264
298.00	18829
299.00	18383
300.00	17885
301.00	17365
302.00	16807
303.00	16215
304.00	15608
305.00	14954
306.00	14288
307.00	13602
308.00	12919
309.00	12229
310.00	11520
311.00	10815
312.00	10133
313.00	9449.4
314.00	8780.4
315.00	8136.4
316.00	7508.7
317.00	6904.9
318.00	6332.4
319.00	5786.1
320.00	5276.0
321.00	4784.2
322.00	4338.2
323.00	3914.7
324.00	3527.9
325.00	3170.7
326.00	2839.7
327.00	2536.9
328.00	2269.1
329.00	2028.8
330.00	1796.6
331.00	1590.2
332.00	1409.0
333.00	1249.0
334.00	1104.9
335.00	978.60
336.00	867.13
337.00	762.44
338.00	670.19
339.00	596.00
340.00	525.83
341.00	460.87
342.00	411.77
343.00	365.17
344.00	323.82
345.00	291.65
346.00	259.36
347.00	227.07
348.00	207.46
349.00	190.65
350.00	174.88
351.00	163.28
352.00	151.19
353.00	140.21
354.00	130.52
355.00	126.01
356.00	115.65
357.00	105.07
358.00	103.38
359.00	103.65
360.00	104.13
361.00	99.139
362.00	96.655
363.00	96.077
364.00	89.720
365.00	83.793
366.00	77.583
367.00	81.998
368.00	75.886
369.00	78.001
370.00	75.481
371.00	78.333
372.00	75.345
373.00	68.398
374.00	69.222
375.00	70.538
376.00	68.927
377.00	59.262
378.00	65.484
379.00	67.734
380.00	62.717
381.00	58.254
382.00	67.181
383.00	67.931
384.00	57.381
385.00	51.687
386.00	53.360
387.00	56.643
388.00	56.741
389.00	53.077
390.00	58.942
391.00	51.737
392.00	55.598
393.00	42.293
394.00	45.674
395.00	51.269
396.00	49.708
397.00	39.662
398.00	40.547
399.00	46.830
400.00	42.047
