Wavelength (nm)	A26 abs e
210.00	4747.0
211.00	4753.4
212.00	4800.1
213.00	4911.8
214.00	5046.6
215.00	5244.2
216.00	5496.3
217.00	5808.1
218.00	6168.8
219.00	6565.0
220.00	6966.0
221.00	7384.2
222.00	7826.2
223.00	8195.5
224.00	8482.9
225.00	8778.0
226.00	9204.2
227.00	9520.0
228.00	9338.2
229.00	8925.9
230.00	8941.6
231.00	9240.9
232.00	9107.5
233.00	8522.7
234.00	8488.9
235.00	9639.5
236.00	10621
237.00	9245.6
238.00	6122.1
239.00	3448.5
240.00	1811.5
241.00	972.44
242.00	567.05
243.00	360.09
244.00	253.71
245.00	200.92
246.00	174.51
247.00	163.55
248.00	161.52
249.00	163.42
250.00	169.48
251.00	177.87
252.00	189.71
253.00	204.27
254.00	220.65
255.00	236.95
256.00	252.77
257.00	266.70
258.00	284.76
259.00	311.67
260.00	339.62
261.00	367.41
262.00	386.58
263.00	396.30
264.00	409.87
265.00	437.16
266.00	471.98
267.00	507.02
268.00	523.90
269.00	509.93
270.00	496.05
271.00	502.48
272.00	527.66
273.00	550.16
274.00	543.08
275.00	502.06
276.00	431.88
277.00	375.73
278.00	361.59
279.00	379.72
280.00	392.85
281.00	343.34
282.00	248.68
283.00	159.18
284.00	98.138
285.00	63.064
286.00	41.724
287.00	30.884
288.00	25.030
289.00	18.860
290.00	17.554
291.00	16.646
292.00	12.927
293.00	13.422
294.00	13.036
295.00	12.921
296.00	12.089
297.00	11.385
298.00	11.873
299.00	11.733
300.00	11.811
