Wavelength (nm)	FL126 [12] 482-35-9, Isoquercetin [D]
239.00	14426
240.00	14572
241.00	14719
242.00	14878
243.00	15152
244.00	15426
245.00	15810
246.00	16275
247.00	16814
248.00	17506
249.00	18197
250.00	19218
251.00	20317
252.00	21558
253.00	22862
254.00	24180
255.00	25507
256.00	26403
257.00	27075
258.00	27347
259.00	27500
260.00	27369
261.00	27107
262.00	26384
263.00	25389
264.00	24518
265.00	23776
266.00	23396
267.00	23016
268.00	22503
269.00	21952
270.00	21402
271.00	20514
272.00	19571
273.00	17698
274.00	15480
275.00	12457
276.00	10029
277.00	9189.4
278.00	8950.8
279.00	8712.3
280.00	8597.4
281.00	8504.2
282.00	8411.1
283.00	8442.3
284.00	8504.6
285.00	8615.5
286.00	8767.9
287.00	8920.2
288.00	9088.9
289.00	9262.9
290.00	9436.8
291.00	9555.2
292.00	9650.9
293.00	9746.6
294.00	9842.3
295.00	9911.2
296.00	9970.2
297.00	10029
298.00	10088
299.00	10121
300.00	10151
301.00	10181
302.00	10210
303.00	10240
304.00	10270
305.00	10288
306.00	10299
307.00	10311
308.00	10323
309.00	10335
310.00	10346
311.00	10359
312.00	10391
313.00	10423
314.00	10455
315.00	10487
316.00	10519
317.00	10573
318.00	10642
319.00	10711
320.00	10780
321.00	10889
322.00	11025
323.00	11161
324.00	11311
325.00	11529
326.00	11748
327.00	11966
328.00	12201
329.00	12507
330.00	12813
331.00	13119
332.00	13425
333.00	13730
334.00	14029
335.00	14328
336.00	14627
337.00	14926
338.00	15226
339.00	15537
340.00	15848
341.00	16158
342.00	16469
343.00	16780
344.00	17088
345.00	17380
346.00	17672
347.00	17964
348.00	18256
349.00	18548
350.00	18824
351.00	19063
352.00	19302
353.00	19541
354.00	19780
355.00	19995
356.00	20189
357.00	20384
358.00	20578
359.00	20754
360.00	20906
361.00	21057
362.00	21144
363.00	21195
364.00	21246
365.00	21298
366.00	21231
367.00	21164
368.00	21079
369.00	20921
370.00	20764
371.00	20575
372.00	20332
373.00	20089
374.00	19846
375.00	19574
376.00	19229
377.00	18884
378.00	18539
379.00	18160
380.00	17637
381.00	17113
382.00	16590
383.00	15944
384.00	15298
385.00	14639
386.00	13954
387.00	13268
388.00	12583
389.00	11922
390.00	11321
391.00	10719
392.00	10118
393.00	9508.8
394.00	8899.8
395.00	8398.0
396.00	7937.9
397.00	7477.8
