Wavelength (nm)	A06 abs1 e
235.00	42.763
236.00	32.487
237.00	27.913
238.00	26.399
239.00	26.860
240.00	28.533
241.00	30.916
242.00	34.037
243.00	37.438
244.00	41.311
245.00	45.998
246.00	51.470
247.00	57.343
248.00	63.366
249.00	69.154
250.00	75.812
251.00	81.181
252.00	87.895
253.00	94.835
254.00	103.61
255.00	115.02
256.00	125.06
257.00	128.07
258.00	136.80
259.00	145.02
260.00	142.57
261.00	149.30
262.00	160.06
263.00	163.60
264.00	169.57
265.00	190.00
266.00	187.30
267.00	173.98
268.00	169.79
269.00	150.44
270.00	127.28
271.00	135.41
272.00	165.01
273.00	154.23
274.00	119.70
275.00	95.701
276.00	74.964
277.00	52.549
278.00	35.172
279.00	26.117
280.00	19.399
281.00	12.480
282.00	7.5070
283.00	4.6960
284.00	3.1816
285.00	2.3014
286.00	1.7498
287.00	1.4130
288.00	1.2114
289.00	1.0721
290.00	0.96581
291.00	0.84129
292.00	0.81171
293.00	0.71066
294.00	0.70751
295.00	0.61658
296.00	0.59864
297.00	0.53166
298.00	0.52260
299.00	0.49760
300.00	0.45905
