Wavelength (nm)	FL162 [13] 1621-56-3, 7-Methoxyisoflavone [D]
220.00	17738
221.00	18346
222.00	18959
223.00	19591
224.00	20227
225.00	21018
226.00	21810
227.00	22555
228.00	23091
229.00	23515
230.00	23884
231.00	24220
232.00	24486
233.00	24688
234.00	24890
235.00	25068
236.00	25235
237.00	25401
238.00	25568
239.00	25727
240.00	25883
241.00	26039
242.00	26195
243.00	26344
244.00	26493
245.00	26642
246.00	26791
247.00	26940
248.00	27035
249.00	27118
250.00	27200
251.00	27120
252.00	27040
253.00	26902
254.00	26527
255.00	26113
256.00	25539
257.00	24965
258.00	24211
259.00	23278
260.00	22281
261.00	21140
262.00	20000
263.00	18837
264.00	17461
265.00	16085
266.00	14704
267.00	13355
268.00	12428
269.00	11524
270.00	10770
271.00	10149
272.00	9765.4
273.00	9422.6
274.00	9280.3
275.00	9137.9
276.00	9025.7
277.00	8960.5
278.00	8895.3
279.00	8888.9
280.00	8920.1
281.00	8951.3
282.00	8982.4
283.00	9050.3
284.00	9121.8
285.00	9193.2
286.00	9264.7
287.00	9382.3
288.00	9540.8
289.00	9699.3
290.00	9861.5
291.00	10029
292.00	10197
293.00	10368
294.00	10543
295.00	10718
296.00	10871
297.00	10983
298.00	11095
299.00	11070
300.00	11044
301.00	11019
302.00	10984
303.00	10937
304.00	10890
305.00	10842
306.00	10748
307.00	10618
308.00	10489
309.00	10331
310.00	10065
311.00	9757.2
312.00	9069.7
313.00	8382.2
314.00	7632.0
315.00	6860.9
316.00	6089.8
317.00	5269.5
318.00	4436.9
319.00	3604.3
320.00	3042.5
321.00	2528.4
322.00	2109.1
323.00	1709.2
324.00	1452.2
325.00	1228.7
326.00	1064.3
327.00	972.04
328.00	879.81
329.00	787.17
330.00	694.24
331.00	601.31
332.00	518.08
333.00	469.23
334.00	420.38
335.00	384.21
336.00	359.76
337.00	335.30
338.00	311.94
339.00	294.75
340.00	277.56
341.00	260.38
342.00	243.19
343.00	224.97
344.00	206.28
345.00	187.60
346.00	168.91
347.00	168.91
348.00	168.91
349.00	168.91
350.00	168.91
