Wavelength (nm)	FL083 [11] 478-01-3, Nobiletin [C]
210.00	39688
211.00	39531
212.00	39144
213.00	38528
214.00	37769
215.00	36881
216.00	35950
217.00	34899
218.00	33832
219.00	32705
220.00	31563
221.00	30400
222.00	29285
223.00	28151
224.00	27044
225.00	25981
226.00	25006
227.00	24076
228.00	23198
229.00	22393
230.00	21673
231.00	21015
232.00	20422
233.00	19926
234.00	19517
235.00	19233
236.00	19038
237.00	18950
238.00	18941
239.00	19002
240.00	19115
241.00	19273
242.00	19470
243.00	19683
244.00	19891
245.00	20107
246.00	20297
247.00	20440
248.00	20534
249.00	20545
250.00	20443
251.00	20230
252.00	19915
253.00	19503
254.00	19052
255.00	18618
256.00	18218
257.00	17885
258.00	17629
259.00	17447
260.00	17343
261.00	17307
262.00	17313
263.00	17386
264.00	17483
265.00	17639
266.00	17818
267.00	17979
268.00	18157
269.00	18307
270.00	18382
271.00	18400
272.00	18323
273.00	18117
274.00	17805
275.00	17402
276.00	16937
277.00	16413
278.00	15881
279.00	15343
280.00	14799
281.00	14302
282.00	13837
283.00	13421
284.00	13047
285.00	12730
286.00	12442
287.00	12201
288.00	12021
289.00	11859
290.00	11737
291.00	11670
292.00	11658
293.00	11697
294.00	11775
295.00	11902
296.00	12045
297.00	12245
298.00	12465
299.00	12720
300.00	13002
301.00	13306
302.00	13625
303.00	13981
304.00	14379
305.00	14799
306.00	15253
307.00	15748
308.00	16256
309.00	16771
310.00	17320
311.00	17893
312.00	18469
313.00	19051
314.00	19654
315.00	20239
316.00	20825
317.00	21417
318.00	21960
319.00	22495
320.00	23033
321.00	23530
322.00	23989
323.00	24458
324.00	24853
325.00	25215
326.00	25539
327.00	25830
328.00	26074
329.00	26280
330.00	26429
331.00	26555
332.00	26585
333.00	26588
334.00	26528
335.00	26446
336.00	26321
337.00	26100
338.00	25851
339.00	25580
340.00	25204
341.00	24817
342.00	24392
343.00	23929
344.00	23410
345.00	22886
346.00	22322
347.00	21708
348.00	21072
349.00	20407
350.00	19709
351.00	18995
352.00	18252
353.00	17505
354.00	16699
355.00	15886
356.00	15072
357.00	14260
358.00	13421
359.00	12581
360.00	11691
361.00	10813
362.00	9958.0
363.00	9153.6
364.00	8389.7
365.00	7654.6
366.00	6904.8
367.00	6222.7
368.00	5607.9
369.00	5025.9
370.00	4523.2
371.00	4041.5
372.00	3604.0
373.00	3204.9
374.00	2840.4
375.00	2551.6
376.00	2260.5
377.00	2008.8
378.00	1790.4
379.00	1580.9
380.00	1396.2
381.00	1251.8
382.00	1133.5
383.00	1003.1
384.00	910.94
385.00	806.99
386.00	728.22
387.00	658.92
388.00	602.05
389.00	543.31
390.00	497.91
391.00	447.77
392.00	438.37
393.00	393.62
394.00	339.53
395.00	337.19
396.00	305.24
397.00	284.52
398.00	287.12
399.00	270.27
400.00	247.17
401.00	256.97
402.00	245.26
403.00	234.52
404.00	236.37
405.00	227.62
406.00	202.37
407.00	199.55
408.00	197.10
409.00	197.19
410.00	184.54
411.00	184.64
412.00	185.91
413.00	188.18
414.00	157.94
415.00	164.47
416.00	172.08
417.00	165.17
418.00	153.51
419.00	147.79
420.00	145.91
421.00	162.52
422.00	149.55
423.00	136.20
424.00	136.90
425.00	136.59
426.00	133.00
427.00	149.94
428.00	128.20
429.00	141.84
430.00	135.07
431.00	103.43
432.00	90.759
433.00	135.24
434.00	146.83
435.00	102.33
436.00	121.65
437.00	133.41
438.00	126.35
439.00	119.58
440.00	110.28
441.00	133.46
442.00	114.47
443.00	120.71
444.00	109.17
445.00	102.35
446.00	86.614
447.00	79.241
448.00	96.349
449.00	102.66
450.00	81.193
451.00	85.410
452.00	100.73
453.00	85.193
454.00	85.916
455.00	84.398
456.00	90.783
457.00	100.98
458.00	86.880
459.00	89.747
460.00	74.928
461.00	64.253
462.00	57.747
463.00	95.313
464.00	82.904
465.00	71.482
466.00	74.783
467.00	80.831
468.00	66.181
469.00	47.290
470.00	71.771
471.00	71.410
472.00	80.374
473.00	71.699
474.00	72.663
475.00	94.277
476.00	63.434
477.00	64.687
478.00	100.04
479.00	81.121
480.00	59.964
481.00	61.217
482.00	71.217
483.00	76.759
484.00	64.591
485.00	116.30
486.00	36.398
487.00	40.420
488.00	5.9387
489.00	45.868
490.00	52.302
491.00	54.735
492.00	63.458
493.00	53.169
494.00	27.772
495.00	49.796
496.00	43.482
497.00	35.410
498.00	41.844
499.00	27.916
500.00	21.820
