Wavelength (nm)	C08 ems
360.00	5361.3
360.50	5389.9
361.00	5506.0
361.50	5634.9
362.00	5696.0
362.50	5861.6
363.00	5898.4
363.50	5952.6
364.00	5975.4
364.50	6231.3
365.00	6228.9
365.50	6621.8
366.00	6677.2
366.50	6726.9
367.00	6778.5
367.50	6681.3
368.00	6620.3
368.50	6611.8
369.00	6577.2
369.50	6593.7
370.00	6329.2
370.50	6530.5
371.00	6784.0
371.50	7099.4
372.00	7357.7
372.50	7773.3
373.00	8064.0
373.50	8793.6
374.00	9016.3
374.50	10159
375.00	10414
375.50	11159
376.00	11694
376.50	12693
377.00	13496
377.50	14544
378.00	15370
378.50	16830
379.00	18087
379.50	20146
380.00	21561
380.50	24521
381.00	26934
381.50	32479
382.00	35300
382.50	42712
383.00	48317
383.50	59953
384.00	68338
384.50	84540
385.00	99384
385.50	1.3285e+05
386.00	1.5213e+05
386.50	2.0028e+05
387.00	2.3768e+05
387.50	3.1411e+05
388.00	3.5523e+05
388.50	4.3762e+05
389.00	5.0079e+05
389.50	6.0920e+05
390.00	6.7075e+05
390.50	7.8086e+05
391.00	8.7091e+05
391.50	1.0220e+06
392.00	1.1039e+06
392.50	1.2477e+06
393.00	1.3561e+06
393.50	1.5394e+06
394.00	1.6463e+06
394.50	1.8196e+06
395.00	1.9447e+06
395.50	2.1486e+06
396.00	2.2517e+06
396.50	2.4206e+06
397.00	2.5378e+06
397.50	2.7187e+06
398.00	2.8098e+06
398.50	2.9595e+06
399.00	3.0580e+06
399.50	3.2080e+06
400.00	3.2785e+06
400.50	3.3878e+06
401.00	3.4507e+06
401.50	3.5330e+06
402.00	3.5649e+06
402.50	3.6206e+06
403.00	3.6462e+06
403.50	3.6687e+06
404.00	3.6701e+06
404.50	3.6679e+06
405.00	3.6569e+06
405.50	3.6365e+06
406.00	3.6169e+06
406.50	3.5678e+06
407.00	3.5406e+06
407.50	3.4727e+06
408.00	3.4441e+06
408.50	3.3854e+06
409.00	3.3350e+06
409.50	3.2716e+06
410.00	3.2429e+06
410.50	3.1855e+06
411.00	3.1534e+06
411.50	3.1126e+06
412.00	3.0933e+06
412.50	3.0584e+06
413.00	3.0455e+06
413.50	3.0349e+06
414.00	3.0269e+06
414.50	3.0263e+06
415.00	3.0327e+06
415.50	3.0537e+06
416.00	3.0652e+06
416.50	3.0912e+06
417.00	3.1118e+06
417.50	3.1491e+06
418.00	3.1659e+06
418.50	3.2111e+06
419.00	3.2336e+06
419.50	3.2802e+06
420.00	3.3105e+06
420.50	3.3529e+06
421.00	3.3815e+06
421.50	3.4222e+06
422.00	3.4429e+06
422.50	3.4795e+06
423.00	3.5012e+06
423.50	3.5290e+06
424.00	3.5427e+06
424.50	3.5640e+06
425.00	3.5686e+06
425.50	3.5740e+06
426.00	3.5672e+06
426.50	3.5564e+06
427.00	3.5412e+06
427.50	3.5147e+06
428.00	3.4968e+06
428.50	3.4582e+06
429.00	3.4297e+06
429.50	3.3752e+06
430.00	3.3446e+06
430.50	3.2699e+06
431.00	3.2232e+06
431.50	3.1513e+06
432.00	3.1099e+06
432.50	3.0423e+06
433.00	2.9781e+06
433.50	2.8903e+06
434.00	2.8418e+06
434.50	2.7670e+06
435.00	2.7132e+06
435.50	2.6305e+06
436.00	2.5888e+06
436.50	2.5281e+06
437.00	2.4819e+06
437.50	2.4172e+06
438.00	2.3821e+06
438.50	2.3269e+06
439.00	2.2908e+06
439.50	2.2341e+06
440.00	2.2094e+06
440.50	2.1694e+06
441.00	2.1386e+06
441.50	2.1054e+06
442.00	2.0802e+06
442.50	2.0494e+06
443.00	2.0363e+06
443.50	2.0008e+06
444.00	1.9898e+06
444.50	1.9669e+06
445.00	1.9577e+06
445.50	1.9342e+06
446.00	1.9232e+06
446.50	1.9050e+06
447.00	1.8957e+06
447.50	1.8777e+06
448.00	1.8724e+06
448.50	1.8526e+06
449.00	1.8453e+06
449.50	1.8249e+06
450.00	1.8162e+06
450.50	1.7977e+06
451.00	1.7843e+06
451.50	1.7629e+06
452.00	1.7512e+06
452.50	1.7287e+06
453.00	1.7101e+06
453.50	1.6836e+06
454.00	1.6691e+06
454.50	1.6374e+06
455.00	1.6164e+06
455.50	1.5831e+06
456.00	1.5685e+06
456.50	1.5319e+06
457.00	1.5116e+06
457.50	1.4686e+06
458.00	1.4492e+06
458.50	1.4071e+06
459.00	1.3821e+06
459.50	1.3426e+06
460.00	1.3220e+06
460.50	1.2893e+06
461.00	1.2627e+06
461.50	1.2235e+06
462.00	1.2046e+06
462.50	1.1743e+06
463.00	1.1466e+06
