Wavelength (nm)	FL039 [8] 14941-08-3, Poncirin [D]
211.00	19731
212.00	20214
213.00	20465
214.00	20559
215.00	20564
216.00	20501
217.00	20415
218.00	20381
219.00	20493
220.00	20680
221.00	21092
222.00	21446
223.00	21756
224.00	22049
225.00	22313
226.00	22464
227.00	22437
228.00	22251
229.00	21748
230.00	20960
231.00	19829
232.00	18291
233.00	16694
234.00	15207
235.00	13804
236.00	12343
237.00	10826
238.00	9392.2
239.00	8005.1
240.00	6572.4
241.00	5196.4
242.00	4189.6
243.00	3521.6
244.00	3043.1
245.00	2669.3
246.00	2441.8
247.00	2345.3
248.00	2261.9
249.00	2206.8
250.00	2192.4
251.00	2217.7
252.00	2261.4
253.00	2341.4
254.00	2457.6
255.00	2587.9
256.00	2729.6
257.00	2907.7
258.00	3120.6
259.00	3337.7
260.00	3633.2
261.00	3928.7
262.00	4224.3
263.00	4576.7
264.00	5014.4
265.00	5452.2
266.00	5972.1
267.00	6536.3
268.00	7100.5
269.00	7664.7
270.00	8261.9
271.00	8906.5
272.00	9551.2
273.00	10196
274.00	10848
275.00	11500
276.00	12152
277.00	12795
278.00	13430
279.00	14065
280.00	14641
281.00	15200
282.00	15705
283.00	16174
284.00	16549
285.00	16893
286.00	17170
287.00	17414
288.00	17614
289.00	17748
290.00	17800
291.00	17718
292.00	17542
293.00	17261
294.00	16906
295.00	16483
296.00	15991
297.00	15488
298.00	14875
299.00	14263
300.00	13598
301.00	12931
302.00	12234
303.00	11516
304.00	10752
305.00	9961.7
306.00	9245.9
307.00	8570.5
308.00	7949.3
309.00	7349.6
310.00	6797.8
311.00	6386.2
312.00	6014.1
313.00	5659.7
314.00	5306.9
315.00	5070.1
316.00	4841.1
317.00	4630.7
318.00	4444.3
319.00	4309.0
320.00	4184.5
321.00	4094.3
322.00	4010.8
323.00	3962.2
324.00	3913.7
325.00	3865.2
326.00	3816.9
327.00	3768.6
328.00	3720.3
329.00	3665.0
330.00	3603.6
331.00	3542.1
332.00	3483.7
333.00	3426.2
334.00	3368.8
335.00	3302.7
336.00	3231.1
337.00	3157.5
338.00	3066.4
339.00	2975.4
340.00	2884.1
341.00	2769.3
342.00	2654.5
343.00	2539.9
344.00	2426.9
345.00	2313.9
346.00	2200.9
347.00	2084.4
348.00	1966.2
349.00	1848.1
350.00	1735.1
351.00	1637.7
352.00	1540.3
353.00	1444.2
354.00	1352.9
355.00	1261.6
356.00	1170.3
357.00	1080.0
358.00	1000.5
359.00	920.97
360.00	841.44
361.00	772.12
362.00	708.31
363.00	644.49
364.00	582.89
365.00	529.12
366.00	475.35
367.00	421.58
368.00	373.56
369.00	332.85
370.00	292.14
371.00	258.13
372.00	229.39
373.00	200.65
374.00	184.50
375.00	170.75
376.00	157.00
377.00	143.26
378.00	132.77
379.00	122.81
380.00	112.85
381.00	102.75
382.00	92.603
383.00	82.451
384.00	72.298
385.00	62.816
386.00	59.362
387.00	55.908
388.00	52.455
389.00	49.001
390.00	45.547
391.00	42.093
392.00	38.075
393.00	32.800
394.00	27.525
395.00	22.250
396.00	15.346
397.00	8.4424
398.00	8.4424
399.00	8.4424
400.00	8.4424
