Wavelength (nm)	Angew 2018_14937, Pa-iPB-45 (1) [Z]
210.00	1.0000
211.00	1.0000
212.00	1.0000
213.00	0.99921
214.00	0.99580
215.00	0.99238
216.00	0.98746
217.00	0.97886
218.00	0.97027
219.00	0.95848
220.00	0.94656
221.00	0.93380
222.00	0.91746
223.00	0.90111
224.00	0.88406
225.00	0.86565
226.00	0.84724
227.00	0.82883
228.00	0.80971
229.00	0.79040
230.00	0.77110
231.00	0.75155
232.00	0.73167
233.00	0.71178
234.00	0.69190
235.00	0.67320
236.00	0.65555
237.00	0.63790
238.00	0.62074
239.00	0.60619
240.00	0.59163
241.00	0.57708
242.00	0.56085
243.00	0.54455
244.00	0.53126
245.00	0.51974
246.00	0.51009
247.00	0.50150
248.00	0.49375
249.00	0.48898
250.00	0.48420
251.00	0.48223
252.00	0.48061
253.00	0.48252
254.00	0.48443
255.00	0.48867
256.00	0.49341
257.00	0.49815
258.00	0.50573
259.00	0.51401
260.00	0.52229
261.00	0.53057
262.00	0.54022
263.00	0.55095
264.00	0.56167
265.00	0.57239
266.00	0.58307
267.00	0.59344
268.00	0.60381
269.00	0.61418
270.00	0.62389
271.00	0.63235
272.00	0.64082
273.00	0.64928
274.00	0.65678
275.00	0.66389
276.00	0.67100
277.00	0.67798
278.00	0.68351
279.00	0.68904
280.00	0.69457
281.00	0.69798
282.00	0.70134
283.00	0.70469
284.00	0.70805
285.00	0.71028
286.00	0.71241
287.00	0.71453
288.00	0.71599
289.00	0.71688
290.00	0.71777
291.00	0.71713
292.00	0.71649
293.00	0.71585
294.00	0.71493
295.00	0.71372
296.00	0.71251
297.00	0.71130
298.00	0.70982
299.00	0.70779
300.00	0.70576
301.00	0.70372
302.00	0.70166
303.00	0.69935
304.00	0.69704
305.00	0.69473
306.00	0.69213
307.00	0.68905
308.00	0.68598
309.00	0.68167
310.00	0.67508
311.00	0.66849
312.00	0.65819
313.00	0.64723
314.00	0.63448
315.00	0.61935
316.00	0.60422
317.00	0.58641
318.00	0.56838
319.00	0.55034
320.00	0.52618
321.00	0.50190
322.00	0.47750
323.00	0.45301
324.00	0.42748
325.00	0.39832
326.00	0.36915
327.00	0.34063
328.00	0.31323
329.00	0.28582
330.00	0.25915
331.00	0.23260
332.00	0.20888
333.00	0.18689
334.00	0.16490
335.00	0.14599
336.00	0.12762
337.00	0.10971
338.00	0.097038
339.00	0.084366
340.00	0.071695
341.00	0.063635
342.00	0.056728
343.00	0.049821
344.00	0.042914
345.00	0.037503
346.00	0.032898
347.00	0.028293
348.00	0.023688
349.00	0.021084
350.00	0.019111
351.00	0.017139
352.00	0.015167
353.00	0.013195
354.00	0.011534
355.00	0.010568
356.00	0.0096014
357.00	0.0086349
358.00	0.0076684
359.00	0.0067810
360.00	0.0064735
361.00	0.0061659
362.00	0.0058584
363.00	0.0055509
364.00	0.0051865
365.00	0.0047554
366.00	0.0043243
367.00	0.0038933
368.00	0.0034622
369.00	0.0030311
370.00	0.0027366
371.00	0.0025411
372.00	0.0023455
373.00	0.0021500
374.00	0.0019544
375.00	0.0017835
376.00	0.0016998
377.00	0.0016161
378.00	0.0015324
379.00	0.0014486
380.00	0.0013649
381.00	0.0012812
382.00	0.0011975
383.00	0.0011138
384.00	0.0010853
385.00	0.0010853
386.00	0.0010853
387.00	0.0010853
388.00	0.0010853
389.00	0.0010853
390.00	0.0010853
391.00	0.0010853
392.00	0.0010853
393.00	0.0010853
394.00	0.0010853
395.00	0.0010853
396.00	0.0010853
397.00	0.0010853
398.00	0.0010853
399.00	0.0010853
400.00	0.0010853
