Wavelength (nm)	N12 abs e
200.00	44027
201.00	48269
202.00	49352
203.00	49473
204.00	49080
205.00	47770
206.00	45823
207.00	43611
208.00	40948
209.00	38041
210.00	35124
211.00	32861
212.00	31239
213.00	30146
214.00	29421
215.00	28978
216.00	28765
217.00	28696
218.00	28724
219.00	28782
220.00	28859
221.00	28890
222.00	28829
223.00	28654
224.00	28322
225.00	27872
226.00	27208
227.00	26452
228.00	25607
229.00	24724
230.00	23798
231.00	22912
232.00	22120
233.00	21431
234.00	20899
235.00	20573
236.00	20458
237.00	20548
238.00	20661
239.00	20599
240.00	20275
241.00	19750
242.00	19281
243.00	19007
244.00	19073
245.00	19502
246.00	20277
247.00	21357
248.00	22646
249.00	24016
250.00	25347
251.00	26612
252.00	27743
253.00	28761
254.00	29680
255.00	30418
256.00	30904
257.00	31042
258.00	30714
259.00	29781
260.00	28367
261.00	26493
262.00	24359
263.00	22225
264.00	20230
265.00	18476
266.00	17084
267.00	16045
268.00	15253
269.00	14757
270.00	14461
271.00	14358
272.00	14362
273.00	14452
274.00	14643
275.00	14840
276.00	15047
277.00	15236
278.00	15399
279.00	15502
280.00	15556
281.00	15514
282.00	15447
283.00	15346
284.00	15153
285.00	14945
286.00	14681
287.00	14437
288.00	14178
289.00	13954
290.00	13738
291.00	13586
292.00	13522
293.00	13505
294.00	13545
295.00	13652
296.00	13779
297.00	13945
298.00	14132
299.00	14324
300.00	14514
301.00	14718
302.00	14896
303.00	15014
304.00	15075
305.00	15013
306.00	14813
307.00	14474
308.00	13905
309.00	13169
310.00	12291
311.00	11233
312.00	10135
313.00	9088.1
314.00	8032.4
315.00	7072.3
316.00	6237.0
317.00	5486.9
318.00	4815.5
319.00	4279.6
320.00	3820.3
321.00	3438.4
322.00	3148.7
323.00	2904.2
324.00	2715.6
325.00	2630.4
326.00	2571.1
327.00	2584.1
328.00	2637.3
329.00	2772.6
330.00	2933.9
331.00	3127.5
332.00	3369.9
333.00	3630.0
334.00	3845.5
335.00	4080.5
336.00	4337.7
337.00	4509.7
338.00	4650.9
339.00	4792.1
340.00	4916.5
341.00	5046.4
342.00	5213.0
343.00	5414.0
344.00	5669.4
345.00	5970.9
346.00	6359.0
347.00	6760.9
348.00	7168.9
349.00	7569.8
350.00	7907.3
351.00	8141.3
352.00	8280.1
353.00	8237.5
354.00	8024.2
355.00	7680.3
356.00	7191.9
357.00	6663.2
358.00	6045.6
359.00	5427.0
360.00	4808.1
361.00	4206.6
362.00	3675.4
363.00	3222.2
364.00	2832.4
365.00	2506.8
366.00	2261.0
367.00	2093.0
368.00	1961.9
369.00	1838.2
370.00	1756.8
371.00	1704.0
372.00	1686.6
373.00	1676.2
374.00	1734.5
375.00	1695.8
376.00	1734.2
377.00	1750.4
378.00	1820.4
379.00	1844.5
380.00	1838.6
381.00	1893.9
382.00	1944.5
383.00	1948.7
384.00	1980.8
385.00	2048.9
386.00	2097.2
387.00	2176.2
388.00	2202.1
389.00	2256.3
390.00	2333.5
391.00	2377.1
392.00	2444.6
393.00	2518.4
394.00	2567.2
395.00	2590.0
396.00	2594.4
397.00	2626.5
398.00	2671.7
399.00	2689.6
400.00	2680.6
401.00	2677.6
402.00	2671.8
403.00	2631.5
404.00	2616.6
405.00	2595.2
406.00	2556.7
407.00	2502.0
408.00	2482.4
409.00	2443.7
410.00	2403.9
411.00	2343.8
412.00	2344.8
413.00	2325.3
414.00	2294.5
415.00	2257.4
416.00	2205.5
417.00	2182.1
418.00	2178.5
419.00	2164.6
420.00	2141.7
421.00	2106.0
422.00	2069.0
423.00	2059.3
424.00	2019.5
425.00	1971.6
426.00	1952.5
427.00	1867.4
428.00	1808.4
429.00	1710.1
430.00	1672.5
431.00	1597.6
432.00	1535.5
433.00	1481.8
434.00	1389.7
435.00	1319.3
436.00	1269.5
437.00	1196.5
438.00	1148.3
439.00	1143.8
440.00	1088.3
441.00	1032.7
442.00	1023.3
443.00	1029.4
444.00	1009.0
445.00	1022.7
446.00	1000.7
447.00	1020.0
448.00	1056.6
449.00	1084.9
450.00	1122.6
451.00	1143.9
452.00	1216.4
453.00	1256.6
454.00	1333.3
455.00	1387.3
456.00	1470.3
457.00	1566.5
458.00	1651.2
459.00	1769.6
460.00	1890.3
461.00	1983.2
462.00	2131.2
463.00	2291.8
464.00	2433.4
465.00	2572.2
466.00	2718.1
467.00	2918.6
468.00	3139.1
469.00	3284.4
470.00	3522.5
471.00	3738.6
472.00	3984.4
473.00	4225.6
474.00	4511.4
475.00	4720.0
476.00	4976.1
477.00	5232.6
478.00	5480.7
479.00	5752.6
480.00	6091.7
481.00	6356.5
482.00	6640.1
483.00	6982.4
484.00	7286.3
485.00	7752.9
486.00	8039.0
487.00	8286.1
488.00	8753.2
489.00	9286.9
490.00	9764.8
491.00	10334
492.00	10939
493.00	11595
494.00	12213
495.00	12945
496.00	13765
497.00	14549
498.00	15447
499.00	16476
500.00	17310
501.00	18395
502.00	19449
503.00	20488
504.00	21575
505.00	22650
506.00	23775
507.00	24870
508.00	25957
509.00	26990
510.00	27965
511.00	28858
512.00	29752
513.00	30562
514.00	31338
515.00	32100
516.00	32636
517.00	33204
518.00	33805
519.00	34410
520.00	34988
521.00	35658
522.00	36210
523.00	36907
524.00	37620
525.00	38450
526.00	39562
527.00	40682
528.00	42005
529.00	43541
530.00	45156
531.00	46896
532.00	48971
533.00	51247
534.00	53669
535.00	56267
536.00	58799
537.00	61624
538.00	64678
539.00	67671
540.00	70750
541.00	73968
542.00	77345
543.00	80093
544.00	83540
545.00	86427
546.00	88898
547.00	91330
548.00	93589
549.00	95480
550.00	97027
551.00	98317
552.00	98622
553.00	99000
554.00	98210
555.00	97214
556.00	95718
557.00	93566
558.00	90586
559.00	87217
560.00	83385
561.00	79207
562.00	74690
563.00	69856
564.00	64836
565.00	59799
566.00	54486
567.00	49357
568.00	44491
569.00	39657
570.00	35410
571.00	31241
572.00	27593
