Wavelength (nm)	FL014 [4] 989-51-5, Epigallocatechin gallate [M]
210.00	45460
211.00	47779
212.00	41403
213.00	42656
214.00	42111
215.00	41671
216.00	41614
217.00	42636
218.00	42043
219.00	41230
220.00	41440
221.00	39531
222.00	38113
223.00	37251
224.00	36426
225.00	36510
226.00	35673
227.00	33830
228.00	33072
229.00	31642
230.00	29943
231.00	28282
232.00	26315
233.00	24193
234.00	22127
235.00	20199
236.00	18253
237.00	16426
238.00	14769
239.00	13216
240.00	11804
241.00	10534
242.00	9363.4
243.00	8327.5
244.00	7442.6
245.00	6718.5
246.00	6124.3
247.00	5677.9
248.00	5376.7
249.00	5211.1
250.00	5161.1
251.00	5215.7
252.00	5366.3
253.00	5592.8
254.00	5892.2
255.00	6237.1
256.00	6632.2
257.00	7073.8
258.00	7538.5
259.00	8025.5
260.00	8534.9
261.00	9036.2
262.00	9562.8
263.00	10104
264.00	10634
265.00	11165
266.00	11657
267.00	12165
268.00	12610
269.00	13058
270.00	13460
271.00	13799
272.00	14076
273.00	14257
274.00	14384
275.00	14480
276.00	14500
277.00	14465
278.00	14400
279.00	14321
280.00	14176
281.00	13915
282.00	13563
283.00	13166
284.00	12752
285.00	12365
286.00	11978
287.00	11605
288.00	11252
289.00	10897
290.00	10569
291.00	10228
292.00	9894.0
293.00	9565.5
294.00	9226.5
295.00	8891.2
296.00	8524.2
297.00	8163.7
298.00	7791.7
299.00	7417.6
300.00	7034.5
301.00	6656.5
302.00	6264.3
303.00	5862.5
304.00	5459.5
305.00	5067.0
306.00	4676.8
307.00	4278.7
308.00	3894.2
309.00	3519.1
310.00	3164.8
311.00	2813.7
312.00	2484.3
313.00	2175.7
314.00	1885.4
315.00	1629.3
316.00	1399.8
317.00	1191.1
318.00	1000.9
319.00	839.17
320.00	700.13
321.00	579.81
322.00	479.30
323.00	398.49
324.00	330.17
325.00	272.03
326.00	225.90
327.00	185.70
328.00	158.79
329.00	134.77
330.00	116.87
331.00	101.22
332.00	93.269
333.00	81.273
334.00	72.239
335.00	67.408
336.00	62.042
337.00	59.869
338.00	61.224
339.00	57.225
340.00	49.742
341.00	50.440
342.00	46.040
343.00	42.972
344.00	44.700
345.00	45.842
346.00	43.642
347.00	40.384
348.00	42.972
349.00	40.631
350.00	37.831
351.00	39.305
352.00	30.898
353.00	41.674
354.00	37.267
355.00	37.901
356.00	36.928
357.00	33.726
358.00	33.275
359.00	29.580
360.00	31.998
361.00	29.502
362.00	33.677
363.00	33.204
364.00	31.187
365.00	33.219
366.00	30.842
367.00	31.921
368.00	31.187
369.00	30.094
370.00	32.697
371.00	27.612
372.00	29.544
373.00	27.950
374.00	30.292
375.00	35.750
376.00	29.537
377.00	31.286
378.00	31.547
379.00	29.227
380.00	29.072
381.00	20.390
382.00	20.545
383.00	22.760
384.00	25.256
385.00	19.607
386.00	21.526
387.00	22.175
388.00	20.024
389.00	20.849
390.00	22.189
391.00	26.603
392.00	16.956
393.00	26.646
394.00	18.684
395.00	18.719
396.00	22.598
397.00	24.086
398.00	23.649
399.00	15.715
400.00	15.595
401.00	20.207
402.00	22.732
403.00	23.515
404.00	20.729
405.00	23.529
406.00	22.873
407.00	23.804
408.00	15.602
409.00	19.812
410.00	16.455
411.00	18.768
412.00	22.971
413.00	15.926
414.00	15.559
415.00	17.323
416.00	15.291
417.00	21.300
418.00	18.867
419.00	22.421
420.00	19.481
421.00	19.170
422.00	20.306
423.00	15.997
424.00	18.853
425.00	23.451
426.00	14.614
427.00	19.678
428.00	16.977
429.00	21.695
430.00	21.215
431.00	19.276
432.00	16.547
433.00	19.170
434.00	14.184
435.00	19.890
436.00	17.894
437.00	22.055
438.00	14.664
439.00	15.080
440.00	20.672
441.00	18.317
442.00	20.404
443.00	19.537
444.00	14.241
445.00	16.321
446.00	13.818
447.00	16.568
448.00	18.528
449.00	19.565
450.00	21.582
451.00	17.189
452.00	21.342
453.00	25.172
454.00	16.342
455.00	21.314
456.00	16.272
457.00	19.523
458.00	14.770
459.00	21.159
460.00	24.988
461.00	20.115
462.00	16.540
463.00	12.781
464.00	22.393
465.00	12.407
466.00	18.126
467.00	8.1474
468.00	14.410
469.00	24.311
470.00	15.834
471.00	14.022
472.00	20.962
473.00	14.586
474.00	25.715
475.00	17.471
476.00	23.691
477.00	34.819
478.00	29.840
479.00	19.227
480.00	8.8667
481.00	8.6129
482.00	17.576
483.00	12.774
484.00	16.060
485.00	23.543
486.00	13.451
487.00	11.391
488.00	15.700
489.00	19.995
490.00	30.800
491.00	17.696
492.00	8.3731
493.00	21.145
494.00	19.579
495.00	24.594
496.00	14.156
497.00	14.057
498.00	5.9259
499.00	16.949
500.00	28.190
