Wavelength (nm)	Mn(III) UroP I (in DMSO).abs
300.00	0.12106
301.00	0.12099
302.00	0.11935
303.00	0.11826
304.00	0.11793
305.00	0.11742
306.00	0.11718
307.00	0.11787
308.00	0.11853
309.00	0.12028
310.00	0.12246
311.00	0.12576
312.00	0.12909
313.00	0.13329
314.00	0.13785
315.00	0.14283
316.00	0.14913
317.00	0.15633
318.00	0.16255
319.00	0.17013
320.00	0.17799
321.00	0.18667
322.00	0.19516
323.00	0.20464
324.00	0.21306
325.00	0.22267
326.00	0.23189
327.00	0.24082
328.00	0.25001
329.00	0.25881
330.00	0.26799
331.00	0.27623
332.00	0.28486
333.00	0.29322
334.00	0.30152
335.00	0.30979
336.00	0.31794
337.00	0.32584
338.00	0.33353
339.00	0.34109
340.00	0.34848
341.00	0.35596
342.00	0.36333
343.00	0.37031
344.00	0.37720
345.00	0.38397
346.00	0.39101
347.00	0.39775
348.00	0.40487
349.00	0.41232
350.00	0.41988
351.00	0.42883
352.00	0.43760
353.00	0.44868
354.00	0.46081
355.00	0.47441
356.00	0.48893
357.00	0.50406
358.00	0.52110
359.00	0.53855
360.00	0.55840
361.00	0.57892
362.00	0.59955
363.00	0.61906
364.00	0.63640
365.00	0.65048
366.00	0.66115
367.00	0.66748
368.00	0.66759
369.00	0.66437
370.00	0.65546
371.00	0.64175
372.00	0.62539
373.00	0.60618
374.00	0.58611
375.00	0.56435
376.00	0.54398
377.00	0.52597
378.00	0.50964
379.00	0.49553
380.00	0.48425
381.00	0.47688
382.00	0.47163
383.00	0.46658
384.00	0.46235
385.00	0.45797
386.00	0.45257
387.00	0.44617
388.00	0.43696
389.00	0.42573
390.00	0.41082
391.00	0.39611
392.00	0.37836
393.00	0.35888
394.00	0.33879
395.00	0.31868
396.00	0.29919
397.00	0.28099
398.00	0.26366
399.00	0.24960
400.00	0.23759
401.00	0.22823
402.00	0.22192
403.00	0.21726
404.00	0.21466
405.00	0.21402
406.00	0.21423
407.00	0.21489
408.00	0.21730
409.00	0.21996
410.00	0.22191
411.00	0.22418
412.00	0.22602
413.00	0.22640
414.00	0.22521
415.00	0.22134
416.00	0.21393
417.00	0.20349
418.00	0.19121
419.00	0.17918
420.00	0.16836
421.00	0.15942
422.00	0.15350
423.00	0.15005
424.00	0.14846
425.00	0.14825
426.00	0.14995
427.00	0.15275
428.00	0.15560
429.00	0.15803
430.00	0.16083
431.00	0.16223
432.00	0.16324
433.00	0.16550
434.00	0.16723
435.00	0.16886
436.00	0.17213
437.00	0.17652
438.00	0.18178
439.00	0.18928
