Wavelength (nm)	Chem Eur J 2014_87, At-mes16-DNCC-47 (6) abs [Z]
200.00	0.79046
201.00	0.81845
202.00	0.84643
203.00	0.86823
204.00	0.88817
205.00	0.90736
206.00	0.92611
207.00	0.94163
208.00	0.95380
209.00	0.96598
210.00	0.97817
211.00	0.99037
212.00	0.99659
213.00	1.0000
214.00	0.99741
215.00	0.99483
216.00	0.98954
217.00	0.97764
218.00	0.96491
219.00	0.94750
220.00	0.93008
221.00	0.91050
222.00	0.88472
223.00	0.85895
224.00	0.83525
225.00	0.81249
226.00	0.79263
227.00	0.77844
228.00	0.76424
229.00	0.75011
230.00	0.73905
231.00	0.72799
232.00	0.71694
233.00	0.70722
234.00	0.69763
235.00	0.68805
236.00	0.68230
237.00	0.67689
238.00	0.67147
239.00	0.66662
240.00	0.66266
241.00	0.65864
242.00	0.65425
243.00	0.64936
244.00	0.64047
245.00	0.62991
246.00	0.61675
247.00	0.60123
248.00	0.58363
249.00	0.56335
250.00	0.54308
251.00	0.52213
252.00	0.49953
253.00	0.47693
254.00	0.45414
255.00	0.43056
256.00	0.40698
257.00	0.38340
258.00	0.36121
259.00	0.33947
260.00	0.31772
261.00	0.29742
262.00	0.27889
263.00	0.26035
264.00	0.24834
265.00	0.23827
266.00	0.22820
267.00	0.22089
268.00	0.21494
269.00	0.20898
270.00	0.20327
271.00	0.19904
272.00	0.19482
273.00	0.19059
274.00	0.18648
275.00	0.18385
276.00	0.18122
277.00	0.17859
278.00	0.17596
279.00	0.17333
280.00	0.17094
281.00	0.16881
282.00	0.16668
283.00	0.16455
284.00	0.16242
285.00	0.16029
286.00	0.15816
287.00	0.15587
288.00	0.15325
289.00	0.15063
290.00	0.14801
291.00	0.14539
292.00	0.14277
293.00	0.13942
294.00	0.13606
295.00	0.13270
296.00	0.12933
297.00	0.12597
298.00	0.12261
299.00	0.11916
300.00	0.11556
301.00	0.11196
302.00	0.10836
303.00	0.10476
304.00	0.10117
305.00	0.097567
306.00	0.093968
307.00	0.090436
308.00	0.087157
309.00	0.083878
310.00	0.080598
311.00	0.077319
312.00	0.074039
313.00	0.070760
314.00	0.067481
315.00	0.064489
316.00	0.061555
317.00	0.058622
318.00	0.055689
319.00	0.052756
320.00	0.049823
321.00	0.046890
322.00	0.044100
323.00	0.041790
324.00	0.039481
325.00	0.037171
326.00	0.034861
327.00	0.032552
328.00	0.030242
329.00	0.027987
330.00	0.026578
331.00	0.025170
332.00	0.023762
333.00	0.022354
334.00	0.020946
335.00	0.019547
336.00	0.018189
337.00	0.016832
338.00	0.015475
339.00	0.014117
340.00	0.012760
341.00	0.011457
342.00	0.010786
343.00	0.010114
344.00	0.0094430
345.00	0.0087716
346.00	0.0081001
347.00	0.0074287
348.00	0.0069280
349.00	0.0066445
350.00	0.0063610
351.00	0.0060775
352.00	0.0057940
353.00	0.0055104
354.00	0.0052269
355.00	0.0050560
356.00	0.0049333
357.00	0.0048106
358.00	0.0046878
359.00	0.0045651
360.00	0.0044424
361.00	0.0043197
362.00	0.0041970
363.00	0.0040743
364.00	0.0039515
365.00	0.0038341
366.00	0.0037279
367.00	0.0036216
368.00	0.0035154
369.00	0.0034092
370.00	0.0033029
371.00	0.0031967
372.00	0.0030904
373.00	0.0029842
374.00	0.0028780
375.00	0.0027717
376.00	0.0026655
377.00	0.0025943
378.00	0.0025943
379.00	0.0025943
380.00	0.0025943
381.00	0.0025943
382.00	0.0025943
383.00	0.0025943
384.00	0.0025943
385.00	0.0025943
386.00	0.0025943
387.00	0.0025943
388.00	0.0025943
389.00	0.0025943
390.00	0.0025943
391.00	0.0025943
392.00	0.0025943
393.00	0.0025943
394.00	0.0025943
395.00	0.0025943
396.00	0.0025943
397.00	0.0025943
398.00	0.0025943
399.00	0.0025943
400.00	0.0025943
