Wavelength (nm)	FL105 [12] 6665-69-6, 3,5-Dihydroxyflavone [M]
210.00	13382
211.00	12870
212.00	12537
213.00	12309
214.00	12104
215.00	11958
216.00	11863
217.00	11795
218.00	11736
219.00	11714
220.00	11749
221.00	11832
222.00	11952
223.00	12112
224.00	12245
225.00	12387
226.00	12534
227.00	12694
228.00	12926
229.00	13200
230.00	13475
231.00	13702
232.00	13810
233.00	13827
234.00	13810
235.00	13820
236.00	13907
237.00	14040
238.00	14212
239.00	14330
240.00	14357
241.00	14232
242.00	13963
243.00	13674
244.00	13443
245.00	13396
246.00	13532
247.00	13775
248.00	14011
249.00	13988
250.00	13648
251.00	13177
252.00	12855
253.00	12812
254.00	13009
255.00	13363
256.00	13797
257.00	14278
258.00	14751
259.00	15226
260.00	15608
261.00	15927
262.00	16203
263.00	16399
264.00	16522
265.00	16598
266.00	16600
267.00	16515
268.00	16360
269.00	16095
270.00	15706
271.00	15197
272.00	14540
273.00	13813
274.00	13003
275.00	12177
276.00	11340
277.00	10548
278.00	9835.8
279.00	9195.3
280.00	8635.0
281.00	8143.9
282.00	7718.4
283.00	7356.7
284.00	7061.1
285.00	6815.9
286.00	6635.0
287.00	6512.2
288.00	6431.0
289.00	6388.1
290.00	6382.5
291.00	6403.4
292.00	6463.3
293.00	6542.8
294.00	6681.2
295.00	6858.7
296.00	7071.0
297.00	7336.3
298.00	7625.1
299.00	7957.3
300.00	8283.4
301.00	8628.7
302.00	8957.4
303.00	9299.4
304.00	9585.3
305.00	9852.8
306.00	10059
307.00	10255
308.00	10398
309.00	10520
310.00	10602
311.00	10679
312.00	10720
313.00	10718
314.00	10679
315.00	10574
316.00	10394
317.00	10126
318.00	9785.5
319.00	9367.1
320.00	8860.2
321.00	8298.0
322.00	7702.4
323.00	7101.0
324.00	6546.8
325.00	6060.3
326.00	5679.0
327.00	5391.3
328.00	5206.4
329.00	5104.4
330.00	5080.1
331.00	5108.2
332.00	5195.1
333.00	5320.1
334.00	5492.8
335.00	5686.7
336.00	5913.0
337.00	6152.8
338.00	6409.7
339.00	6684.4
340.00	6970.8
341.00	7263.9
342.00	7563.6
343.00	7869.3
344.00	8184.3
345.00	8503.4
346.00	8822.3
347.00	9133.2
348.00	9443.0
349.00	9761.8
350.00	10069
351.00	10380
352.00	10695
353.00	11000
354.00	11301
355.00	11559
356.00	11817
357.00	12044
358.00	12270
359.00	12487
360.00	12680
361.00	12840
362.00	12975
363.00	13038
364.00	13157
365.00	13252
366.00	13308
367.00	13297
368.00	13288
369.00	13260
370.00	13163
371.00	13056
372.00	12969
373.00	12847
374.00	12732
375.00	12502
376.00	12255
377.00	11980
378.00	11639
379.00	11252
380.00	10879
381.00	10419
382.00	9965.0
383.00	9464.5
384.00	8891.5
385.00	8329.0
386.00	7770.2
387.00	7172.9
388.00	6604.2
389.00	6082.2
390.00	5552.0
391.00	5022.3
392.00	4525.1
393.00	4070.6
394.00	3679.4
395.00	3302.1
396.00	2952.8
397.00	2618.3
398.00	2327.3
399.00	2080.0
400.00	1856.3
401.00	1642.8
402.00	1460.4
403.00	1300.1
404.00	1146.9
405.00	1010.5
406.00	904.58
407.00	812.20
408.00	721.57
409.00	636.69
410.00	565.79
411.00	506.18
412.00	451.01
413.00	406.48
414.00	365.47
415.00	327.75
416.00	301.17
417.00	270.61
418.00	245.70
419.00	224.82
420.00	202.82
421.00	186.44
422.00	169.98
423.00	157.84
424.00	146.50
425.00	141.88
426.00	129.52
427.00	117.93
428.00	124.54
429.00	109.59
430.00	104.78
431.00	106.49
432.00	96.107
433.00	93.891
434.00	82.227
435.00	86.128
436.00	87.804
437.00	78.080
438.00	76.102
439.00	71.671
440.00	66.814
441.00	60.849
442.00	61.285
443.00	53.758
444.00	48.854
445.00	48.806
446.00	48.390
447.00	43.855
448.00	43.665
449.00	35.296
450.00	39.499
451.00	35.097
452.00	38.278
453.00	34.330
454.00	32.720
455.00	24.171
456.00	21.198
457.00	28.148
458.00	25.676
459.00	16.720
460.00	21.274
461.00	16.000
462.00	15.527
463.00	9.4961
464.00	5.5007
465.00	12.829
466.00	9.6381
467.00	19.466
468.00	7.6689
469.00	6.4286
470.00	16.341
471.00	18.547
472.00	21.766
473.00	18.651
474.00	7.9342
475.00	1.3918
476.00	12.261
477.00	13.207
478.00	19.314
479.00	11.693
480.00	3.0770
481.00	6.1067
482.00	2.2344
483.00	4.3064
484.00	11.634
485.00	9.4079
486.00	10.018
487.00	8.2559
488.00	8.3127
489.00	2.3291
490.00	8.0192
491.00	4.9638
492.00	8.1328
493.00	11.712
494.00	14.050
495.00	13.862
496.00	5.5765
497.00	0.41658
498.00	3.9102
499.00	9.8559
500.00	13.009
